               Y_n               Y_p             Y_he4             Y_c12            Y_ne20            Y_na23            Y_mg23             E_nuc              Time
     3.93245339651685E-11     7.03866135400529E-09     8.70735960531797E-09     8.33329684293090E-02     8.70735960531797E-09     7.03866132723826E-09     3.93245607321979E-11     5.39385144445904E+10     1.20000000000000E-03
     4.26015747008402E-11     7.62521622852130E-09     9.43297260795458E-09     8.33329657984192E-02     9.43297260795458E-09     7.62521619710722E-09     4.26016061149139E-11     5.84333888016930E+10     1.30000000000000E-03
     4.58786148578321E-11     8.21177106637310E-09     1.01585855647749E-08     8.33329631675295E-02     1.01585855647749E-08     8.21177102994022E-09     4.58786512907124E-11     6.29282628747017E+10     1.40000000000000E-03
     4.91556544361440E-11     8.79832586756069E-09     1.08841984757789E-08     8.33329605366400E-02     1.08841984757789E-08     8.79832582573724E-09     4.91556962595932E-11     6.74231366636166E+10     1.50000000000000E-03
     5.24326934357761E-11     9.38488063208409E-09     1.16098113409666E-08     8.33329579057507E-02     1.16098113409666E-08     9.38488058449830E-09     5.24327410215564E-11     7.19180101684377E+10     1.60000000000000E-03
     5.57097318567283E-11     9.97143535994327E-09     1.23354241603379E-08     8.33329552748615E-02     1.23354241603379E-08     9.97143530622340E-09     5.57097855766019E-11     7.64128833891650E+10     1.70000000000000E-03
     5.89867696990006E-11     1.05579900511383E-08     1.30610369338930E-08     8.33329526439725E-02     1.30610369338930E-08     1.05579899909125E-08     5.89868299247299E-11     8.09077563257984E+10     1.80000000000000E-03
     6.22638069625931E-11     1.11445447056690E-08     1.37866496616317E-08     8.33329500130837E-02     1.37866496616317E-08     1.11445446385657E-08     6.22638740659402E-11     8.54026289783381E+10     1.90000000000000E-03
     6.55408436475056E-11     1.17310993235356E-08     1.45122623435542E-08     8.33329473821950E-02     1.45122623435542E-08     1.17310992491829E-08     6.55409180002328E-11     8.98975013467839E+10     2.00000000000000E-03
     6.88178797537383E-11     1.23176539047380E-08     1.52378749796603E-08     8.33329447513065E-02     1.52378749796603E-08     1.23176538227641E-08     6.88179617276079E-11     9.43923734311358E+10     2.10000000000000E-03
     7.20949152812910E-11     1.29042084492762E-08     1.59634875699502E-08     8.33329421204181E-02     1.59634875699502E-08     1.29042083593094E-08     7.20950052480653E-11     9.88872452313940E+10     2.20000000000000E-03
     7.53719502301639E-11     1.34907629571501E-08     1.66891001144237E-08     8.33329394895300E-02     1.66891001144237E-08     1.34907628588187E-08     7.53720485616051E-11     1.03382116747558E+11     2.30000000000000E-03
     7.86489846003872E-11     1.40773174283607E-08     1.74147126130820E-08     8.33329368586420E-02     1.74147126130820E-08     1.40773173212929E-08     7.86490916682321E-11     1.07876987979635E+11     2.40000000000000E-03
     8.19260183919355E-11     1.46638718629073E-08     1.81403250659242E-08     8.33329342277541E-02     1.81403250659242E-08     1.46638717467312E-08     8.19261345679423E-11     1.12371858927620E+11     2.50000000000000E-03
     8.52030516048051E-11     1.52504262607896E-08     1.88659374729500E-08     8.33329315968664E-02     1.88659374729500E-08     1.52504261351337E-08     8.52031772607351E-11     1.16866729591511E+11     2.60000000000000E-03
     8.84800842389962E-11     1.58369806220078E-08     1.95915498341597E-08     8.33329289659789E-02     1.95915498341597E-08     1.58369804865002E-08     8.84802197466104E-11     1.21361599971308E+11     2.70000000000000E-03
