               Y_n               Y_p             Y_he4             Y_c12            Y_ne20            Y_na23            Y_mg23             E_nuc              Time
     1.82000676676352E-11     3.25761095272526E-09     4.02991260580252E-09     8.33329853885528E-02     4.02991260580252E-09     3.25761095169290E-09     1.82000686999930E-11     2.49636524992490E+10     1.00000000000000E-04
     3.64001268882480E-11     6.51522076514994E-09     8.05982379841229E-09     8.33329707771106E-02     8.05982379841229E-09     6.51522076102053E-09     3.64001310176627E-11     4.99272962427910E+10     2.00000000000000E-04
     5.46001776618373E-11     9.77282943727392E-09     1.20897335778291E-08     8.33329561656736E-02     1.20897335778291E-08     9.77282942798275E-09     5.46001869530083E-11     7.48909312306252E+10     3.00000000000000E-04
     7.28002199884184E-11     1.30304369690993E-08     1.61196419440556E-08     8.33329415542418E-02     1.61196419440556E-08     1.30304369525816E-08     7.28002365060413E-11     9.98545574627672E+10     4.00000000000000E-04
     9.10002538680172E-11     1.62880433606297E-08     2.01495488970963E-08     8.33329269428150E-02     2.01495488970963E-08     1.62880433348209E-08     9.10002796767826E-11     1.24818174939246E+11     5.00000000000000E-04
     1.09200279300635E-10     1.95456486118654E-08     2.41794544369516E-08     8.33329123313934E-02     2.41794544369516E-08     1.95456485747008E-08     1.09200316465234E-10     1.49781783660062E+11     6.00000000000000E-04
     1.27400296286255E-10     2.28032527228038E-08     2.82093585636181E-08     8.33328977199769E-02     2.82093585636181E-08     2.28032526722187E-08     1.27400346871379E-10     1.74745383625197E+11     7.00000000000000E-04
     1.45600304824875E-10     2.60608556934449E-08     3.22392612770959E-08     8.33328831085655E-02     3.22392612770959E-08     2.60608556273746E-08     1.45600370895220E-10     1.99708974834650E+11     8.00000000000000E-04
     1.63800304916497E-10     2.93184575237888E-08     3.62691625773850E-08     8.33328684971592E-02     3.62691625773850E-08     2.93184574401685E-08     1.63800388536756E-10     2.24672557288421E+11     9.00000000000000E-04
     1.82000296561119E-10     3.25760582138352E-08     4.02990624644854E-08     8.33328538857581E-02     4.02990624644854E-08     3.25760581106004E-08     1.82000399795986E-10     2.49636130986510E+11     1.00000000000000E-03
     2.00200279758743E-10     3.58336577635844E-08     4.43289609383971E-08     8.33328392743621E-02     4.43289609383971E-08     3.58336576386702E-08     2.00200404672912E-10     2.74599695928917E+11     1.10000000000000E-03
     2.18400254509368E-10     3.90912561730363E-08     4.83588579991201E-08     8.33328246629712E-02     4.83588579991201E-08     3.90912560243781E-08     2.18400403167532E-10     2.99563252115642E+11     1.20000000000000E-03
