               Y_n               Y_p             Y_he4             Y_c12            Y_ne20            Y_na23            Y_mg23             E_nuc              Time
     3.21586964614804E-04     6.12778995357356E-02     7.57798742398001E-02     7.25241278519699E-01     7.57798742398001E-02     6.12572460966118E-02     3.42240403738616E-04     4.69409588891444E+17     1.00000000000000E+02
     4.70326649560174E-04     9.61746076880775E-02     1.18892889959046E-01     5.68924351406632E-01     1.18892889959046E-01     9.61079850345486E-02     5.36949303089027E-04     7.36442304020622E+17     2.00000000000000E+02
     5.38240744632010E-04     1.18723701194278E-01     1.46716400982881E-01     4.68043314156417E-01     1.46716400982881E-01     1.18599334870594E-01     6.62607068316906E-04     9.08753932818567E+17     3.00000000000000E+02
     5.63269702022450E-04     1.34502873571033E-01     1.66158777171441E-01     3.97550159111007E-01     1.66158777171441E-01     1.34315729689576E-01     7.50413583478899E-04     1.02914407576587E+18     4.00000000000000E+02
     5.63976425583499E-04     1.46168902663930E-01     1.80511230790598E-01     3.45511780239777E-01     1.80511230790598E-01     1.45917646323230E-01     8.15232766283510E-04     1.11800323239536E+18     5.00000000000000E+02
     5.50474884870171E-04     1.55148368277546E-01     1.91541186858159E-01     3.05519939958848E-01     1.91541186858159E-01     1.54833796423022E-01     8.65046739395103E-04     1.18628148369993E+18     6.00000000000000E+02
     5.28682884878968E-04     1.62275880315246E-01     2.00282665098204E-01     2.73825543403343E-01     2.00282665098204E-01     1.61900037811917E-01     9.04525388207296E-04     1.24038509890143E+18     7.00000000000000E+02
     5.02233052240112E-04     1.68072332864349E-01     2.07380939857597E-01     2.48088988451629E-01     2.07380939857597E-01     1.67637982987460E-01     9.36582929129240E-04     1.28431182956223E+18     8.00000000000000E+02
     4.73426361601278E-04     1.72879695163375E-01     2.13259533391805E-01     2.26774690166438E-01     2.13259533391805E-01     1.72389989432963E-01     9.63132092013782E-04     1.32068551526270E+18     9.00000000000000E+02
     4.43747341622290E-04     1.76931802726154E-01     2.18207937127447E-01     2.08833025609553E-01     2.18207937127447E-01     1.76390069776992E-01     9.85480290784722E-04     1.35129957008510E+18     1.00000000000000E+03
     4.14160325526226E-04     1.80394000197687E-01     2.22430744871562E-01     1.93522189210448E-01     2.22430744871562E-01     1.79803609002214E-01     1.00455152099927E-03     1.37742139899642E+18     1.10000000000000E+03
     3.85288452819547E-04     1.83386532450189E-01     2.26076648817030E-01     1.80303060559922E-01     2.26076648817030E-01     1.82750803590125E-01     1.02101731288407E-03     1.39997205241737E+18     1.20000000000000E+03
     3.57526232285631E-04     1.85998959637055E-01     2.29256311460801E-01     1.68774405339718E-01     2.29256311460801E-01     1.85321108424062E-01     1.03537744527903E-03     1.41963695969552E+18     1.30000000000000E+03
     3.31112653038630E-04     1.88299373073625E-01     2.32053792949681E-01     1.58631442647310E-01     2.32053792949681E-01     1.87582474172344E-01     1.04801155431933E-03     1.43693673270859E+18     1.40000000000000E+03
     3.06179936694766E-04     1.90340476064102E-01     2.34534091707025E-01     1.49638504584356E-01     2.34534091707025E-01     1.89587442812051E-01     1.05921318874563E-03     1.45227388819051E+18     1.50000000000000E+03
     2.82786741449179E-04     1.92163707111503E-01     2.36748257665821E-01     1.41610496962453E-01     2.36748257665821E-01     1.91377280950440E-01     1.06921290251244E-03     1.46596452973754E+18     1.60000000000000E+03
     2.60941162127365E-04     1.93802103485638E-01     2.38736943333395E-01     1.34400024037678E-01     2.38736943333395E-01     1.92984850355503E-01     1.07819429226279E-03     1.47826035042712E+18     1.70000000000000E+03
     2.40616874359037E-04     1.95282332699294E-01     2.40532922780159E-01     1.27888255292376E-01     2.40532922780159E-01     1.94436644199957E-01     1.08630537369612E-03     1.48936424054220E+18     1.80000000000000E+03
     2.21764573587750E-04     1.96626160655862E-01     2.42162911831553E-01     1.21978325877994E-01     2.42162911831553E-01     1.95754258427451E-01     1.09366680199928E-03     1.49944156539601E+18     1.90000000000000E+03
     2.04320136371322E-04     1.97851531144360E-01     2.43648906106140E-01     1.16590485226257E-01     2.43648906106140E-01     1.96955473365978E-01     1.10037791475302E-03     1.50862845541113E+18     2.00000000000000E+03
     1.88210460761385E-04     1.98973371555281E-01     2.45009179394531E-01     1.11658477178853E-01     2.45009179394531E-01     1.98055060775188E-01     1.10652124085489E-03     1.51703799172810E+18     2.10000000000000E+03
     1.73357645444342E-04     2.00004202623955E-01     2.46259038908690E-01     1.07126801643821E-01     2.46259038908690E-01     1.99065394357990E-01     1.11216591140936E-03     1.52476488524460E+18     2.20000000000000E+03
     1.59681968352426E-04     2.00954605712524E-01     2.47411403797938E-01     1.02948617042372E-01     2.47411403797938E-01     1.99996917408429E-01     1.11737027244725E-03     1.53188906055934E+18     2.30000000000000E+03
     1.47103991103478E-04     2.01833585052121E-01     2.48477253369257E-01     9.90841151750366E-02     2.48477253369257E-01     2.00858505134026E-01     1.12218390919807E-03     1.53847843257269E+18     2.40000000000000E+03
     1.35546023167623E-04     2.02648851495674E-01     2.49465977962073E-01     9.54992490381724E-02     2.49465977962073E-01     2.01657748288115E-01     1.12664923072606E-03     1.54459107991028E+18     2.50000000000000E+03
     1.24933116994794E-04     2.03407047121120E-01     2.50385656480012E-01     9.21647265637466E-02     2.50385656480012E-01     2.02401177514784E-01     1.13080272333141E-03     1.55027696388807E+18     2.60000000000000E+03
     1.15193715634698E-04     2.04113924317643E-01     2.51243277500033E-01     8.90552089333777E-02     2.51243277500033E-01     2.03094442084145E-01     1.13467594913300E-03     1.55557929813708E+18     2.70000000000000E+03
     1.06260047453027E-04     2.04774490050472E-01     2.52044917233008E-01     8.61486653381337E-02     2.52044917233008E-01     2.03742453748143E-01     1.13829634978183E-03     1.56053565036841E+18     2.80000000000000E+03
     9.80683345748769E-05     2.05393122857249E-01     2.52795883709430E-01     8.34258501974925E-02     2.52795883709430E-01     2.04349503294185E-01     1.14168789763887E-03     1.56517883542726E+18     2.90000000000000E+03
     9.05588660747749E-05     2.05973668435315E-01     2.53500834461211E-01     8.08698764747991E-02     2.53500834461211E-01     2.04919355674135E-01     1.14487162725476E-03     1.56953764385035E+18     3.00000000000000E+03
     8.36759738268067E-05     2.06519518255939E-01     2.54163873203449E-01     7.84658651335718E-02     2.54163873203449E-01     2.05455328157757E-01     1.14786607200825E-03     1.57363744045533E+18     3.10000000000000E+03
     7.73679396345163E-05     2.07033674638370E-01     2.54788629774467E-01     7.62006552950582E-02     2.54788629774467E-01     2.05960354952869E-01     1.15068762513497E-03     1.57750065918903E+18     3.20000000000000E+03
     7.15868549782179E-05     2.07518804932882E-01     2.55378326619417E-01     7.40625631854475E-02     2.55378326619417E-01     2.06437040947876E-01     1.15335083998355E-03     1.58114721462014E+18     3.30000000000000E+03
     6.62884494009911E-05     2.07977286882770E-01     2.55935834383630E-01     7.20411805683977E-02     2.55935834383630E-01     2.06887706651083E-01     1.15586868108880E-03     1.58459484601148E+18     3.40000000000000E+03
     6.14318995429658E-05     2.08411246803288E-01     2.56463718645526E-01     7.01272053032874E-02     2.56463718645526E-01     2.07314425967602E-01     1.15825273522891E-03     1.58785940650446E+18     3.50000000000000E+03
     5.69796277312786E-05     2.08822591861362E-01     2.56964279379452E-01     6.83122982629107E-02     2.56964279379452E-01     2.07719058099444E-01     1.16051338964927E-03     1.59095510728557E+18     3.60000000000000E+03
     5.28970967198117E-05     2.09213037524311E-01     2.57439584470655E-01     6.65889618166268E-02     2.57439584470655E-01     2.08103274637607E-01     1.16265998342426E-03     1.59389472492214E+18     3.70000000000000E+03
     4.91526053208831E-05     2.09584131020763E-01     2.57891498325569E-01     6.49504360966944E-02     2.57891498325569E-01     2.08468582689416E-01     1.16470093666827E-03     1.59668977834754E+18     3.80000000000000E+03
     4.57170884247967E-05     2.09937271315668E-01     2.58321706199110E-01     6.33906107935936E-02     2.58321706199110E-01     2.08816344543689E-01     1.16664386040376E-03     1.59935067939158E+18     3.90000000000000E+03
     4.25639238766563E-05     2.10273726423861E-01     2.58731735256303E-01     6.19039487919188E-02     2.58731735256303E-01     2.09147794696057E-01     1.16849565168061E-03     1.60188686288541E+18     4.00000000000000E+03
     3.96687476781838E-05     2.10594648326314E-01     2.59122972694951E-01     6.04854204621132E-02     2.59122972694951E-01     2.09464054498570E-01     1.17026257542262E-03     1.60430689883061E+18     4.10000000000000E+03
     3.70092786651560E-05     2.10901085871830E-01     2.59496681401663E-01     5.91304468956839E-02     2.59496681401663E-01     2.09766144815361E-01     1.17195033513387E-03     1.60661858917294E+18     4.20000000000000E+03
     3.45651532034721E-05     2.11193996023341E-01     2.59854013583724E-01     5.78348504794640E-02     2.59854013583724E-01     2.10054997042081E-01     1.17356413446362E-03     1.60882905205535E+18     4.30000000000000E+03
     3.23177701284722E-05     2.11474253653783E-01     2.60196022629249E-01     5.65948118936778E-02     2.60196022629249E-01     2.10331462693142E-01     1.17510873076967E-03     1.61094479515615E+18     4.40000000000000E+03
     3.02501459552391E-05     2.11742660122439E-01     2.60523673479715E-01     5.54068325037826E-02     2.60523673479715E-01     2.10596321786431E-01     1.17658848196315E-03     1.61297177978009E+18     4.50000000000000E+03
     2.83467801572941E-05     2.11999950800914E-01     2.60837851722694E-01     5.42677013924698E-02     2.60837851722694E-01     2.10850290193498E-01     1.17800738757367E-03     1.61491547705798E+18     4.60000000000000E+03
     2.65935302096064E-05     2.12246801694711E-01     2.61139371584021E-01     5.31744663821159E-02     2.61139371584021E-01     2.11094026100077E-01     1.17936912484377E-03     1.61678091733352E+18     4.70000000000000E+03
     2.49774959957600E-05     2.12483835286742E-01     2.61428982974290E-01     5.21244084859451E-02     2.61428982974290E-01     2.11328135702185E-01     1.18067708055268E-03     1.61857273369983E+18     4.80000000000000E+03
     2.34869131204196E-05     2.12711625705927E-01     2.61707377716037E-01     5.11150193298311E-02     2.61707377716037E-01     2.11553178239908E-01     1.18193437913981E-03     1.62029520047439E+18     4.90000000000000E+03
     2.21110546394249E-05     2.12930703310404E-01     2.61975195061126E-01     5.01439811476618E-02     2.61975195061126E-01     2.11769670457421E-01     1.18314390762255E-03     1.62195226728318E+18     5.00000000000000E+03
     2.08401406911594E-05     2.13141558761597E-01     2.62233026591506E-01     4.92091490124101E-02     2.62233026591506E-01     2.11978090564559E-01     1.18430833772934E-03     1.62354758933402E+18     5.10000000000000E+03
     1.96652555769166E-05     2.13344646650485E-01     2.62481420578253E-01     4.83085350313697E-02     2.62481420578253E-01     2.12178881760476E-01     1.18543014558615E-03     1.62508455434102E+18     5.20000000000000E+03
     1.85782717927653E-05     2.13540388731466E-01     2.62720885866418E-01     4.74402942606470E-02     2.62720885866418E-01     2.12372455373997E-01     1.18651162926141E-03     1.62656630651615E+18     5.30000000000000E+03
     1.75717798498682E-05     2.13729176847843E-01     2.62951895387643E-01     4.66027119693279E-02     2.62951895387643E-01     2.12559193703063E-01     1.18755492462980E-03     1.62799576826370E+18     5.40000000000000E+03
     1.66390248824349E-05     2.13911375511655E-01     2.63174889255883E-01     4.57941924151588E-02     2.63174889255883E-01     2.12739452517185E-01     1.18856201935334E-03     1.62937565929272E+18     5.50000000000000E+03
     1.57738484505769E-05     2.14087324227708E-01     2.63390277554839E-01     4.50132487380041E-02     2.63390277554839E-01     2.12913563310688E-01     1.18953476547010E-03     1.63070851389394E+18     5.60000000000000E+03
     1.49706354655671E-05     2.14257339590058E-01     2.63598442851779E-01     4.42584938453950E-02     2.63598442851779E-01     2.13081835334776E-01     1.19047489074721E-03     1.63199669638541E+18     5.70000000000000E+03
     1.42242652595572E-05     2.14421717193675E-01     2.63799742489067E-01     4.35286321039971E-02     2.63799742489067E-01     2.13244557449905E-01     1.19138400902999E-03     1.63324241525000E+18     5.80000000000000E+03
     1.35300674258959E-05     2.14580733332429E-01     2.63994510618705E-01     4.28224519628813E-02     2.63994510618705E-01     2.13401999770424E-01     1.19226362943041E-03     1.63444773575107E+18     5.90000000000000E+03
