!45ca -> 45sc, beta-decay
!Q=-0.7678 MeV
!
!log(rhoY)    log(temp)     mu             dQ    VS     log(beta-decay-rate)   nu-energy-loss   gamma-energy
!log(g/cm^3)  log(K)        1/s            erg   erg    log(1/s)               erg/s            erg/s
6.000000      8.000000       3.428658e-07  0.00  0.00   -9.236000              3.896820e-17     0.00  
6.000000      8.301030       3.412636e-07  0.00  0.00   -8.966000              1.080713e-16     0.00  
6.000000      8.602060       3.316506e-07  0.00  0.00   -8.504000              5.172618e-16     0.00  
6.000000      8.845098       3.028114e-07  0.00  0.00   -8.091000              1.818488e-15     0.00  
6.000000      9.000000       2.579504e-07  0.00  0.00   -7.874000              3.378395e-15     0.00  
6.000000      9.176091       1.490024e-07  0.00  0.00   -7.691000              6.378380e-15     0.00  
6.000000      9.301030       1.602177e-09  0.00  0.00   -7.551000              3.570347e-14     0.00  
6.000000      9.477121      -3.396614e-07  0.00  0.00   -6.810000              2.021671e-12     0.00  
6.000000      9.698970      -6.729142e-07  0.00  0.00   -5.192000              1.662304e-10     0.00  
6.000000      10.000000     -7.866687e-07  0.00  0.00   -2.797000              5.671663e-08     0.00  
6.000000      10.477121     -8.155079e-07  0.00  0.00   -1.391000              1.171414e-04     0.00  
6.000000      11.000000     -8.187123e-07  0.00  0.00   -1.334000              1.218177e-01     0.00  
7.000000      7.000000       1.140750e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
7.000000      8.000000       1.139148e-06  0.00  0.00   -33.555000             1.121270e-41     0.00  
7.000000      8.301030       1.139148e-06  0.00  0.00   -21.218000             4.728358e-29     0.00  
7.000000      8.602060       1.134341e-06  0.00  0.00   -14.646000             3.218922e-22     0.00  
7.000000      8.845098       1.123126e-06  0.00  0.00   -11.601000             5.031650e-19     0.00  
7.000000      9.000000       1.103900e-06  0.00  0.00   -10.319000             1.108435e-17     0.00  
7.000000      9.176091       1.060641e-06  0.00  0.00   -9.243000              2.031002e-16     0.00  
7.000000      9.301030       9.965539e-07  0.00  0.00   -8.454000              3.433289e-15     0.00  
