!p -> n, e- capture
!Q=1.2933 MeV
!
!rhoY         temp          mu             dQ    Vs     e-cap-rate        nu-energy-loss gamma-energy
!g/cm^3       K             1/s            erg   erg    1/s               erg/s          erg/s
1.000000e+05  1.000000e+09  -1.570133e-07  0.00  0.00   2.065380e-09      9.609712e-16   0.00  
1.000000e+05  1.500000e+09  -3.941355e-07  0.00  0.00   7.961594e-08      5.790424e-14   0.00  
1.000000e+05  2.000000e+09  -6.136337e-07  0.00  0.00   7.345139e-07      7.357163e-13   0.00  
1.000000e+05  3.000000e+09  -7.626361e-07  0.00  0.00   2.208005e-05      3.505181e-11   0.00  
1.000000e+05  5.000000e+09  -8.042927e-07  0.00  0.00   1.099006e-03      3.116810e-09   0.00  
1.000000e+05  1.000000e+10  -8.155079e-07  0.00  0.00   9.246982e-02      5.697842e-07   0.00  
1.000000e+05  3.000000e+10  -8.187123e-07  0.00  0.00   3.981072e+01      7.956286e-04   0.00  
1.000000e+05  1.000000e+11  -8.187123e-07  0.00  0.00   1.963360e+04      1.354286e+00   0.00  
1.000000e+06  1.000000e+07   3.444680e-07  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+06  1.000000e+08   3.428658e-07  0.00  0.00   9.354057e-37      3.923832e-44   0.00  
1.000000e+06  2.000000e+08   3.412636e-07  0.00  0.00   1.465548e-21      1.246552e-28   0.00  
1.000000e+06  4.000000e+08   3.316506e-07  0.00  0.00   1.592209e-13      2.784264e-20   0.00  
1.000000e+06  7.000000e+08   3.028114e-07  0.00  0.00   9.204496e-10      2.908777e-16   0.00  
1.000000e+06  1.000000e+09   2.579504e-07  0.00  0.00   4.149540e-08      1.930680e-14   0.00  
1.000000e+06  1.500000e+09   1.490024e-07  0.00  0.00   1.091440e-06      7.937987e-13   0.00  
1.000000e+06  2.000000e+09   1.602177e-09  0.00  0.00   6.792036e-06      6.818838e-12   0.00  
1.000000e+06  3.000000e+09  -3.396614e-07  0.00  0.00   6.109420e-05      9.698630e-11   0.00  
1.000000e+06  5.000000e+09  -6.729142e-07  0.00  0.00   1.330454e-03      3.764527e-09   0.00  
1.000000e+06  1.000000e+10  -7.866687e-07  0.00  0.00   9.440609e-02      5.817152e-07   0.00  
1.000000e+06  3.000000e+10  -8.155079e-07  0.00  0.00   3.990249e+01      7.974627e-04   0.00  
1.000000e+06  1.000000e+11  -8.187123e-07  0.00  0.00   1.963360e+04      1.354286e+00   0.00  
1.000000e+07  1.000000e+07   1.140750e-06  0.00  0.00   8.279422e-47      3.433289e-55   0.00  
1.000000e+07  1.000000e+08   1.139148e-06  0.00  0.00   1.039920e-11      4.372304e-19   0.00  
1.000000e+07  2.000000e+08   1.139148e-06  0.00  0.00   5.128614e-09      4.372304e-16   0.00  
1.000000e+07  4.000000e+08   1.134341e-06  0.00  0.00   3.258367e-07      5.724142e-14   0.00  
1.000000e+07  7.000000e+08   1.123126e-06  0.00  0.00   4.335109e-06      1.389026e-12   0.00  
1.000000e+07  1.000000e+09   1.103900e-06  0.00  0.00   1.849269e-05      8.744005e-12   0.00  
1.000000e+07  1.500000e+09   1.060641e-06  0.00  0.00   8.590135e-05      6.363710e-11   0.00  
1.000000e+07  2.000000e+09   9.965539e-07  0.00  0.00   2.421029e-04      2.470076e-10   0.00  
1.000000e+07  3.000000e+09   8.171101e-07  0.00  0.00   9.772372e-04      1.572934e-09   0.00  
1.000000e+07  5.000000e+09   2.996070e-07  0.00  0.00   5.370318e-03      1.530067e-08   0.00  
1.000000e+07  1.000000e+10  -5.046856e-07  0.00  0.00   1.156112e-01      7.123778e-07   0.00  
1.000000e+07  3.000000e+10  -7.850666e-07  0.00  0.00   4.017908e+01      8.029905e-04   0.00  
1.000000e+07  1.000000e+11  -8.155079e-07  0.00  0.00   1.963360e+04      1.354286e+00   0.00  
1.000000e+08  1.000000e+07   3.101814e-06  0.00  0.00   4.466836e-02      6.526952e-08   0.00  
1.000000e+08  1.000000e+08   3.101814e-06  0.00  0.00   4.477133e-02      6.526952e-08   0.00  
1.000000e+08  2.000000e+08   3.100212e-06  0.00  0.00   4.487454e-02      6.557079e-08   0.00  
