!63zn -> 63ga, beta-decay
!Q=5.009 MeV
!
!log(rhoY)    log(temp)     mu             dQ    VS     log(beta-decay-rate)   nu-energy-loss   gamma-energy
!log(g/cm^3)  log(K)        1/s            erg   erg    log(1/s)               erg/s            erg/s
6.000000      8.301030       3.412636e-07  0.00  0.00   -99.999000             1.605870e-106    0.00  
6.000000      8.602060       3.316506e-07  0.00  0.00   -80.265000             1.134254e-85     0.00  
6.000000      8.845098       3.028114e-07  0.00  0.00   -48.479000             1.193192e-53     0.00  
6.000000      9.000000       2.579504e-07  0.00  0.00   -35.658000             1.421381e-40     0.00  
6.000000      9.176091       1.490024e-07  0.00  0.00   -25.593000             4.080472e-30     0.00  
6.000000      9.301030       1.602177e-09  0.00  0.00   -20.320000             1.131645e-24     0.00  
6.000000      9.477121      -3.396614e-07  0.00  0.00   -14.413000             6.049373e-19     0.00  
6.000000      9.698970      -6.729142e-07  0.00  0.00   -9.084000              3.603383e-14     0.00  
6.000000      10.000000     -7.866687e-07  0.00  0.00   -4.742000              4.985519e-10     0.00  
6.000000      10.477121     -8.155079e-07  0.00  0.00   -1.757000              1.512552e-05     0.00  
6.000000      11.000000     -8.187123e-07  0.00  0.00   -0.638000              5.491745e-02     0.00  
7.000000      7.000000       1.140750e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
7.000000      8.000000       1.139148e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
7.000000      8.301030       1.139148e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
7.000000      8.602060       1.134341e-06  0.00  0.00   -85.972000             5.580979e-92     0.00  
7.000000      8.845098       1.123126e-06  0.00  0.00   -51.700000             2.498679e-57     0.00  
7.000000      9.000000       1.103900e-06  0.00  0.00   -37.863000             3.116810e-43     0.00  
7.000000      9.176091       1.060641e-06  0.00  0.00   -26.738000             5.137010e-32     0.00  
7.000000      9.301030       9.965539e-07  0.00  0.00   -20.828000             3.241234e-26     0.00  
7.000000      9.477121       8.171101e-07  0.00  0.00   -14.584000             4.118228e-20     0.00  
7.000000      9.698970       2.996070e-07  0.00  0.00   -9.133000              1.020259e-14     0.00  
7.000000      10.000000     -5.046856e-07  0.00  0.00   -4.752000              4.175518e-10     0.00  
7.000000      10.477121     -7.850666e-07  0.00  0.00   -1.757000              1.502140e-05     0.00  
7.000000      11.000000     -8.155079e-07  0.00  0.00   -0.638000              5.479115e-02     0.00  
8.000000      7.000000       3.101814e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
