!54mn -> 54fe, beta-decay
!Q=-1.2081 MeV
!
!log(rhoY)    log(temp)     mu             dQ    VS     log(beta-decay-rate)   nu-energy-loss   gamma-energy
!log(g/cm^3)  log(K)        1/s            erg   erg    log(1/s)               erg/s            erg/s
6.000000      8.000000       3.428658e-07  0.00  0.00   -13.697000             1.090713e-20     0.00  
6.000000      8.301030       3.412636e-07  0.00  0.00   -13.706000             1.078227e-20     0.00  
6.000000      8.602060       3.316506e-07  0.00  0.00   -13.744000             1.017912e-20     0.00  
6.000000      8.845098       3.028114e-07  0.00  0.00   -12.213000             8.947679e-19     0.00  
6.000000      9.000000       2.579504e-07  0.00  0.00   -10.167000             1.065885e-16     0.00  
6.000000      9.176091       1.490024e-07  0.00  0.00   -8.246000              1.073273e-14     0.00  
6.000000      9.301030       1.602177e-09  0.00  0.00   -7.034000              1.966574e-13     0.00  
6.000000      9.477121      -3.396614e-07  0.00  0.00   -5.619000              5.911673e-12     0.00  
6.000000      9.698970      -6.729142e-07  0.00  0.00   -4.249000              1.917390e-10     0.00  
6.000000      10.000000     -7.866687e-07  0.00  0.00   -2.760000              2.021671e-08     0.00  
6.000000      10.477121     -8.155079e-07  0.00  0.00   -1.376000              5.089913e-05     0.00  
6.000000      11.000000     -8.187123e-07  0.00  0.00   -0.770000              9.878941e-02     0.00  
7.000000      7.000000       1.140750e-06  0.00  0.00   -28.132000             3.052885e-37     0.00  
7.000000      8.000000       1.139148e-06  0.00  0.00   -18.589000             1.060988e-26     0.00  
7.000000      8.301030       1.139148e-06  0.00  0.00   -17.356000             3.628360e-25     0.00  
7.000000      8.602060       1.134341e-06  0.00  0.00   -16.330000             9.856220e-24     0.00  
7.000000      8.845098       1.123126e-06  0.00  0.00   -12.531000             3.204132e-19     0.00  
7.000000      9.000000       1.103900e-06  0.00  0.00   -10.445000             4.412761e-17     0.00  
7.000000      9.176091       1.060641e-06  0.00  0.00   -8.433000              6.035460e-15     0.00  
7.000000      9.301030       9.965539e-07  0.00  0.00   -7.173000              1.269727e-13     0.00  
7.000000      9.477121       8.171101e-07  0.00  0.00   -5.712000              4.352216e-12     0.00  
7.000000      9.698970       2.996070e-07  0.00  0.00   -4.291000              1.481530e-10     0.00  
7.000000      10.000000     -5.046856e-07  0.00  0.00   -2.769000              1.756752e-08     0.00  
7.000000      10.477121     -7.850666e-07  0.00  0.00   -1.376000              5.043249e-05     0.00  
7.000000      11.000000     -8.155079e-07  0.00  0.00   -0.770000              9.878941e-02     0.00  
8.000000      7.000000       3.101814e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
8.000000      8.000000       3.101814e-06  0.00  0.00   -72.997000             4.137237e-81     0.00  
8.000000      8.301030       3.100212e-06  0.00  0.00   -40.898000             1.036837e-48     0.00  
8.000000      8.602060       3.098610e-06  0.00  0.00   -24.094000             2.369793e-31     0.00  
8.000000      8.845098       3.093803e-06  0.00  0.00   -15.987000             4.772109e-23     0.00  
8.000000      9.000000       3.085792e-06  0.00  0.00   -12.589000             1.569316e-19     0.00  
8.000000      9.176091       3.064964e-06  0.00  0.00   -9.728000              1.693208e-16     0.00  
8.000000      9.301030       3.036125e-06  0.00  0.00   -8.142000              8.466626e-15     0.00  
8.000000      9.477121       2.954414e-06  0.00  0.00   -6.363000              7.091047e-13     0.00  
8.000000      9.698970       2.693259e-06  0.00  0.00   -4.667000              5.008531e-11     0.00  
8.000000      10.000000      1.573337e-06  0.00  0.00   -2.885000              7.058467e-09     0.00  
8.000000      10.477121     -4.838573e-07  0.00  0.00   -1.384000              4.695809e-05     0.00  
8.000000      11.000000     -7.882709e-07  0.00  0.00   -0.770000              9.856220e-02     0.00  
9.000000      7.000000       7.480563e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
9.000000      8.000000       7.480563e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
9.000000      8.301030       7.480563e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
9.000000      8.602060       7.480563e-06  0.00  0.00   -55.446000             5.844003e-63     0.00  
9.000000      8.845098       7.477358e-06  0.00  0.00   -33.357000             1.240825e-40     0.00  
9.000000      9.000000       7.474154e-06  0.00  0.00   -24.388000             1.639496e-31     0.00  
9.000000      9.176091       7.464541e-06  0.00  0.00   -17.284000             3.123995e-24     0.00  
9.000000      9.301030       7.450121e-06  0.00  0.00   -13.643000             1.822680e-20     0.00  
9.000000      9.477121       7.413271e-06  0.00  0.00   -9.874000              1.576560e-16     0.00  
9.000000      9.698970       7.291506e-06  0.00  0.00   -6.625000              4.372304e-13     0.00  
9.000000      10.000000      6.724335e-06  0.00  0.00   -3.726000              6.204552e-10     0.00  
9.000000      10.477121      2.340780e-06  0.00  0.00   -1.476000              2.397234e-05     0.00  
9.000000      11.000000     -5.191052e-07  0.00  0.00   -0.773000              9.676324e-02     0.00  
10.000000     7.000000       1.699429e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
10.000000     8.000000       1.699429e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
10.000000     8.301030       1.699429e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
10.000000     8.602060       1.699429e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
10.000000     8.845098       1.699269e-05  0.00  0.00   -75.765000             4.872035e-83     0.00  
10.000000     9.000000       1.699108e-05  0.00  0.00   -53.971000             4.282628e-61     0.00  
10.000000     9.176091       1.698628e-05  0.00  0.00   -36.899000             7.459512e-44     0.00  
10.000000     9.301030       1.697987e-05  0.00  0.00   -28.286000             4.015230e-35     0.00  
10.000000     9.477121       1.696224e-05  0.00  0.00   -19.565000             3.059922e-26     0.00  
10.000000     9.698970       1.690617e-05  0.00  0.00   -12.389000             7.058467e-19     0.00  
10.000000     10.000000      1.664181e-05  0.00  0.00   -6.576000              7.993011e-13     0.00  
10.000000     10.477121      1.386203e-05  0.00  0.00   -2.237000              1.516039e-06     0.00  
10.000000     11.000000      2.164541e-06  0.00  0.00   -0.801000              7.974627e-02     0.00  
11.000000     7.000000       3.752778e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
11.000000     8.000000       3.752778e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
11.000000     8.301030       3.752778e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
11.000000     8.602060       3.752778e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
11.000000     8.845098       3.752618e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
11.000000     9.000000       3.752618e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
11.000000     9.176091       3.752298e-05  0.00  0.00   -79.926000             7.026036e-87     0.00  
11.000000     9.301030       3.752137e-05  0.00  0.00   -60.550000             2.186303e-67     0.00  
11.000000     9.477121       3.751176e-05  0.00  0.00   -41.070000             9.565560e-48     0.00  
11.000000     9.698970       3.748613e-05  0.00  0.00   -25.293000             8.865646e-32     0.00  
11.000000     10.000000      3.736436e-05  0.00  0.00   -13.041000             2.777860e-19     0.00  
11.000000     10.477121      3.605538e-05  0.00  0.00   -4.394000              7.256219e-09     0.00  
11.000000     11.000000      2.244810e-05  0.00  0.00   -1.114000              1.848036e-02     0.00  
