!58v -> 58cr, beta-decay
!Q=-12.061 MeV
!
!log(rhoY)    log(temp)     mu             dQ    VS     log(beta-decay-rate)   nu-energy-loss   gamma-energy
!log(g/cm^3)  log(K)        1/s            erg   erg    log(1/s)               erg/s            erg/s
6.000000      8.602060       3.316506e-07  0.00  0.00   0.720000               3.661933e-05     0.00  
6.000000      8.845098       3.028114e-07  0.00  0.00   0.716000               3.636724e-05     0.00  
6.000000      9.000000       2.579504e-07  0.00  0.00   0.709000               3.578577e-05     0.00  
6.000000      9.176091       1.490024e-07  0.00  0.00   0.692000               3.465057e-05     0.00  
6.000000      9.301030       1.602177e-09  0.00  0.00   0.675000               3.362872e-05     0.00  
6.000000      9.477121      -3.396614e-07  0.00  0.00   0.647000               3.226342e-05     0.00  
6.000000      9.698970      -6.729142e-07  0.00  0.00   0.615000               3.152901e-05     0.00  
6.000000      10.000000     -7.866687e-07  0.00  0.00   0.586000               3.417515e-05     0.00  
6.000000      10.477121     -8.155079e-07  0.00  0.00   0.484000               4.674233e-04     0.00  
6.000000      11.000000     -8.187123e-07  0.00  0.00   0.270000               4.474148e-01     0.00  
7.000000      7.000000       1.140750e-06  0.00  0.00   0.711000               3.545769e-05     0.00  
7.000000      8.000000       1.139148e-06  0.00  0.00   0.711000               3.545769e-05     0.00  
7.000000      8.301030       1.139148e-06  0.00  0.00   0.711000               3.545769e-05     0.00  
7.000000      8.602060       1.134341e-06  0.00  0.00   0.710000               3.545769e-05     0.00  
7.000000      8.845098       1.123126e-06  0.00  0.00   0.707000               3.521360e-05     0.00  
7.000000      9.000000       1.103900e-06  0.00  0.00   0.699000               3.473045e-05     0.00  
7.000000      9.176091       1.060641e-06  0.00  0.00   0.683000               3.362872e-05     0.00  
7.000000      9.301030       9.965539e-07  0.00  0.00   0.666000               3.263701e-05     0.00  
7.000000      9.477121       8.171101e-07  0.00  0.00   0.639000               3.138415e-05     0.00  
7.000000      9.698970       2.996070e-07  0.00  0.00   0.610000               3.088235e-05     0.00  
7.000000      10.000000     -5.046856e-07  0.00  0.00   0.584000               3.362872e-05     0.00  
7.000000      10.477121     -7.850666e-07  0.00  0.00   0.483000               4.642056e-04     0.00  
7.000000      11.000000     -8.155079e-07  0.00  0.00   0.270000               4.474148e-01     0.00  
8.000000      7.000000       3.101814e-06  0.00  0.00   0.647000               2.868867e-05     0.00  
8.000000      8.000000       3.101814e-06  0.00  0.00   0.647000               2.868867e-05     0.00  
8.000000      8.301030       3.100212e-06  0.00  0.00   0.647000               2.868867e-05     0.00  
8.000000      8.602060       3.098610e-06  0.00  0.00   0.647000               2.868867e-05     0.00  
8.000000      8.845098       3.093803e-06  0.00  0.00   0.643000               2.855686e-05     0.00  
8.000000      9.000000       3.085792e-06  0.00  0.00   0.636000               2.816504e-05     0.00  
8.000000      9.176091       3.064964e-06  0.00  0.00   0.620000               2.739747e-05     0.00  
8.000000      9.301030       3.036125e-06  0.00  0.00   0.605000               2.671225e-05     0.00  
8.000000      9.477121       2.954414e-06  0.00  0.00   0.581000               2.610420e-05     0.00  
8.000000      9.698970       2.693259e-06  0.00  0.00   0.561000               2.646735e-05     0.00  
8.000000      10.000000      1.573337e-06  0.00  0.00   0.558000               2.969685e-05     0.00  
8.000000      10.477121     -4.838573e-07  0.00  0.00   0.480000               4.342206e-04     0.00  
8.000000      11.000000     -7.882709e-07  0.00  0.00   0.270000               4.463858e-01     0.00  
9.000000      7.000000       7.480563e-06  0.00  0.00   0.238000               8.011436e-06     0.00  
9.000000      8.000000       7.480563e-06  0.00  0.00   0.238000               8.011436e-06     0.00  
9.000000      8.301030       7.480563e-06  0.00  0.00   0.238000               8.011436e-06     0.00  
9.000000      8.602060       7.480563e-06  0.00  0.00   0.237000               8.029905e-06     0.00  
9.000000      8.845098       7.477358e-06  0.00  0.00   0.236000               8.048416e-06     0.00  
9.000000      9.000000       7.474154e-06  0.00  0.00   0.231000               8.066969e-06     0.00  
9.000000      9.176091       7.464541e-06  0.00  0.00   0.222000               8.066969e-06     0.00  
9.000000      9.301030       7.450121e-06  0.00  0.00   0.215000               8.179192e-06     0.00  
9.000000      9.477121       7.413271e-06  0.00  0.00   0.215000               8.703830e-06     0.00  
9.000000      9.698970       7.291506e-06  0.00  0.00   0.245000               1.044024e-05     0.00  
9.000000      10.000000      6.724335e-06  0.00  0.00   0.336000               1.530067e-05     0.00  
9.000000      10.477121      2.340780e-06  0.00  0.00   0.432000               2.310524e-04     0.00  
9.000000      11.000000     -5.191052e-07  0.00  0.00   0.267000               4.382384e-01     0.00  
10.000000     7.000000       1.699429e-05  0.00  0.00   -6.691000              2.430583e-14     0.00  
10.000000     8.000000       1.699429e-05  0.00  0.00   -6.660000              2.797115e-14     0.00  
10.000000     8.301030       1.699429e-05  0.00  0.00   -6.421000              1.405110e-13     0.00  
10.000000     8.602060       1.699429e-05  0.00  0.00   -4.829000              1.843785e-11     0.00  
10.000000     8.845098       1.699269e-05  0.00  0.00   -3.898000              1.666136e-10     0.00  
10.000000     9.000000       1.699108e-05  0.00  0.00   -3.510000              4.282628e-10     0.00  
10.000000     9.176091       1.698628e-05  0.00  0.00   -3.100000              1.240825e-09     0.00  
10.000000     9.301030       1.697987e-05  0.00  0.00   -2.800000              2.727159e-09     0.00  
10.000000     9.477121       1.696224e-05  0.00  0.00   -2.384000              8.254873e-09     0.00  
10.000000     9.698970       1.690617e-05  0.00  0.00   -1.842000              3.712876e-08     0.00  
10.000000     10.000000      1.664181e-05  0.00  0.00   -1.071000              3.481051e-07     0.00  
10.000000     10.477121      1.386203e-05  0.00  0.00   -0.074000              1.935131e-05     0.00  
10.000000     11.000000      2.164541e-06  0.00  0.00   0.239000               3.611689e-01     0.00  
11.000000     7.000000       3.752778e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
11.000000     8.000000       3.752778e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
11.000000     8.301030       3.752778e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
11.000000     8.602060       3.752778e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
11.000000     8.845098       3.752618e-05  0.00  0.00   -90.107000             2.242386e-97     0.00  
11.000000     9.000000       3.752618e-05  0.00  0.00   -64.075000             3.441204e-71     0.00  
11.000000     9.176091       3.752298e-05  0.00  0.00   -43.712000             1.182253e-50     0.00  
11.000000     9.301030       3.752137e-05  0.00  0.00   -33.443000             2.908777e-40     0.00  
11.000000     9.477121       3.751176e-05  0.00  0.00   -23.010000             1.166032e-29     0.00  
11.000000     9.698970       3.748613e-05  0.00  0.00   -14.339000             8.824912e-21     0.00  
11.000000     10.000000      3.736436e-05  0.00  0.00   -7.356000              1.551352e-13     0.00  
11.000000     10.477121      3.605538e-05  0.00  0.00   -2.147000              1.113552e-07     0.00  
11.000000     11.000000      2.244810e-05  0.00  0.00   -0.089000              8.389004e-02     0.00  
