!63ga -> 63zn, e- capture
!Q=-5.009 MeV
!
!log(rhoY)    log(temp)     mu              dQ    Vs     log(e-cap-rate)        nu-energy-loss gamma-energy
!g/cm^3       log(K)        1/s             erg   erg    log(1/s)                    erg/s          erg/s
6.000000      8.301030       3.412636e-07  0.00  0.00   -2.308000              1.195943e-07   0.00  
6.000000      8.602060       3.316506e-07  0.00  0.00   -2.311000              1.193192e-07   0.00  
6.000000      8.845098       3.028114e-07  0.00  0.00   -2.320000              1.187710e-07   0.00  
6.000000      9.000000       2.579504e-07  0.00  0.00   -2.334000              1.174114e-07   0.00  
6.000000      9.176091       1.490024e-07  0.00  0.00   -2.362000              1.142116e-07   0.00  
6.000000      9.301030       1.602177e-09  0.00  0.00   -2.385000              1.113552e-07   0.00  
6.000000      9.477121      -3.396614e-07  0.00  0.00   -2.359000              1.134254e-07   0.00  
6.000000      9.698970      -6.729142e-07  0.00  0.00   -1.892000              1.917390e-07   0.00  
6.000000      10.000000     -7.866687e-07  0.00  0.00   -0.727000              2.007754e-06   0.00  
6.000000      10.477121     -8.155079e-07  0.00  0.00   1.811000               1.275588e-03   0.00  
6.000000      11.000000     -8.187123e-07  0.00  0.00   4.603000               2.677382e+00   0.00  
7.000000      7.000000       1.140750e-06  0.00  0.00   -1.376000              4.052382e-07   0.00  
7.000000      8.000000       1.139148e-06  0.00  0.00   -1.376000              4.052382e-07   0.00  
7.000000      8.301030       1.139148e-06  0.00  0.00   -1.376000              4.052382e-07   0.00  
7.000000      8.602060       1.134341e-06  0.00  0.00   -1.375000              4.061724e-07   0.00  
7.000000      8.845098       1.123126e-06  0.00  0.00   -1.375000              4.071087e-07   0.00  
7.000000      9.000000       1.103900e-06  0.00  0.00   -1.377000              4.052382e-07   0.00  
7.000000      9.176091       1.060641e-06  0.00  0.00   -1.387000              3.996781e-07   0.00  
7.000000      9.301030       9.965539e-07  0.00  0.00   -1.397000              3.941943e-07   0.00  
7.000000      9.477121       8.171101e-07  0.00  0.00   -1.403000              3.978418e-07   0.00  
7.000000      9.698970       2.996070e-07  0.00  0.00   -1.343000              4.783110e-07   0.00  
7.000000      10.000000     -5.046856e-07  0.00  0.00   -0.643000              2.424992e-06   0.00  
7.000000      10.477121     -7.850666e-07  0.00  0.00   1.814000               1.284430e-03   0.00  
7.000000      11.000000     -8.155079e-07  0.00  0.00   4.603000               2.677382e+00   0.00  
8.000000      7.000000       3.101814e-06  0.00  0.00   -0.267000              4.883266e-06   0.00  
8.000000      8.000000       3.101814e-06  0.00  0.00   -0.267000              4.883266e-06   0.00  
8.000000      8.301030       3.100212e-06  0.00  0.00   -0.267000              4.883266e-06   0.00  
8.000000      8.602060       3.098610e-06  0.00  0.00   -0.266000              4.894523e-06   0.00  
8.000000      8.845098       3.093803e-06  0.00  0.00   -0.267000              4.894523e-06   0.00  
8.000000      9.000000       3.085792e-06  0.00  0.00   -0.270000              4.860830e-06   0.00  
8.000000      9.176091       3.064964e-06  0.00  0.00   -0.281000              4.750184e-06   0.00  
8.000000      9.301030       3.036125e-06  0.00  0.00   -0.292000              4.652757e-06   0.00  
8.000000      9.477121       2.954414e-06  0.00  0.00   -0.303000              4.588919e-06   0.00  
8.000000      9.698970       2.693259e-06  0.00  0.00   -0.278000              5.066527e-06   0.00  
