!64ni -> 64cu, beta-decay
!Q=1.1641 MeV
!
!log(rhoY)    log(temp)     mu             dQ    VS     log(beta-decay-rate)   nu-energy-loss   gamma-energy
!log(g/cm^3)  log(K)        1/s            erg   erg    log(1/s)               erg/s            erg/s
6.000000      8.301030       3.412636e-07  0.00  0.00   -56.727000             1.284430e-63     0.00  
6.000000      8.602060       3.316506e-07  0.00  0.00   -31.995000             1.647064e-38     0.00  
6.000000      8.845098       3.028114e-07  0.00  0.00   -21.015000             3.521360e-27     0.00  
6.000000      9.000000       2.579504e-07  0.00  0.00   -16.290000             2.562774e-22     0.00  
6.000000      9.176091       1.490024e-07  0.00  0.00   -12.355000             3.457088e-18     0.00  
6.000000      9.301030       1.602177e-09  0.00  0.00   -10.202000             7.425238e-16     0.00  
6.000000      9.477121      -3.396614e-07  0.00  0.00   -7.639000              4.052382e-13     0.00  
6.000000      9.698970      -6.729142e-07  0.00  0.00   -4.844000              1.583837e-10     0.00  
6.000000      10.000000     -7.866687e-07  0.00  0.00   -2.187000              5.911673e-08     0.00  
6.000000      10.477121     -8.155079e-07  0.00  0.00   -0.504000              6.881932e-05     0.00  
6.000000      11.000000     -8.187123e-07  0.00  0.00   0.008000               7.686177e-02     0.00  
7.000000      7.000000       1.140750e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
7.000000      8.000000       1.139148e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
7.000000      8.301030       1.139148e-06  0.00  0.00   -68.180000             8.505707e-76     0.00  
7.000000      8.602060       1.134341e-06  0.00  0.00   -37.238000             1.620729e-44     0.00  
7.000000      8.845098       1.123126e-06  0.00  0.00   -23.658000             1.246552e-30     0.00  
7.000000      9.000000       1.103900e-06  0.00  0.00   -18.027000             8.564665e-25     0.00  
7.000000      9.176091       1.060641e-06  0.00  0.00   -13.387000             6.276397e-20     0.00  
7.000000      9.301030       9.965539e-07  0.00  0.00   -10.838000             3.131197e-17     0.00  
7.000000      9.477121       8.171101e-07  0.00  0.00   -7.877000              4.362248e-14     0.00  
7.000000      9.698970       2.996070e-07  0.00  0.00   -4.887000              6.850313e-11     0.00  
7.000000      10.000000     -5.046856e-07  0.00  0.00   -2.193000              5.342080e-08     0.00  
7.000000      10.477121     -7.850666e-07  0.00  0.00   -0.505000              6.834557e-05     0.00  
7.000000      11.000000     -8.155079e-07  0.00  0.00   0.008000               7.686177e-02     0.00  
8.000000      7.000000       3.101814e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
8.000000      8.000000       3.101814e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
8.000000      8.301030       3.100212e-06  0.00  0.00   -98.556000             2.695941e-106    0.00  
8.000000      8.602060       3.098610e-06  0.00  0.00   -52.160000             1.369968e-59     0.00  
8.000000      8.845098       3.093803e-06  0.00  0.00   -31.844000             5.137010e-39     0.00  
8.000000      9.000000       3.085792e-06  0.00  0.00   -23.404000             2.102376e-30     0.00  
8.000000      9.176091       3.064964e-06  0.00  0.00   -16.479000             2.689741e-23     0.00  
8.000000      9.301030       3.036125e-06  0.00  0.00   -12.801000             1.704945e-19     0.00  
8.000000      9.477121       2.954414e-06  0.00  0.00   -8.838000              2.475771e-15     0.00  
8.000000      9.698970       2.693259e-06  0.00  0.00   -5.203000              1.953037e-11     0.00  
8.000000      10.000000      1.573337e-06  0.00  0.00   -2.271000              2.902087e-08     0.00  
8.000000      10.477121     -4.838573e-07  0.00  0.00   -0.511000              6.378380e-05     0.00  
8.000000      11.000000     -7.882709e-07  0.00  0.00   0.008000               7.668500e-02     0.00  
9.000000      7.000000       7.480563e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
9.000000      8.000000       7.480563e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
9.000000      8.301030       7.480563e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
9.000000      8.602060       7.480563e-06  0.00  0.00   -84.474000             5.580979e-92     0.00  
9.000000      8.845098       7.477358e-06  0.00  0.00   -49.429000             1.085701e-56     0.00  
9.000000      9.000000       7.474154e-06  0.00  0.00   -35.153000             3.109642e-42     0.00  
9.000000      9.176091       7.464541e-06  0.00  0.00   -23.732000             1.326510e-30     0.00  
9.000000      9.301030       7.450121e-06  0.00  0.00   -17.823000             1.444476e-24     0.00  
9.000000      9.477121       7.413271e-06  0.00  0.00   -11.693000             2.862269e-18     0.00  
9.000000      9.698970       7.291506e-06  0.00  0.00   -6.607000              5.466513e-13     0.00  
9.000000      10.000000      6.724335e-06  0.00  0.00   -2.898000              4.610101e-09     0.00  
9.000000      10.477121      2.340780e-06  0.00  0.00   -0.591000              3.324378e-05     0.00  
9.000000      11.000000     -5.191052e-07  0.00  0.00   0.005000               7.528534e-02     0.00  
10.000000     7.000000       1.699429e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
10.000000     8.000000       1.699429e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
10.000000     8.301030       1.699429e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
10.000000     8.602060       1.699429e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
10.000000     8.845098       1.699269e-05  0.00  0.00   -91.354000             1.260986e-98     0.00  
10.000000     9.000000       1.699108e-05  0.00  0.00   -64.276000             2.141462e-71     0.00  
10.000000     9.176091       1.698628e-05  0.00  0.00   -42.957000             6.587345e-50     0.00  
10.000000     9.301030       1.697987e-05  0.00  0.00   -32.133000             5.790424e-39     0.00  
10.000000     9.477121       1.696224e-05  0.00  0.00   -21.118000             8.723894e-28     0.00  
10.000000     9.698970       1.690617e-05  0.00  0.00   -12.175000             1.198700e-18     0.00  
10.000000     10.000000      1.664181e-05  0.00  0.00   -5.618000              7.425238e-12     0.00  
10.000000     10.477121      1.386203e-05  0.00  0.00   -1.303000              2.273581e-06     0.00  
