!65cu -> 65ni, e- capture
!Q=2.6481 MeV
!
!log(rhoY)    log(temp)     mu              dQ    Vs     log(e-cap-rate)        nu-energy-loss gamma-energy
!g/cm^3       log(K)        1/s             erg   erg    log(1/s)                    erg/s          erg/s
6.000000      8.301030       3.412636e-07  0.00  0.00   -56.116000             6.557079e-64   0.00  
6.000000      8.602060       3.316506e-07  0.00  0.00   -30.926000             2.097541e-38   0.00  
6.000000      8.845098       3.028114e-07  0.00  0.00   -19.751000             5.684737e-27   0.00  
6.000000      9.000000       2.579504e-07  0.00  0.00   -15.109000             3.661933e-22   0.00  
6.000000      9.176091       1.490024e-07  0.00  0.00   -11.346000             3.332041e-18   0.00  
6.000000      9.301030       1.602177e-09  0.00  0.00   -9.367000              4.402612e-16   0.00  
6.000000      9.477121      -3.396614e-07  0.00  0.00   -7.219000              1.003946e-13   0.00  
6.000000      9.698970      -6.729142e-07  0.00  0.00   -4.945000              3.620015e-11   0.00  
6.000000      10.000000     -7.866687e-07  0.00  0.00   -2.367000              3.293900e-08   0.00  
6.000000      10.477121     -8.155079e-07  0.00  0.00   1.191000               3.497119e-04   0.00  
6.000000      11.000000     -8.187123e-07  0.00  0.00   4.254000               1.249426e+00   0.00  
7.000000      7.000000       1.140750e-06  0.00  0.00   -99.999000             1.605870e-106  0.00  
7.000000      8.000000       1.139148e-06  0.00  0.00   -81.172000             3.670375e-89   0.00  
7.000000      8.301030       1.139148e-06  0.00  0.00   -43.929000             1.252306e-51   0.00  
7.000000      8.602060       1.134341e-06  0.00  0.00   -24.777000             3.189410e-32   0.00  
7.000000      8.845098       1.123126e-06  0.00  0.00   -16.180000             2.196395e-23   0.00  
7.000000      9.000000       1.103900e-06  0.00  0.00   -12.536000             1.414850e-19   0.00  
7.000000      9.176091       1.060641e-06  0.00  0.00   -9.500000              2.397234e-16   0.00  
7.000000      9.301030       9.965539e-07  0.00  0.00   -7.852000              1.474723e-14   0.00  
7.000000      9.477121       8.171101e-07  0.00  0.00   -6.038000              1.544224e-12   0.00  
7.000000      9.698970       2.996070e-07  0.00  0.00   -4.348000              1.431233e-10   0.00  
7.000000      10.000000     -5.046856e-07  0.00  0.00   -2.280000              4.005995e-08   0.00  
7.000000      10.477121     -7.850666e-07  0.00  0.00   1.194000               3.521360e-04   0.00  
7.000000      11.000000     -8.155079e-07  0.00  0.00   4.254000               1.249426e+00   0.00  
8.000000      7.000000       3.101814e-06  0.00  0.00   -99.999000             1.605870e-106  0.00  
8.000000      8.000000       3.101814e-06  0.00  0.00   -19.950000             4.685009e-28   0.00  
8.000000      8.301030       3.100212e-06  0.00  0.00   -13.779000             1.395438e-21   0.00  
8.000000      8.602060       3.098610e-06  0.00  0.00   -9.867000              2.305209e-17   0.00  
8.000000      8.845098       3.093803e-06  0.00  0.00   -7.751000              5.366738e-15   0.00  
8.000000      9.000000       3.085792e-06  0.00  0.00   -6.707000              8.683812e-14   0.00  
8.000000      9.176091       3.064964e-06  0.00  0.00   -5.686000              1.481530e-12   0.00  
8.000000      9.301030       3.036125e-06  0.00  0.00   -5.006000              1.056113e-11   0.00  
8.000000      9.477121       2.954414e-06  0.00  0.00   -4.064000              1.583837e-10   0.00  
8.000000      9.698970       2.693259e-06  0.00  0.00   -2.981000              3.505181e-09   0.00  
8.000000      10.000000      1.573337e-06  0.00  0.00   -1.659000              1.662304e-07   0.00  
8.000000      10.477121     -4.838573e-07  0.00  0.00   1.225000               3.773205e-04   0.00  
8.000000      11.000000     -7.882709e-07  0.00  0.00   4.255000               1.252306e+00   0.00  
9.000000      7.000000       7.480563e-06  0.00  0.00   -1.243000              1.716763e-07   0.00  
9.000000      8.000000       7.480563e-06  0.00  0.00   -1.243000              1.716763e-07   0.00  
9.000000      8.301030       7.480563e-06  0.00  0.00   -1.243000              1.716763e-07   0.00  
9.000000      8.602060       7.480563e-06  0.00  0.00   -1.242000              1.724687e-07   0.00  
9.000000      8.845098       7.477358e-06  0.00  0.00   -1.240000              1.740646e-07   0.00  
9.000000      9.000000       7.474154e-06  0.00  0.00   -1.236000              1.768929e-07   0.00  
9.000000      9.176091       7.464541e-06  0.00  0.00   -1.227000              1.839545e-07   0.00  
9.000000      9.301030       7.450121e-06  0.00  0.00   -1.214000              1.944063e-07   0.00  
9.000000      9.477121       7.413271e-06  0.00  0.00   -1.166000              2.364343e-07   0.00  
9.000000      9.698970       7.291506e-06  0.00  0.00   -0.959000              5.054875e-07   0.00  
9.000000      10.000000      6.724335e-06  0.00  0.00   -0.294000              4.118228e-06   0.00  
9.000000      10.477121      2.340780e-06  0.00  0.00   1.511000               7.306517e-04   0.00  
9.000000      11.000000     -5.191052e-07  0.00  0.00   4.263000               1.275588e+00   0.00  
10.000000     7.000000       1.699429e-05  0.00  0.00   1.533000               2.257930e-04   0.00  
10.000000     8.000000       1.699429e-05  0.00  0.00   1.533000               2.257930e-04   0.00  
10.000000     8.301030       1.699429e-05  0.00  0.00   1.533000               2.257930e-04   0.00  
10.000000     8.602060       1.699429e-05  0.00  0.00   1.533000               2.257930e-04   0.00  
10.000000     8.845098       1.699269e-05  0.00  0.00   1.534000               2.263135e-04   0.00  
10.000000     9.000000       1.699108e-05  0.00  0.00   1.535000               2.273581e-04   0.00  
10.000000     9.176091       1.698628e-05  0.00  0.00   1.538000               2.294618e-04   0.00  
10.000000     9.301030       1.697987e-05  0.00  0.00   1.541000               2.321188e-04   0.00  
10.000000     9.477121       1.696224e-05  0.00  0.00   1.553000               2.419415e-04   0.00  
10.000000     9.698970       1.690617e-05  0.00  0.00   1.599000               2.862269e-04   0.00  
10.000000     10.000000      1.664181e-05  0.00  0.00   1.778000               5.593845e-04   0.00  
10.000000     10.477121      1.386203e-05  0.00  0.00   2.603000               9.369370e-03   0.00  
10.000000     11.000000      2.164541e-06  0.00  0.00   4.345000               1.544224e+00   0.00  
11.000000     7.000000       3.752778e-05  0.00  0.00   3.955000               1.948545e-01   0.00  
11.000000     8.000000       3.752778e-05  0.00  0.00   3.955000               1.948545e-01   0.00  
11.000000     8.301030       3.752778e-05  0.00  0.00   3.955000               1.948545e-01   0.00  
11.000000     8.602060       3.752778e-05  0.00  0.00   3.955000               1.948545e-01   0.00  
11.000000     8.845098       3.752618e-05  0.00  0.00   3.955000               1.948545e-01   0.00  
11.000000     9.000000       3.752618e-05  0.00  0.00   3.956000               1.948545e-01   0.00  
11.000000     9.176091       3.752298e-05  0.00  0.00   3.956000               1.948545e-01   0.00  
11.000000     9.301030       3.752137e-05  0.00  0.00   3.956000               1.953037e-01   0.00  
11.000000     9.477121       3.751176e-05  0.00  0.00   3.957000               1.962051e-01   0.00  
11.000000     9.698970       3.748613e-05  0.00  0.00   3.964000               2.007754e-01   0.00  
11.000000     10.000000      3.736436e-05  0.00  0.00   3.990000               2.211619e-01   0.00  
11.000000     10.477121      3.605538e-05  0.00  0.00   4.199000               4.928450e-01   0.00  
11.000000     11.000000      2.244810e-05  0.00  0.00   4.949000               6.393084e+00   0.00  
