 Q values are the nuclear mass differences (parent - daughter) in MeV.

     t9 = temperature (T(K) / 10^9)
     lrho = log base 10 of the product of the density (g * cm^-3) and
            the electron fraction
     uf = electron kinetic chemical potential (MeV)
     lbeta+ = log base 10 of the positron decay rate (s^-1)
     lfte- = log base 10 of the effective ft value for electron
             capture (s)
     lnu = log base 10 of the average energy of the emitted neutrinos
           in both positron emission and electron capture (MeV)
     lbeta- = log base 10 of the electron decay rate (s^-1)
     lfte+ = log base 10 of the effective ft value for positron
             capture (s)
     lnubar = log base 10 of the average energy of the emitted
              antineutrinos in both electron emission and positron 
              capture (MeV) 

 neg. daughter H1   z= 1 n= 0 a= 1 Q=  1.2933
 pos. daughter N01  z= 0 n= 1 a= 1 Q= -1.2933
                      +++ H1   --> N01  +++      --- N01  --> H1   ---
   t9   lrho    uf    lbeta+    lfte-     lnu    lbeta-    lfte+   lnubar
  0.01  1.0  -0.003  -99.999  -99.999  -99.999   -2.959  -99.999   -0.318
  0.10  1.0  -0.058  -99.999    3.052   -1.581   -2.959    3.815   -0.318
  0.20  1.0  -0.134  -99.999    3.051   -1.274   -2.959    3.664   -0.318
  0.40  1.0  -0.306  -99.999    3.048   -0.962   -2.959    3.513   -0.318
  0.70  1.0  -0.503  -99.999    3.045   -0.705   -2.959    3.392   -0.318
  1.00  1.0  -0.511  -99.999    3.042   -0.537   -2.959    3.317   -0.314
  1.50  1.0  -0.511  -99.999    3.038   -0.343   -2.960    3.235   -0.261
  2.00  1.0  -0.511  -99.999    3.035   -0.203   -2.964    3.182   -0.095
  3.00  1.0  -0.511  -99.999    3.031   -0.004   -2.980    3.119    0.249
  5.00  1.0  -0.511  -99.999    3.026    0.248   -3.023    3.067    0.489
 10.00  1.0  -0.511  -99.999    3.021    0.584   -3.103    3.037    0.718
 30.00  1.0  -0.511  -99.999    3.019    1.096   -3.197    3.029    1.142
100.00  1.0  -0.511  -99.999    3.018    1.634   -3.240    3.028    1.647
  0.01  2.0  -0.001  -99.999  -99.999  -99.999   -2.959  -99.999   -0.318
  0.10  2.0  -0.038  -99.999    3.052   -1.581   -2.959    3.815   -0.318
  0.20  2.0  -0.095  -99.999    3.051   -1.274   -2.959    3.664   -0.318
  0.40  2.0  -0.227  -99.999    3.048   -0.962   -2.959    3.513   -0.318
  0.70  2.0  -0.446  -99.999    3.045   -0.705   -2.959    3.392   -0.318
  1.00  2.0  -0.506  -99.999    3.042   -0.537   -2.959    3.317   -0.315
  1.50  2.0  -0.511  -99.999    3.038   -0.343   -2.960    3.235   -0.261
  2.00  2.0  -0.511  -99.999    3.035   -0.203   -2.964    3.182   -0.095
  3.00  2.0  -0.511  -99.999    3.031   -0.004   -2.980    3.119    0.249
  5.00  2.0  -0.511  -99.999    3.026    0.248   -3.023    3.067    0.489
 10.00  2.0  -0.511  -99.999    3.021    0.584   -3.103    3.037    0.718
 30.00  2.0  -0.511  -99.999    3.019    1.096   -3.197    3.029    1.142
100.00  2.0  -0.511  -99.999    3.018    1.634   -3.240    3.028    1.647
  0.01  3.0   0.002  -99.999  -99.999  -99.999   -2.959  -99.999   -0.318
  0.10  3.0  -0.018  -99.999    3.052   -1.581   -2.959    3.815   -0.318
  0.20  3.0  -0.055  -99.999    3.051   -1.274   -2.959    3.664   -0.318
  0.40  3.0  -0.147  -99.999    3.048   -0.962   -2.959    3.513   -0.318
  0.70  3.0  -0.314  -99.999    3.045   -0.705   -2.959    3.392   -0.318
  1.00  3.0  -0.465  -99.999    3.042   -0.537   -2.959    3.317   -0.316
  1.50  3.0  -0.506  -99.999    3.038   -0.343   -2.960    3.235   -0.263
  2.00  3.0  -0.510  -99.999    3.035   -0.203   -2.964    3.182   -0.096
  3.00  3.0  -0.511  -99.999    3.031   -0.004   -2.980    3.119    0.249
  5.00  3.0  -0.511  -99.999    3.026    0.248   -3.023    3.067    0.489
 10.00  3.0  -0.511  -99.999    3.021    0.584   -3.103    3.037    0.718
 30.00  3.0  -0.511  -99.999    3.019    1.096   -3.197    3.029    1.142
100.00  3.0  -0.511  -99.999    3.018    1.634   -3.240    3.028    1.647
  0.01  4.0   0.012  -99.999  -99.999  -99.999   -2.961  -99.999   -0.319
  0.10  4.0   0.005  -99.999    3.052   -1.581   -2.961    3.815   -0.319
  0.20  4.0  -0.013  -99.999    3.051   -1.274   -2.961    3.664   -0.319
  0.40  4.0  -0.067  -99.999    3.048   -0.962   -2.961    3.513   -0.319
  0.70  4.0  -0.174  -99.999    3.045   -0.705   -2.960    3.392   -0.319
  1.00  4.0  -0.302  -99.999    3.042   -0.537   -2.960    3.317   -0.318
  1.50  4.0  -0.464  -99.999    3.038   -0.343   -2.961    3.236   -0.277
  2.00  4.0  -0.497  -99.999    3.035   -0.203   -2.965    3.182   -0.107
  3.00  4.0  -0.507  -99.999    3.031   -0.004   -2.981    3.119    0.247
  5.00  4.0  -0.510  -99.999    3.026    0.248   -3.023    3.067    0.489
 10.00  4.0  -0.511  -99.999    3.021    0.584   -3.103    3.037    0.718
 30.00  4.0  -0.511  -99.999    3.019    1.096   -3.197    3.029    1.142
100.00  4.0  -0.511  -99.999    3.018    1.634   -3.240    3.028    1.647
  0.01  5.0   0.053  -99.999  -99.999  -99.999   -2.980  -99.999   -0.330
  0.10  5.0   0.052  -99.999    3.052   -1.581   -2.979    3.815   -0.330
  0.20  5.0   0.047  -99.999    3.051   -1.274   -2.979    3.664   -0.329
  0.40  5.0   0.026  -99.999    3.048   -0.962   -2.978    3.513   -0.328
  0.70  5.0  -0.026  -99.999    3.045   -0.705   -2.975    3.392   -0.325
  1.00  5.0  -0.098  -99.999    3.042   -0.537   -2.973    3.317   -0.324
  1.50  5.0  -0.246  -99.999    3.038   -0.343   -2.970    3.236   -0.313
  2.00  5.0  -0.383  -99.999    3.035   -0.203   -2.971    3.183   -0.186
  3.00  5.0  -0.476  -99.999    3.031   -0.004   -2.983    3.120    0.234
  5.00  5.0  -0.502  -99.999    3.026    0.248   -3.024    3.067    0.489
 10.00  5.0  -0.509  -99.999    3.021    0.584   -3.103    3.037    0.718
 30.00  5.0  -0.511  -99.999    3.019    1.096   -3.197    3.029    1.142
100.00  5.0  -0.511  -99.999    3.018    1.634   -3.240    3.028    1.647
  0.01  6.0   0.215  -99.999  -99.999  -99.999   -3.140  -99.999   -0.410
  0.10  6.0   0.214  -99.999    3.052   -1.581   -3.140    3.815   -0.409
  0.20  6.0   0.213  -99.999    3.051   -1.274   -3.138    3.664   -0.407
  0.40  6.0   0.207  -99.999    3.048   -0.962   -3.131    3.513   -0.399
  0.70  6.0   0.189  -99.999    3.045   -0.705   -3.116    3.392   -0.384
  1.00  6.0   0.161  -99.999    3.042   -0.537   -3.098    3.317   -0.369
  1.50  6.0   0.093  -99.999    3.038   -0.343   -3.070    3.236   -0.350
  2.00  6.0   0.001  -99.999    3.035   -0.203   -3.048    3.184   -0.317
  3.00  6.0  -0.212  -99.999    3.031   -0.004   -3.022    3.121    0.096
  5.00  6.0  -0.420  -99.999    3.026    0.248   -3.037    3.067    0.485
 10.00  6.0  -0.491  -99.999    3.021    0.584   -3.105    3.037    0.718
 30.00  6.0  -0.509  -99.999    3.019    1.096   -3.197    3.029    1.142
100.00  6.0  -0.511  -99.999    3.018    1.634   -3.240    3.028    1.647
  0.01  7.0   0.712  -99.999    3.054   -2.587   -5.499  -99.999   -1.277
  0.10  7.0   0.711  -99.999    3.052   -1.581   -5.442    3.815   -1.224
  0.20  7.0   0.711  -99.999    3.051   -1.274   -5.306    3.664   -1.116
  0.40  7.0   0.708  -99.999    3.048   -0.960   -4.989    3.513   -0.924
  0.70  7.0   0.701  -99.999    3.045   -0.699   -4.592    3.392   -0.736
  1.00  7.0   0.689  -99.999    3.042   -0.530   -4.297    3.317   -0.619
  1.50  7.0   0.662  -99.999    3.038   -0.335   -3.955    3.236   -0.506
  2.00  7.0   0.622  -99.999    3.035   -0.196   -3.727    3.184   -0.440
  3.00  7.0   0.510  -99.999    3.031    0.002   -3.451    3.122   -0.217
  5.00  7.0   0.187  -99.999    3.026    0.250   -3.208    3.069    0.447
 10.00  7.0  -0.315  -99.999    3.021    0.585   -3.133    3.037    0.717
 30.00  7.0  -0.490  -99.999    3.019    1.096   -3.198    3.029    1.141
100.00  7.0  -0.509  -99.999    3.018    1.634   -3.240    3.028    1.647
  0.01  8.0   1.936  -99.999    3.030   -0.041  -99.999  -99.999  -99.999
  0.10  8.0   1.936  -99.999    3.030   -0.041  -65.570  -99.999   -1.594
  0.20  8.0   1.935  -99.999    3.030   -0.040  -35.616    3.664   -1.300
  0.40  8.0   1.934  -99.999    3.030   -0.037  -20.209    3.513   -1.013
  0.70  8.0   1.931  -99.999    3.030   -0.028  -13.299    3.392   -0.796
  1.00  8.0   1.926  -99.999    3.030   -0.015  -10.394    3.317   -0.671
  1.50  8.0   1.913  -99.999    3.029    0.015   -8.020    3.236   -0.553
  2.00  8.0   1.895  -99.999    3.028    0.052   -6.773    3.184   -0.487
  3.00  8.0   1.844  -99.999    3.027    0.136   -5.462    3.122   -0.305
  5.00  8.0   1.681  -99.999    3.024    0.301   -4.338    3.070    0.381
 10.00  8.0   0.982  -99.999    3.021    0.594   -3.462    3.038    0.712
 30.00  8.0  -0.302  -99.999    3.019    1.096   -3.212    3.029    1.141
100.00  8.0  -0.492  -99.999    3.018    1.634   -3.240    3.028    1.647
  0.01  9.0   4.669  -99.999    3.021    0.499  -99.999  -99.999  -99.999
  0.10  9.0   4.669  -99.999    3.021    0.499  -99.999  -99.999  -99.999
  0.20  9.0   4.669  -99.999    3.021    0.500  -99.999  -99.999  -99.999
  0.40  9.0   4.669  -99.999    3.021    0.500  -54.663    3.513   -1.013
  0.70  9.0   4.667  -99.999    3.021    0.501  -33.000    3.392   -0.796
  1.00  9.0   4.665  -99.999    3.021    0.502  -24.198    3.317   -0.671
  1.50  9.0   4.659  -99.999    3.021    0.505  -17.246    3.236   -0.553
  2.00  9.0   4.650  -99.999    3.021    0.510  -13.716    3.184   -0.487
  3.00  9.0   4.627  -99.999    3.021    0.522  -10.135    3.122   -0.306
  5.00  9.0   4.551  -99.999    3.021    0.559   -7.210    3.070    0.376
 10.00  9.0   4.197  -99.999    3.020    0.686   -4.919    3.038    0.710
 30.00  9.0   1.461  -99.999    3.019    1.101   -3.368    3.029    1.138
100.00  9.0  -0.324  -99.999    3.018    1.634   -3.244    3.028    1.647
  0.01 10.0  10.607  -99.999    3.019    0.908  -99.999  -99.999  -99.999
  0.10 10.0  10.607  -99.999    3.019    0.908  -99.999  -99.999  -99.999
  0.20 10.0  10.607  -99.999    3.019    0.908  -99.999  -99.999  -99.999
  0.40 10.0  10.607  -99.999    3.019    0.908  -99.999  -99.999  -99.999
  0.70 10.0  10.606  -99.999    3.019    0.908  -75.759    3.392   -0.796
  1.00 10.0  10.605  -99.999    3.019    0.908  -54.136    3.317   -0.671
  1.50 10.0  10.602  -99.999    3.019    0.909  -37.215    3.236   -0.553
  2.00 10.0  10.598  -99.999    3.019    0.910  -28.704    3.184   -0.487
  3.00 10.0  10.587  -99.999    3.019    0.912  -20.148    3.122   -0.306
  5.00 10.0  10.552  -99.999    3.019    0.919  -13.259    3.070    0.376
 10.00 10.0  10.387  -99.999    3.019    0.948   -8.034    3.038    0.710
 30.00 10.0   8.652  -99.999    3.018    1.151   -4.378    3.029    1.135
100.00 10.0   1.351  -99.999    3.018    1.635   -3.287    3.028    1.646
  0.01 11.0  23.423  -99.999    3.018    1.273  -99.999  -99.999  -99.999
  0.10 11.0  23.423  -99.999    3.018    1.273  -99.999  -99.999  -99.999
  0.20 11.0  23.423  -99.999    3.018    1.273  -99.999  -99.999  -99.999
  0.40 11.0  23.423  -99.999    3.018    1.273  -99.999  -99.999  -99.999
  0.70 11.0  23.422  -99.999    3.018    1.273  -99.999  -99.999  -99.999
  1.00 11.0  23.422  -99.999    3.018    1.273  -99.999  -99.999  -99.999
  1.50 11.0  23.420  -99.999    3.018    1.274  -80.282    3.236   -0.553
  2.00 11.0  23.419  -99.999    3.018    1.274  -61.009    3.184   -0.487
  3.00 11.0  23.413  -99.999    3.018    1.274  -41.695    3.122   -0.306
  5.00 11.0  23.397  -99.999    3.018    1.275  -26.206    3.070    0.376
 10.00 11.0  23.321  -99.999    3.018    1.281  -14.552    3.038    0.710
 30.00 11.0  22.504  -99.999    3.018    1.339   -6.688    3.029    1.135
100.00 11.0  14.011  -99.999    3.018    1.650   -3.730    3.028    1.642
     end
 neg. daughter Sc45 z=21 n=24 a=45 Q=  0.7678
 pos. daughter Ca45 z=20 n=25 a=45 Q= -0.7678
                      +++ Sc45 --> Ca45 +++      --- Ca45 --> Sc45 ---
   t9   lrho    uf    lbeta+    lfte-     lnu    lbeta-    lfte+   lnubar
  0.01  1.0  -0.003  -99.999  -99.999  -99.999   -7.302  -99.999   -0.746
  0.10  1.0  -0.058  -91.517    5.796   -1.577   -7.302    7.565   -0.746
  0.20  1.0  -0.134  -49.637    5.792   -1.266   -7.302    7.083   -0.746
  0.40  1.0  -0.306  -28.693    5.785   -0.947   -7.304    6.684   -0.745
  0.70  1.0  -0.503  -19.589    5.763   -0.663   -7.318    6.412   -0.742
  1.00  1.0  -0.511  -15.669    5.702   -0.453   -7.338    6.260   -0.668
  1.50  1.0  -0.511  -12.102    5.571   -0.231   -7.372    6.104   -0.187
  2.00  1.0  -0.511   -9.978    5.471   -0.091   -7.366    5.997    0.060
  3.00  1.0  -0.511   -7.588    5.339    0.117   -6.781    5.824    0.190
  5.00  1.0  -0.511   -5.332    5.019    0.430   -5.189    5.417    0.312
 10.00  1.0  -0.511   -2.824    4.304    0.760   -2.797    4.596    0.559
 30.00  1.0  -0.511   -0.754    3.650    1.183   -1.391    3.985    1.056
100.00  1.0  -0.511   -0.189    3.581    1.641   -1.334    4.091    1.609
  0.01  2.0  -0.001  -99.999  -99.999  -99.999   -7.303  -99.999   -0.746
  0.10  2.0  -0.038  -91.517    5.796   -1.577   -7.303    7.565   -0.746
  0.20  2.0  -0.095  -49.637    5.792   -1.266   -7.302    7.083   -0.746
  0.40  2.0  -0.227  -28.693    5.785   -0.947   -7.304    6.684   -0.745
  0.70  2.0  -0.446  -19.589    5.763   -0.663   -7.318    6.412   -0.743
  1.00  2.0  -0.506  -15.669    5.702   -0.453   -7.338    6.260   -0.672
  1.50  2.0  -0.511  -12.102    5.571   -0.231   -7.372    6.104   -0.188
  2.00  2.0  -0.511   -9.978    5.471   -0.091   -7.366    5.997    0.060
  3.00  2.0  -0.511   -7.588    5.339    0.117   -6.781    5.824    0.190
  5.00  2.0  -0.511   -5.332    5.019    0.430   -5.189    5.417    0.312
 10.00  2.0  -0.511   -2.824    4.304    0.760   -2.797    4.596    0.559
 30.00  2.0  -0.511   -0.754    3.650    1.183   -1.391    3.985    1.056
100.00  2.0  -0.511   -0.189    3.581    1.641   -1.334    4.091    1.609
  0.01  3.0   0.002  -99.999  -99.999  -99.999   -7.311  -99.999   -0.749
  0.10  3.0  -0.018  -91.517    5.796   -1.577   -7.306    7.565   -0.747
  0.20  3.0  -0.055  -49.637    5.792   -1.266   -7.305    7.083   -0.746
  0.40  3.0  -0.147  -28.693    5.785   -0.947   -7.305    6.684   -0.746
  0.70  3.0  -0.314  -19.589    5.763   -0.663   -7.318    6.412   -0.744
  1.00  3.0  -0.465  -15.669    5.702   -0.453   -7.339    6.260   -0.696
  1.50  3.0  -0.506  -12.101    5.571   -0.231   -7.372    6.104   -0.193
  2.00  3.0  -0.510   -9.978    5.471   -0.091   -7.366    5.997    0.060
  3.00  3.0  -0.511   -7.588    5.339    0.117   -6.781    5.824    0.190
  5.00  3.0  -0.511   -5.332    5.019    0.430   -5.189    5.417    0.312
 10.00  3.0  -0.511   -2.824    4.304    0.760   -2.797    4.596    0.559
 30.00  3.0  -0.511   -0.754    3.650    1.183   -1.391    3.985    1.056
100.00  3.0  -0.511   -0.189    3.581    1.641   -1.334    4.091    1.609
  0.01  4.0   0.012  -99.999  -99.999  -99.999   -7.345  -99.999   -0.764
  0.10  4.0   0.005  -91.517    5.796   -1.577   -7.334    7.565   -0.758
  0.20  4.0  -0.013  -49.637    5.792   -1.266   -7.325    7.083   -0.753
  0.40  4.0  -0.067  -28.693    5.785   -0.947   -7.319    6.684   -0.749
  0.70  4.0  -0.174  -19.589    5.763   -0.663   -7.327    6.412   -0.746
  1.00  4.0  -0.302  -15.669    5.702   -0.453   -7.344    6.260   -0.736
  1.50  4.0  -0.464  -12.101    5.571   -0.231   -7.374    6.104   -0.250
  2.00  4.0  -0.497   -9.977    5.471   -0.091   -7.367    5.997    0.056
  3.00  4.0  -0.507   -7.588    5.339    0.117   -6.781    5.824    0.190
  5.00  4.0  -0.510   -5.332    5.019    0.431   -5.189    5.417    0.312
 10.00  4.0  -0.511   -2.824    4.304    0.760   -2.797    4.596    0.559
 30.00  4.0  -0.511   -0.754    3.650    1.183   -1.391    3.985    1.056
100.00  4.0  -0.511   -0.189    3.581    1.641   -1.334    4.091    1.609
  0.01  5.0   0.053  -99.999  -99.999  -99.999   -7.524  -99.999   -0.837
  0.10  5.0   0.052  -91.517    5.796   -1.577   -7.514    7.565   -0.829
  0.20  5.0   0.047  -49.637    5.792   -1.266   -7.490    7.083   -0.811
  0.40  5.0   0.026  -28.693    5.785   -0.947   -7.441    6.684   -0.782
  0.70  5.0  -0.026  -19.589    5.765   -0.666   -7.406    6.412   -0.761
  1.00  5.0  -0.098  -15.669    5.707   -0.455   -7.398    6.260   -0.750
  1.50  5.0  -0.246  -12.101    5.575   -0.230   -7.403    6.105   -0.537
  2.00  5.0  -0.383   -9.976    5.473   -0.090   -7.381    5.998    0.007
  3.00  5.0  -0.476   -7.588    5.339    0.118   -6.783    5.825    0.189
  5.00  5.0  -0.502   -5.331    5.019    0.431   -5.189    5.417    0.312
 10.00  5.0  -0.509   -2.824    4.304    0.760   -2.797    4.596    0.559
 30.00  5.0  -0.511   -0.754    3.650    1.183   -1.391    3.985    1.056
100.00  5.0  -0.511   -0.189    3.581    1.641   -1.334    4.091    1.609
  0.01  6.0   0.215  -99.999    5.800   -2.586   -9.382  -99.999   -1.503
  0.10  6.0   0.214  -91.517    5.796   -1.576   -9.236    7.565   -1.378
  0.20  6.0   0.213  -49.637    5.792   -1.264   -8.966    7.083   -1.205
  0.40  6.0   0.207  -28.693    5.785   -0.942   -8.504    6.684   -0.988
  0.70  6.0   0.189  -19.589    5.772   -0.670   -8.091    6.412   -0.854
  1.00  6.0   0.161  -15.669    5.733   -0.465   -7.874    6.260   -0.802
  1.50  6.0   0.093  -12.100    5.608   -0.227   -7.691    6.105   -0.716
  2.00  6.0   0.001   -9.975    5.495   -0.084   -7.551    6.000   -0.246
  3.00  6.0  -0.212   -7.583    5.347    0.123   -6.810    5.828    0.170
  5.00  6.0  -0.420   -5.328    5.021    0.436   -5.192    5.419    0.312
 10.00  6.0  -0.491   -2.823    4.305    0.761   -2.797    4.596    0.559
 30.00  6.0  -0.509   -0.754    3.650    1.183   -1.391    3.985    1.056
100.00  6.0  -0.511   -0.189    3.581    1.641   -1.334    4.091    1.609
  0.01  7.0   0.712  -99.999    5.765   -0.450  -99.999  -99.999  -99.999
  0.10  7.0   0.711  -91.517    5.765   -0.448  -33.555    7.565   -1.600
  0.20  7.0   0.711  -49.637    5.765   -0.443  -21.218    7.083   -1.312
  0.40  7.0   0.708  -28.693    5.764   -0.424  -14.646    6.684   -1.050
  0.70  7.0   0.701  -19.589    5.763   -0.376  -11.601    6.412   -0.902
  1.00  7.0   0.689  -15.669    5.757   -0.311  -10.319    6.260   -0.841
  1.50  7.0   0.662  -12.100    5.701   -0.165   -9.243    6.105   -0.658
  2.00  7.0   0.622   -9.975    5.596   -0.034   -8.454    6.000   -0.250
  3.00  7.0   0.510   -7.581    5.408    0.153   -7.028    5.830    0.088
  5.00  7.0   0.187   -5.317    5.045    0.461   -5.235    5.426    0.308
 10.00  7.0  -0.315   -2.819    4.307    0.769   -2.802    4.598    0.557
 30.00  7.0  -0.490   -0.753    3.650    1.183   -1.392    3.985    1.056
100.00  7.0  -0.509   -0.189    3.581    1.641   -1.334    4.091    1.609
  0.01  8.0   1.936  -99.999    5.748    0.131  -99.999  -99.999  -99.999
  0.10  8.0   1.936  -91.517    5.748    0.131  -94.986  -99.999   -1.595
  0.20  8.0   1.935  -49.637    5.748    0.132  -51.794    7.083   -1.303
  0.40  8.0   1.934  -28.693    5.748    0.134  -29.780    6.684   -1.022
  0.70  8.0   1.931  -19.589    5.748    0.138  -20.068    6.412   -0.812
  1.00  8.0   1.926  -15.669    5.748    0.145  -16.001    6.260   -0.631
  1.50  8.0   1.913  -12.100    5.733    0.170  -12.376    6.105   -0.291
  2.00  8.0   1.895   -9.975    5.682    0.209  -10.246    6.000   -0.146
  3.00  8.0   1.844   -7.581    5.528    0.296   -7.914    5.830   -0.008
  5.00  8.0   1.681   -5.313    5.164    0.511   -5.552    5.428    0.308
 10.00  8.0   0.982   -2.802    4.340    0.806   -2.865    4.607    0.529
 30.00  8.0  -0.302   -0.748    3.651    1.184   -1.399    3.986    1.056
100.00  8.0  -0.492   -0.189    3.581    1.641   -1.334    4.091    1.609
  0.01  9.0   4.669  -99.999    5.674    0.514  -99.999  -99.999  -99.999
  0.10  9.0   4.669  -91.517    5.674    0.514  -99.999  -99.999  -99.999
  0.20  9.0   4.669  -49.637    5.674    0.514  -99.999  -99.999  -99.999
  0.40  9.0   4.669  -28.693    5.674    0.514  -62.453    6.684   -0.961
  0.70  9.0   4.667  -19.589    5.673    0.514  -37.864    6.412   -0.725
  1.00  9.0   4.665  -15.669    5.669    0.514  -27.837    6.260   -0.537
  1.50  9.0   4.659  -12.100    5.649    0.514  -19.720    6.105   -0.275
  2.00  9.0   4.650   -9.975    5.605    0.520  -15.384    6.000   -0.097
  3.00  9.0   4.627   -7.581    5.488    0.545  -10.712    5.830    0.069
  5.00  9.0   4.551   -5.313    5.229    0.637   -6.676    5.428    0.204
 10.00  9.0   4.197   -2.796    4.459    0.868   -3.411    4.609    0.386
 30.00  9.0   1.461   -0.714    3.655    1.190   -1.482    3.990    1.054
100.00  9.0  -0.324   -0.186    3.581    1.641   -1.338    4.091    1.609
  0.01 10.0  10.607  -99.999    4.618    0.615  -99.999  -99.999  -99.999
  0.10 10.0  10.607  -91.517    4.618    0.615  -99.999  -99.999  -99.999
  0.20 10.0  10.607  -49.637    4.618    0.615  -99.999  -99.999  -99.999
  0.40 10.0  10.607  -28.693    4.618    0.615  -99.999  -99.999  -99.999
  0.70 10.0  10.606  -19.589    4.617    0.615  -78.646    6.412   -0.750
  1.00 10.0  10.605  -15.669    4.617    0.616  -55.853    6.260   -0.599
  1.50 10.0  10.602  -12.100    4.614    0.621  -37.974    6.105   -0.428
  2.00 10.0  10.598   -9.975    4.610    0.628  -28.928    6.000   -0.310
  3.00 10.0  10.587   -7.581    4.596    0.648  -19.724    5.830   -0.146
  5.00 10.0  10.552   -5.313    4.551    0.696  -12.114    5.428    0.048
 10.00 10.0  10.387   -2.796    4.309    0.894   -6.129    4.609    0.285
 30.00 10.0   8.652   -0.676    3.681    1.225   -2.231    3.994    1.046
100.00 10.0   1.351   -0.160    3.581    1.642   -1.372    4.091    1.609
  0.01 11.0  23.423  -99.999    4.019    1.150  -99.999  -99.999  -99.999
  0.10 11.0  23.423  -91.517    4.019    1.150  -99.999  -99.999  -99.999
  0.20 11.0  23.423  -49.637    4.019    1.150  -99.999  -99.999  -99.999
  0.40 11.0  23.423  -28.693    4.019    1.150  -99.999  -99.999  -99.999
  0.70 11.0  23.422  -19.589    4.019    1.150  -99.999  -99.999  -99.999
  1.00 11.0  23.422  -15.669    4.019    1.150  -99.999  -99.999  -99.999
  1.50 11.0  23.420  -12.100    4.020    1.150  -81.026    6.105   -0.428
  2.00 11.0  23.419   -9.975    4.020    1.151  -61.218    6.000   -0.310
  3.00 11.0  23.413   -7.581    4.021    1.152  -41.255    5.830   -0.146
  5.00 11.0  23.397   -5.313    4.015    1.157  -25.045    5.428    0.048
 10.00 11.0  23.321   -2.796    3.960    1.190  -12.631    4.609    0.284
 30.00 11.0  22.504   -0.673    3.677    1.354   -4.474    3.994    1.044
100.00 11.0  14.011   -0.048    3.582    1.657   -1.760    4.094    1.606
     end
 neg. daughter Ti45 z=22 n=23 a=45 Q= -1.5514
 pos. daughter Sc45 z=21 n=24 a=45 Q=  1.5514
                      +++ Ti45 --> Sc45 +++      --- Sc45 --> Ti45 ---
   t9   lrho    uf    lbeta+    lfte-     lnu    lbeta-    lfte+   lnubar
  0.01  1.0  -0.003   -4.284    4.501   -0.221  -99.999  -99.999  -99.999
  0.10  1.0  -0.058   -4.287    4.499   -0.222  -99.999  -99.999  -99.999
  0.20  1.0  -0.134   -4.307    4.497   -0.223  -67.382    4.759   -1.276
  0.40  1.0  -0.306   -4.341    4.488   -0.224  -36.999    4.676   -0.965
  0.70  1.0  -0.503   -4.362    4.469   -0.224  -23.828    4.607   -0.708
  1.00  1.0  -0.511   -4.372    4.451   -0.218  -18.471    4.571   -0.540
  1.50  1.0  -0.511   -4.380    4.425   -0.134  -14.181    4.543   -0.346
  2.00  1.0  -0.511   -4.383    4.403    0.052  -11.782    4.535   -0.206
  3.00  1.0  -0.511   -4.345    4.368    0.318   -8.990    4.540   -0.005
  5.00  1.0  -0.511   -3.792    4.303    0.496   -6.359    4.561    0.248
 10.00  1.0  -0.511   -1.994    4.049    0.746   -3.688    4.486    0.566
 30.00  1.0  -0.511   -0.440    3.592    1.172   -1.887    4.201    1.056
100.00  1.0  -0.511   -0.044    3.488    1.634   -1.439    4.272    1.607
  0.01  2.0  -0.001   -4.284    4.501   -0.217  -99.999  -99.999  -99.999
  0.10  2.0  -0.038   -4.287    4.499   -0.220  -99.999  -99.999  -99.999
  0.20  2.0  -0.095   -4.307    4.497   -0.222  -67.383    4.759   -1.276
  0.40  2.0  -0.227   -4.341    4.488   -0.223  -36.999    4.676   -0.965
  0.70  2.0  -0.446   -4.362    4.469   -0.224  -23.828    4.607   -0.708
  1.00  2.0  -0.506   -4.372    4.451   -0.218  -18.471    4.571   -0.540
  1.50  2.0  -0.511   -4.380    4.425   -0.134  -14.181    4.543   -0.346
  2.00  2.0  -0.511   -4.383    4.403    0.053  -11.782    4.535   -0.206
  3.00  2.0  -0.511   -4.345    4.368    0.318   -8.990    4.540   -0.005
  5.00  2.0  -0.511   -3.792    4.303    0.496   -6.359    4.561    0.248
 10.00  2.0  -0.511   -1.994    4.049    0.746   -3.688    4.486    0.566
 30.00  2.0  -0.511   -0.440    3.592    1.172   -1.887    4.201    1.056
100.00  2.0  -0.511   -0.044    3.488    1.634   -1.439    4.272    1.607
  0.01  3.0   0.002   -4.284    4.501   -0.190  -99.999  -99.999  -99.999
  0.10  3.0  -0.018   -4.287    4.499   -0.207  -99.999  -99.999  -99.999
  0.20  3.0  -0.055   -4.307    4.497   -0.211  -67.384    4.759   -1.276
  0.40  3.0  -0.147   -4.341    4.488   -0.215  -37.000    4.676   -0.965
  0.70  3.0  -0.314   -4.362    4.469   -0.217  -23.829    4.607   -0.708
  1.00  3.0  -0.465   -4.372    4.451   -0.213  -18.471    4.571   -0.540
  1.50  3.0  -0.506   -4.380    4.425   -0.132  -14.181    4.543   -0.346
  2.00  3.0  -0.510   -4.383    4.403    0.054  -11.782    4.535   -0.206
  3.00  3.0  -0.511   -4.345    4.368    0.318   -8.990    4.540   -0.005
  5.00  3.0  -0.511   -3.792    4.303    0.496   -6.359    4.561    0.248
 10.00  3.0  -0.511   -1.994    4.049    0.746   -3.688    4.486    0.566
 30.00  3.0  -0.511   -0.440    3.592    1.172   -1.887    4.201    1.056
100.00  3.0  -0.511   -0.044    3.488    1.634   -1.439    4.272    1.607
