!45ti -> 45v, beta-decay
!Q=6.6223 MeV
!
!log(rhoY)    log(temp)     mu             dQ    VS     log(beta-decay-rate)   nu-energy-loss   gamma-energy
!log(g/cm^3)  log(K)        1/s            erg   erg    log(1/s)               erg/s            erg/s
6.000000      8.301030       3.412636e-07  0.00  0.00   -99.999000             1.605870e-106    0.00  
6.000000      8.602060       3.316506e-07  0.00  0.00   -99.999000             5.697842e-105    0.00  
6.000000      8.845098       3.028114e-07  0.00  0.00   -59.867000             3.226342e-64     0.00  
6.000000      9.000000       2.579504e-07  0.00  0.00   -43.488000             1.281476e-47     0.00  
6.000000      9.176091       1.490024e-07  0.00  0.00   -30.476000             2.141462e-34     0.00  
6.000000      9.301030       1.602177e-09  0.00  0.00   -23.781000             1.451144e-27     0.00  
6.000000      9.477121      -3.396614e-07  0.00  0.00   -16.866000             1.878064e-20     0.00  
6.000000      9.698970      -6.729142e-07  0.00  0.00   -11.069000             1.323459e-14     0.00  
6.000000      10.000000     -7.866687e-07  0.00  0.00   -6.326000              8.048416e-10     0.00  
6.000000      10.477121     -8.155079e-07  0.00  0.00   -3.092000              1.533594e-05     0.00  
6.000000      11.000000     -8.187123e-07  0.00  0.00   -2.187000              2.580539e-02     0.00  
7.000000      7.000000       1.140750e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
7.000000      8.000000       1.139148e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
7.000000      8.301030       1.139148e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
7.000000      8.602060       1.134341e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
7.000000      8.845098       1.123126e-06  0.00  0.00   -62.665000             6.740784e-68     0.00  
7.000000      9.000000       1.103900e-06  0.00  0.00   -45.202000             2.810026e-50     0.00  
7.000000      9.176091       1.060641e-06  0.00  0.00   -31.406000             2.646735e-36     0.00  
7.000000      9.301030       9.965539e-07  0.00  0.00   -24.368000             3.978418e-29     0.00  
7.000000      9.477121       8.171101e-07  0.00  0.00   -17.163000             1.155342e-21     0.00  
7.000000      9.698970       2.996070e-07  0.00  0.00   -11.163000             3.248706e-15     0.00  
7.000000      10.000000     -5.046856e-07  0.00  0.00   -6.337000              6.572194e-10     0.00  
7.000000      10.477121     -7.850666e-07  0.00  0.00   -3.093000              1.523037e-05     0.00  
7.000000      11.000000     -8.155079e-07  0.00  0.00   -2.187000              2.574604e-02     0.00  
8.000000      7.000000       3.101814e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
8.000000      8.000000       3.101814e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
8.000000      8.301030       3.100212e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
8.000000      8.602060       3.098610e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
8.000000      8.845098       3.093803e-06  0.00  0.00   -70.580000             1.006260e-76     0.00  
8.000000      9.000000       3.085792e-06  0.00  0.00   -50.501000             1.768929e-56     0.00  
8.000000      9.176091       3.064964e-06  0.00  0.00   -34.714000             1.752711e-40     0.00  
8.000000      9.301030       3.036125e-06  0.00  0.00   -26.714000             2.598426e-32     0.00  
8.000000      9.477121       2.954414e-06  0.00  0.00   -18.569000             6.897797e-24     0.00  
8.000000      9.698970       2.693259e-06  0.00  0.00   -11.829000             1.036837e-16     0.00  
8.000000      10.000000      1.573337e-06  0.00  0.00   -6.486000              1.467947e-10     0.00  
8.000000      10.477121     -4.838573e-07  0.00  0.00   -3.101000              1.414850e-05     0.00  
8.000000      11.000000     -7.882709e-07  0.00  0.00   -2.187000              2.574604e-02     0.00  
9.000000      7.000000       7.480563e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
9.000000      8.000000       7.480563e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
9.000000      8.301030       7.480563e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
9.000000      8.602060       7.480563e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
9.000000      8.845098       7.477358e-06  0.00  0.00   -89.619000             2.539279e-96     0.00  
9.000000      9.000000       7.474154e-06  0.00  0.00   -63.657000             3.465057e-70     0.00  
9.000000      9.176091       7.464541e-06  0.00  0.00   -43.298000             1.275588e-49     0.00  
9.000000      9.301030       7.450121e-06  0.00  0.00   -33.008000             3.562135e-39     0.00  
9.000000      9.477121       7.413271e-06  0.00  0.00   -22.572000             1.701024e-28     0.00  
9.000000      9.698970       7.291506e-06  0.00  0.00   -14.014000             1.464571e-19     0.00  
9.000000      10.000000      6.724335e-06  0.00  0.00   -7.386000              3.611689e-12     0.00  
9.000000      10.477121      2.340780e-06  0.00  0.00   -3.191000              7.173158e-06     0.00  
9.000000      11.000000     -5.191052e-07  0.00  0.00   -2.190000              2.521799e-02     0.00  
10.000000     7.000000       1.699429e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
10.000000     8.000000       1.699429e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
10.000000     8.301030       1.699429e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
10.000000     8.602060       1.699429e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
10.000000     8.845098       1.699269e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
10.000000     9.000000       1.699108e-05  0.00  0.00   -93.286000             5.020077e-100    0.00  
10.000000     9.176091       1.698628e-05  0.00  0.00   -62.969000             1.673826e-69     0.00  
10.000000     9.301030       1.697987e-05  0.00  0.00   -47.708000             4.362248e-54     0.00  
10.000000     9.477121       1.696224e-05  0.00  0.00   -32.313000             1.886733e-38     0.00  
10.000000     9.698970       1.690617e-05  0.00  0.00   -19.805000             1.421381e-25     0.00  
10.000000     10.000000      1.664181e-05  0.00  0.00   -10.224000             2.822997e-15     0.00  
10.000000     10.477121      1.386203e-05  0.00  0.00   -3.936000              4.463858e-07     0.00  
10.000000     11.000000      2.164541e-06  0.00  0.00   -2.223000              2.083101e-02     0.00  
11.000000     7.000000       3.752778e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
11.000000     8.000000       3.752778e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
11.000000     8.301030       3.752778e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
11.000000     8.602060       3.752778e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
11.000000     8.845098       3.752618e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
11.000000     9.000000       3.752618e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
11.000000     9.176091       3.752298e-05  0.00  0.00   -99.999000             1.605870e-106    0.00  
11.000000     9.301030       3.752137e-05  0.00  0.00   -79.979000             2.221828e-86     0.00  
11.000000     9.477121       3.751176e-05  0.00  0.00   -53.825000             5.491745e-60     0.00  
11.000000     9.698970       3.748613e-05  0.00  0.00   -32.715000             1.631963e-38     0.00  
11.000000     10.000000      3.736436e-05  0.00  0.00   -16.697000             8.624033e-22     0.00  
11.000000     10.477121      3.605538e-05  0.00  0.00   -6.136000              2.102376e-09     0.00  
11.000000     11.000000      2.244810e-05  0.00  0.00   -2.593000              4.816265e-03     0.00  
