!50ti -> 50sc, e- capture
!Q=7.399 MeV
!
!log(rhoY)    log(temp)     mu              dQ    Vs     log(e-cap-rate)        nu-energy-loss gamma-energy
!g/cm^3       log(K)        1/s             erg   erg    log(1/s)                    erg/s          erg/s
6.000000      8.301030       3.412636e-07  0.00  0.00   -99.999000             1.605870e-106  0.00  
6.000000      8.602060       3.316506e-07  0.00  0.00   -89.488000             5.555337e-97   0.00  
6.000000      8.845098       3.028114e-07  0.00  0.00   -52.765000             5.280930e-60   0.00  
6.000000      9.000000       2.579504e-07  0.00  0.00   -37.908000             5.593845e-45   0.00  
6.000000      9.176091       1.490024e-07  0.00  0.00   -26.181000             4.652757e-33   0.00  
6.000000      9.301030       1.602177e-09  0.00  0.00   -20.209000             6.049373e-27   0.00  
6.000000      9.477121      -3.396614e-07  0.00  0.00   -14.046000             1.431233e-20   0.00  
6.000000      9.698970      -6.729142e-07  0.00  0.00   -8.520000              9.156097e-15   0.00  
6.000000      10.000000     -7.866687e-07  0.00  0.00   -3.677000              1.576560e-09   0.00  
6.000000      10.477121     -8.155079e-07  0.00  0.00   0.793000               1.464571e-04   0.00  
6.000000      11.000000     -8.187123e-07  0.00  0.00   3.928000               5.980127e-01   0.00  
7.000000      7.000000       1.140750e-06  0.00  0.00   -99.999000             1.605870e-106  0.00  
7.000000      8.000000       1.139148e-06  0.00  0.00   -99.999000             1.605870e-106  0.00  
7.000000      8.301030       1.139148e-06  0.00  0.00   -99.999000             1.605870e-106  0.00  
7.000000      8.602060       1.134341e-06  0.00  0.00   -83.210000             1.075748e-90   0.00  
7.000000      8.845098       1.123126e-06  0.00  0.00   -49.107000             2.424992e-56   0.00  
7.000000      9.000000       1.103900e-06  0.00  0.00   -35.271000             2.413851e-42   0.00  
7.000000      9.176091       1.060641e-06  0.00  0.00   -24.300000             3.521360e-31   0.00  
7.000000      9.301030       9.965539e-07  0.00  0.00   -18.673000             2.078310e-25   0.00  
7.000000      9.477121       8.171101e-07  0.00  0.00   -12.857000             2.216718e-19   0.00  
7.000000      9.698970       2.996070e-07  0.00  0.00   -7.921000              3.636724e-14   0.00  
7.000000      10.000000     -5.046856e-07  0.00  0.00   -3.590000              1.917390e-09   0.00  
7.000000      10.477121     -7.850666e-07  0.00  0.00   0.796000               1.474723e-04   0.00  
7.000000      11.000000     -8.155079e-07  0.00  0.00   3.928000               5.980127e-01   0.00  
8.000000      7.000000       3.101814e-06  0.00  0.00   -99.999000             1.605870e-106  0.00  
8.000000      8.000000       3.101814e-06  0.00  0.00   -99.999000             1.605870e-106  0.00  
8.000000      8.301030       3.100212e-06  0.00  0.00   -99.999000             1.605870e-106  0.00  
8.000000      8.602060       3.098610e-06  0.00  0.00   -67.934000             1.971108e-75   0.00  
8.000000      8.845098       3.093803e-06  0.00  0.00   -40.446000             1.073273e-47   0.00  
8.000000      9.000000       3.085792e-06  0.00  0.00   -29.241000             2.515999e-36   0.00  
8.000000      9.176091       3.064964e-06  0.00  0.00   -20.283000             3.603383e-27   0.00  
8.000000      9.301030       3.036125e-06  0.00  0.00   -15.636000             2.252736e-22   0.00  
8.000000      9.477121       2.954414e-06  0.00  0.00   -10.762000             2.758738e-17   0.00  
8.000000      9.698970       2.693259e-06  0.00  0.00   -6.521000              9.304872e-13   0.00  
8.000000      10.000000      1.573337e-06  0.00  0.00   -2.967000              7.956286e-09   0.00  
8.000000      10.477121     -4.838573e-07  0.00  0.00   0.826000               1.583837e-04   0.00  
8.000000      11.000000     -7.882709e-07  0.00  0.00   3.929000               5.993912e-01   0.00  
9.000000      7.000000       7.480563e-06  0.00  0.00   -99.999000             1.605870e-106  0.00  
9.000000      8.000000       7.480563e-06  0.00  0.00   -99.999000             1.605870e-106  0.00  
9.000000      8.301030       7.480563e-06  0.00  0.00   -69.097000             6.787509e-77   0.00  
