!63cu -> 63zn, beta-decay
!Q=2.8559 MeV
!
!log(rhoY)    log(temp)     mu             dQ    VS     log(beta-decay-rate)   nu-energy-loss   gamma-energy
!log(g/cm^3)  log(K)        1/s            erg   erg    log(1/s)               erg/s            erg/s
6.000000      8.000000       3.428658e-07  0.00  0.00   -99.999000             1.605870e-106    0.00  
6.000000      8.301030       3.412636e-07  0.00  0.00   -99.999000             3.004072e-106    0.00  
6.000000      8.602060       3.316506e-07  0.00  0.00   -54.420000             7.919730e-60     0.00  
6.000000      8.845098       3.028114e-07  0.00  0.00   -33.539000             2.310524e-39     0.00  
6.000000      9.000000       2.579504e-07  0.00  0.00   -25.079000             7.425238e-31     0.00  
6.000000      9.176091       1.490024e-07  0.00  0.00   -18.236000             7.140200e-24     0.00  
6.000000      9.301030       1.602177e-09  0.00  0.00   -14.487000             4.214154e-20     0.00  
6.000000      9.477121      -3.396614e-07  0.00  0.00   -10.343000             5.830562e-16     0.00  
6.000000      9.698970      -6.729142e-07  0.00  0.00   -6.481000              2.695941e-12     0.00  
6.000000      10.000000     -7.866687e-07  0.00  0.00   -3.318000              6.105348e-09     0.00  
6.000000      10.477121     -8.155079e-07  0.00  0.00   -1.253000              3.661933e-05     0.00  
6.000000      11.000000     -8.187123e-07  0.00  0.00   -0.283000              6.467112e-02     0.00  
7.000000      7.000000       1.140750e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
7.000000      8.000000       1.139148e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
7.000000      8.301030       1.139148e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
7.000000      8.602060       1.134341e-06  0.00  0.00   -59.050000             5.125195e-66     0.00  
7.000000      8.845098       1.123126e-06  0.00  0.00   -36.286000             5.966373e-43     0.00  
7.000000      9.000000       1.103900e-06  0.00  0.00   -26.827000             2.299908e-33     0.00  
7.000000      9.176091       1.060641e-06  0.00  0.00   -19.015000             1.639496e-25     0.00  
7.000000      9.301030       9.965539e-07  0.00  0.00   -14.923000             2.337278e-21     0.00  
7.000000      9.477121       8.171101e-07  0.00  0.00   -10.534000             8.066969e-17     0.00  
7.000000      9.698970       2.996070e-07  0.00  0.00   -6.531000              1.218177e-12     0.00  
7.000000      10.000000     -5.046856e-07  0.00  0.00   -3.328000              5.256666e-09     0.00  
7.000000      10.477121     -7.850666e-07  0.00  0.00   -1.254000              3.636724e-05     0.00  
7.000000      11.000000     -8.155079e-07  0.00  0.00   -0.283000              6.467112e-02     0.00  
8.000000      7.000000       3.101814e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
8.000000      8.000000       3.101814e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
8.000000      8.301030       3.100212e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
8.000000      8.602060       3.098610e-06  0.00  0.00   -72.833000             2.487198e-80     0.00  
8.000000      8.845098       3.093803e-06  0.00  0.00   -43.461000             1.039227e-50     0.00  
8.000000      9.000000       3.085792e-06  0.00  0.00   -31.467000             1.598492e-38     0.00  
8.000000      9.176091       3.064964e-06  0.00  0.00   -21.803000             1.255193e-28     0.00  
8.000000      9.301030       3.036125e-06  0.00  0.00   -16.746000             1.971108e-23     0.00  
8.000000      9.477121       2.954414e-06  0.00  0.00   -11.439000             5.857474e-18     0.00  
8.000000      9.698970       2.693259e-06  0.00  0.00   -6.933000              2.822997e-13     0.00  
8.000000      10.000000      1.573337e-06  0.00  0.00   -3.450000              1.989346e-09     0.00  
8.000000      10.477121     -4.838573e-07  0.00  0.00   -1.262000              3.386183e-05     0.00  
8.000000      11.000000     -7.882709e-07  0.00  0.00   -0.283000              6.452238e-02     0.00  
9.000000      7.000000       7.480563e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
9.000000      8.000000       7.480563e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
9.000000      8.301030       7.480563e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
9.000000      8.602060       7.480563e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
9.000000      8.845098       7.477358e-06  0.00  0.00   -61.460000             1.008580e-68     0.00  
9.000000      9.000000       7.474154e-06  0.00  0.00   -43.582000             1.068342e-50     0.00  
9.000000      9.176091       7.464541e-06  0.00  0.00   -29.471000             2.017021e-36     0.00  
9.000000      9.301030       7.450121e-06  0.00  0.00   -22.286000             4.052382e-29     0.00  
