!28Mg (0+, 2+) -> 28Al,  beta-decay,  with screening effects
!USDB   Q=1.8318 MeV
!Experimental energies, B(GT)
!
!Log(rhoY) Log(T) mu     dQ       Vs          decay-rate    nu-energy-loss  gamma-energy
!                      (MeV)   (MeV)     (MeV)      (1/s)               (MeV/s)       (MeV/s)  
1.000000e+07 1.000000e+07 1.951776e-06 -5.392938e-08 1.606987e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.584893e+07 1.949853e-06 -5.370507e-08 1.606987e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 2.511886e+07 1.947129e-06 -5.340066e-08 1.606987e-08 1.000000e-298 2.539284e-304 2.481483e-305
1.000000e+07 3.981072e+07 1.944886e-06 -5.298409e-08 1.606987e-08 1.862087e-189 4.728368e-195 4.620738e-196
1.000000e+07 6.309573e+07 1.943284e-06 -5.242333e-08 1.606987e-08 1.445440e-120 3.670382e-126 3.586834e-127
1.000000e+07 1.000000e+08 1.942483e-06 -5.168633e-08 1.606987e-08 2.766942e-20 1.176823e-27 6.091318e-26
1.000000e+07 1.122018e+08 1.942323e-06 -5.146202e-08 1.606987e-08 5.546257e-19 2.562780e-26 1.220988e-24
1.000000e+07 1.258925e+08 1.942163e-06 -5.123772e-08 1.606987e-08 8.260379e-18 4.194800e-25 1.818492e-23
1.000000e+07 1.412538e+08 1.942002e-06 -5.098137e-08 1.606987e-08 9.462372e-17 5.305317e-24 2.083106e-22
1.000000e+07 1.584893e+08 1.941842e-06 -5.072502e-08 1.606987e-08 8.590135e-16 5.354406e-23 1.886737e-21
1.000000e+07 1.778279e+08 1.941522e-06 -5.043663e-08 1.606987e-08 6.353309e-15 4.433139e-22 1.398657e-20
1.000000e+07 1.995262e+08 1.941362e-06 -5.013221e-08 1.606987e-08 3.908409e-14 3.052891e-21 8.604216e-20
1.000000e+07 2.238721e+08 1.940881e-06 -4.981178e-08 1.606987e-08 2.055891e-13 1.797676e-20 4.525966e-19
1.000000e+07 2.511886e+08 1.940560e-06 -4.945930e-08 1.606987e-08 9.332543e-13 9.114048e-20 2.054524e-18
1.000000e+07 2.818383e+08 1.939920e-06 -4.909080e-08 1.606987e-08 3.732502e-12 4.071096e-19 8.198064e-18
1.000000e+07 3.162278e+08 1.939118e-06 -4.870627e-08 1.606987e-08 1.330454e-11 1.617005e-18 2.922209e-17
1.000000e+07 3.548134e+08 1.938157e-06 -4.830573e-08 1.606987e-08 4.275629e-11 5.790437e-18 9.412637e-17
1.000000e+07 3.981072e+08 1.937036e-06 -4.785712e-08 1.606987e-08 1.252853e-10 1.886737e-17 2.756204e-16
1.000000e+07 4.466836e+08 1.935594e-06 -4.739248e-08 1.606987e-08 3.374427e-10 5.632631e-17 7.421835e-16
1.000000e+07 5.011872e+08 1.933831e-06 -4.691183e-08 1.606987e-08 8.448897e-10 1.558516e-16 1.858709e-15
1.000000e+07 5.623413e+08 1.931428e-06 -4.639913e-08 1.606987e-08 1.974695e-09 4.012465e-16 4.345215e-15
1.000000e+07 6.309573e+08 1.928544e-06 -4.583837e-08 1.606987e-08 4.338104e-09 9.676344e-16 9.547976e-15
1.000000e+07 7.079458e+08 1.925019e-06 -4.526159e-08 1.606987e-08 9.015711e-09 2.196905e-15 1.984775e-14
1.000000e+07 7.943282e+08 1.920373e-06 -4.466878e-08 1.606987e-08 1.777051e-08 4.709896e-15 3.913013e-14
1.000000e+07 8.912509e+08 1.914605e-06 -4.402791e-08 1.606987e-08 3.340412e-08 9.614159e-15 7.352098e-14
1.000000e+07 1.000000e+09 1.907235e-06 -4.335499e-08 1.606987e-08 6.014507e-08 1.901128e-14 1.320722e-13
