!27Na (5/2+, 3/2+, 1/2+)  -> 27Mg     beta-decay,   with screening effects
!USDB      Q=9.069 MeV
!Experimental data are used.
!
!Log(rhoY)        Log(T)            mu           dQ           Vs           Log(e-cap-rate)   nu-energy-loss   gamma-energy
!g/cm^3           K                 erg          erg          erg          Log(1/s)          erg/s            erg/s
8.00              8.45             -1.03613e-07  3.06657e-08  3.88816e-06   3.48720e-01      1.37398e-05      3.99448e-06
8.00              8.50             -1.03052e-07  3.06657e-08  3.88784e-06   3.51810e-01      1.38688e-05      3.97119e-06
8.00              8.55             -1.02459e-07  3.06657e-08  3.88752e-06   3.55260e-01      1.40139e-05      3.94512e-06
8.00              8.60             -1.01818e-07  3.06657e-08  3.88688e-06   3.58990e-01      1.41720e-05      3.91670e-06
8.00              8.65             -1.01129e-07  3.06657e-08  3.88624e-06   3.62900e-01      1.43394e-05      3.88687e-06
8.00              8.70             -1.00408e-07  3.06657e-08  3.88544e-06   3.66880e-01      1.45118e-05      3.85603e-06
8.00              8.75             -9.96394e-08  3.06657e-08  3.88432e-06   3.70860e-01      1.46852e-05      3.82508e-06
8.00              8.80             -9.88223e-08  3.06657e-08  3.88304e-06   3.74750e-01      1.48570e-05      3.79438e-06
8.00              8.85             -9.79571e-08  3.06657e-08  3.88127e-06   3.78490e-01      1.50235e-05      3.76461e-06
8.00              8.90             -9.70278e-08  3.06657e-08  3.87919e-06   3.82050e-01      1.51834e-05      3.73612e-06
8.00              8.95             -9.60665e-08  3.06657e-08  3.87647e-06   3.85380e-01      1.53352e-05      3.70912e-06
8.00              9.00             -9.50251e-08  3.06657e-08  3.87310e-06   3.88490e-01      1.54782e-05      3.68392e-06
8.00              9.05             -9.39516e-08  3.06657e-08  3.86894e-06   3.91360e-01      1.56117e-05      3.66058e-06
8.00              9.10             -9.27981e-08  3.06657e-08  3.86349e-06   3.93990e-01      1.57359e-05      3.63924e-06
8.00              9.15             -9.15964e-08  3.06657e-08  3.85676e-06   3.96410e-01      1.58515e-05      3.62002e-06
8.00              9.20             -9.03307e-08  3.06657e-08  3.84843e-06   3.98620e-01      1.59595e-05      3.60280e-06
8.00              9.25             -8.90009e-08  3.06657e-08  3.83769e-06   4.00650e-01      1.60624e-05      3.58782e-06
