!17F (5/2+, 1/2+) -> 17O    e-capture   with screening effects
!USDB ,    Q (17F-17O) =2.7604 MeV 
! Experimental energies and B(GT) are used.
!
! rhoY T mu dQ Vs e-cap-rate nu-erergy-loss gamma-energy
! g/cm^3 K erg erg erg 1/s erg/s erg/s 
1.000000e+07 1.000000e+07 1.956582e-06 4.143237e-08 1.111913e-08 5.484032e-02 2.834532e-07 9.743417e-24
1.000000e+07 1.584893e+07 1.954820e-06 4.116000e-08 1.111913e-08 5.343182e-02 2.757092e-07 9.499731e-24
1.000000e+07 2.511886e+07 1.952096e-06 4.080752e-08 1.111913e-08 5.252910e-02 2.707393e-07 9.347841e-24
1.000000e+07 3.981072e+07 1.949853e-06 4.032687e-08 1.111913e-08 5.238416e-02 2.699550e-07 9.326341e-24
1.000000e+07 6.309573e+07 1.948251e-06 3.968600e-08 1.111913e-08 5.248075e-02 2.705399e-07 9.326341e-24
1.000000e+07 1.000000e+08 1.947450e-06 3.886889e-08 1.111913e-08 5.257751e-02 2.711261e-07 9.347841e-24
1.000000e+07 1.122018e+08 1.947290e-06 3.861254e-08 1.111913e-08 5.260173e-02 2.712572e-07 9.347841e-24
1.000000e+07 1.258925e+08 1.947129e-06 3.835619e-08 1.111913e-08 5.261384e-02 2.713759e-07 9.369390e-24
1.000000e+07 1.412538e+08 1.946969e-06 3.808382e-08 1.111913e-08 5.263808e-02 2.715072e-07 9.412637e-24
1.000000e+07 1.584893e+08 1.946809e-06 3.779543e-08 1.111913e-08 5.266232e-02 2.716510e-07 1.434536e-23
1.000000e+07 1.778279e+08 1.946488e-06 3.747499e-08 1.111913e-08 5.267445e-02 2.717761e-07 2.646740e-22
1.000000e+07 1.995262e+08 1.946328e-06 3.715455e-08 1.111913e-08 5.269871e-02 2.719514e-07 8.604216e-21
1.000000e+07 2.238721e+08 1.945848e-06 3.680207e-08 1.111913e-08 5.271085e-02 2.720892e-07 1.984775e-19
1.000000e+07 2.511886e+08 1.945367e-06 3.643357e-08 1.111913e-08 5.274727e-02 2.723086e-07 3.233786e-18
1.000000e+07 2.818383e+08 1.944886e-06 3.603303e-08 1.111913e-08 5.277157e-02 2.725407e-07 3.887866e-17
1.000000e+07 3.162278e+08 1.944085e-06 3.563248e-08 1.111913e-08 5.280803e-02 2.728044e-07 3.575290e-16
1.000000e+07 3.548134e+08 1.943124e-06 3.518387e-08 1.111913e-08 5.283236e-02 2.730935e-07 2.584707e-15
1.000000e+07 3.981072e+08 1.942002e-06 3.473526e-08 1.111913e-08 5.288104e-02 2.735025e-07 1.506993e-14
1.000000e+07 4.466836e+08 1.940560e-06 3.425461e-08 1.111913e-08 5.295415e-02 2.740257e-07 7.259577e-14
1.000000e+07 5.011872e+08 1.938798e-06 3.374191e-08 1.111913e-08 5.301515e-02 2.745942e-07 2.945176e-13
1.000000e+07 5.623413e+08 1.936395e-06 3.321319e-08 1.111913e-08 5.310067e-02 2.753349e-07 1.025679e-12
1.000000e+07 6.309573e+08 1.933511e-06 3.266845e-08 1.111913e-08 5.322308e-02 2.762685e-07 3.128321e-12
1.000000e+07 7.079458e+08 1.929826e-06 3.209167e-08 1.111913e-08 5.334577e-02 2.773839e-07 8.435509e-12
1.000000e+07 7.943282e+08 1.925340e-06 3.148284e-08 1.111913e-08 5.351802e-02 2.788055e-07 2.046498e-11
1.000000e+07 8.912509e+08 1.919412e-06 3.085799e-08 1.111913e-08 5.372792e-02 2.805507e-07 4.511400e-11
1.000000e+07 1.000000e+09 1.912042e-06 3.020109e-08 1.111913e-08 5.398834e-02 2.827101e-07 9.139266e-11
1.000000e+07 1.122018e+09 1.902909e-06 2.952818e-08 1.111913e-08 5.431253e-02 2.854443e-07 1.715976e-10
1.000000e+07 1.258925e+09 1.891213e-06 2.883924e-08 1.111913e-08 5.472679e-02 2.889092e-07 3.013084e-10
1.000000e+07 1.412538e+09 1.876633e-06 2.811826e-08 1.111913e-08 5.524589e-02 2.932590e-07 4.984382e-10
1.000000e+07 1.584893e+09 1.858048e-06 2.904752e-08 1.111913e-08 5.585988e-02 2.984361e-07 7.816482e-10
1.000000e+07 1.778279e+09 1.834817e-06 2.848676e-08 1.111913e-08 5.666306e-02 3.052329e-07 1.170338e-09
1.000000e+07 1.995262e+09 1.805336e-06 2.582714e-08 1.111913e-08 5.770321e-02 3.140880e-07 1.682718e-09
1.000000e+07 2.238721e+09 1.768166e-06 2.501003e-08 1.111913e-08 5.893863e-02 3.247815e-07 2.331907e-09
1.000000e+07 2.511886e+09 1.721542e-06 2.417690e-08 1.111913e-08 6.046444e-02 3.381671e-07 3.131925e-09
1.000000e+07 2.818383e+09 1.663063e-06 2.331172e-08 1.111913e-08 6.235912e-02 3.549697e-07 4.096484e-09
1.000000e+07 3.162278e+09 1.590003e-06 2.246256e-08 1.111913e-08 6.469936e-02 3.762455e-07 5.240966e-09
1.000000e+07 3.548134e+09 1.499480e-06 2.159739e-08 1.111913e-08 6.763944e-02 4.034701e-07 6.591911e-09
