!25Mg -> 25Na,  e-capture     with screening effects
!USDB           Q=-3.8349 MeV
!Transitions from 5/2+, 1/2+, 3/2+, 7/2+ and 5/2+(2nd) states of 25Mg are included.
!Experimental data used.
!
!Log(rhoY)        Log(T)            mu           dQ           Vs           Log(e-cap-rate)   nu-energy-loss   gamma-energy
!g/cm^3           K                 erg          erg          erg          Log(1/s)          erg/s            erg/s
7.00              7.00              1.96779e-06  5.09492e-08  1.48362e-08  -5.00000e+02      0.00000e+00      0.00000e+00
7.00              7.20              1.96587e-06  5.07249e-08  1.48362e-08  -5.00000e+02      0.00000e+00      0.00000e+00
7.00              7.40              1.96315e-06  5.04045e-08  1.48362e-08  -5.00000e+02      0.00000e+00      0.00000e+00
7.00              7.60              1.96090e-06  4.99719e-08  1.48362e-08  -5.00000e+02      0.00000e+00      0.00000e+00
7.00              7.80              1.95946e-06  4.93951e-08  1.48362e-08  -2.61230e+02     1.56571e-269     3.50518e-276
7.00              8.00              1.95850e-06  4.86421e-08  1.48362e-08  -1.67410e+02     1.60218e-175     1.05855e-179
7.00              8.05              1.95834e-06  4.84178e-08  1.48362e-08  -1.49920e+02     5.42888e-158     1.01091e-161
7.00              8.10              1.95818e-06  4.81775e-08  1.48362e-08  -1.34320e+02     2.48148e-142     1.10844e-145
7.00              8.15              1.95802e-06  4.79211e-08  1.48362e-08  -1.20410e+02     2.26313e-128     2.26313e-131
7.00              8.20              1.95786e-06  4.76487e-08  1.48362e-08  -1.07970e+02     6.99375e-116     1.36367e-118
7.00              8.25              1.95770e-06  4.73603e-08  1.48362e-08  -9.68890e+01     9.56556e-105     3.42539e-107
7.00              8.30              1.95738e-06  4.70559e-08  1.48362e-08  -8.69870e+01      8.58441e-95      5.14885e-97
7.00              8.35              1.95706e-06  4.67195e-08  1.48362e-08  -7.81450e+01      6.72528e-86      6.23319e-88
7.00              8.40              1.95658e-06  4.63670e-08  1.48362e-08  -7.02490e+01      5.92530e-78      8.08557e-80
7.00              8.45              1.95594e-06  4.59985e-08  1.48362e-08  -6.31990e+01      7.49394e-71      1.42138e-72
7.00              8.50              1.95530e-06  4.55979e-08  1.48362e-08  -5.68950e+01      1.69711e-64      4.22387e-66
7.00              8.55              1.95434e-06  4.51814e-08  1.48362e-08  -5.12610e+01      8.19805e-59      2.56868e-60
7.00              8.60              1.95321e-06  4.47328e-08  1.48362e-08  -4.62210e+01      1.01091e-53      3.82570e-55
7.00              8.65              1.95177e-06  4.42681e-08  1.48362e-08  -4.17120e+01      3.67037e-49      1.60957e-50
7.00              8.70              1.94985e-06  4.37715e-08  1.48362e-08  -3.76770e+01      4.47415e-45      2.20653e-46
7.00              8.75              1.94761e-06  4.32588e-08  1.48362e-08  -3.40650e+01      2.06400e-41      1.11355e-42
7.00              8.80              1.94472e-06  4.26980e-08  1.48362e-08  -3.08260e+01      4.01523e-38      2.29991e-39
7.00              8.85              1.94104e-06  4.21212e-08  1.48362e-08  -2.79250e+01      3.60338e-35      2.14640e-36
7.00              8.90              1.93639e-06  4.15124e-08  1.48362e-08  -2.53220e+01      1.62821e-32      9.85622e-34
7.00              8.95              1.93062e-06  4.08875e-08  1.48362e-08  -2.29860e+01      3.96927e-30      2.40276e-31
7.00              9.00              1.92325e-06  4.02146e-08  1.48362e-08  -2.08880e+01      5.60674e-28      3.33972e-29
7.00              9.05              1.91396e-06  3.95257e-08  1.48362e-08  -1.90040e+01      4.84965e-26      2.79712e-27
7.00              9.10              1.90242e-06  3.87887e-08  1.48362e-08  -1.73080e+01      2.70838e-24      1.50214e-25
7.00              9.15              1.88768e-06  3.80357e-08  1.48362e-08  -1.57830e+01      1.02733e-22      5.39151e-24
7.00              9.20              1.86926e-06  3.72506e-08  1.48362e-08  -1.44080e+01      2.74606e-21      1.35741e-22
7.00              9.25              1.84587e-06  3.64335e-08  1.48362e-08  -1.31700e+01      5.36674e-20      2.48148e-21
7.00              9.30              1.81639e-06  3.56004e-08  1.48362e-08  -1.20540e+01      7.93799e-19      3.42539e-20
7.00              9.35              1.77922e-06  3.47352e-08  1.48362e-08  -1.10470e+01      9.13504e-18      3.67037e-19
7.00              9.40              1.73259e-06  3.38380e-08  1.48362e-08  -1.01370e+01      8.38900e-17      3.16017e-18
7.00              9.45              1.67411e-06  3.58888e-08  1.48362e-08  -9.31810e+00      6.26918e-16      2.23208e-17
