!28P (3+, 2+, 3+, 0+, 1+, 1+, 2+) -> 28Si,  e-capture,  with screening effects
!USDB    GT+F                Q=14.3437 MeV
!Experimental data are used.
!
!Log(rhoY)        Log(T)            mu           dQ           Vs           Log(e-cap-rate)   nu-energy-loss   gamma-energy
!g/cm^3           K                 erg          erg          erg          Log(1/s)          erg/s            erg/s
8.00              8.45              3.88047e-06  1.22839e-07  3.83401e-08   5.06410e-01      3.85221e-05      4.19866e-05
8.00              8.50              3.88015e-06  1.22310e-07  3.83401e-08   5.05930e-01      3.84690e-05      4.19576e-05
8.00              8.55              3.87983e-06  1.21749e-07  3.83401e-08   5.05260e-01      3.83805e-05      4.19286e-05
8.00              8.60              3.87935e-06  1.21157e-07  3.83401e-08   5.04380e-01      3.82658e-05      4.18900e-05
8.00              8.65              3.87855e-06  1.20516e-07  3.83401e-08   5.03230e-01      3.81250e-05      4.18322e-05
8.00              8.70              3.87775e-06  1.19827e-07  3.83401e-08   5.01900e-01      3.79586e-05      4.17648e-05
8.00              8.75              3.87663e-06  1.19106e-07  3.83401e-08   5.00380e-01      3.77668e-05      4.16975e-05
8.00              8.80              3.87534e-06  1.18321e-07  3.83401e-08   4.98710e-01      3.75587e-05      4.16208e-05
8.00              8.85              3.87358e-06  1.17504e-07  3.83401e-08   4.96940e-01      3.73431e-05      4.15346e-05
8.00              8.90              3.87150e-06  1.16622e-07  3.83401e-08   4.95140e-01      3.71202e-05      4.14582e-05
8.00              8.95              3.86878e-06  1.15677e-07  3.83401e-08   4.93360e-01      3.69071e-05      4.13819e-05
8.00              9.00              3.86541e-06  1.14700e-07  3.83401e-08   4.91690e-01      3.67037e-05      4.13153e-05
8.00              9.05              3.86125e-06  1.13642e-07  3.83401e-08   4.90170e-01      3.65183e-05      4.12677e-05
8.00              9.10              3.85580e-06  1.12537e-07  3.83401e-08   4.88870e-01      3.63589e-05      4.12392e-05
8.00              9.15              3.84923e-06  1.11351e-07  3.83401e-08   4.87850e-01      3.62419e-05      4.12297e-05
8.00              9.20              3.84074e-06  1.10102e-07  3.83401e-08   4.87180e-01      3.61585e-05      4.12582e-05
8.00              9.25              3.83000e-06  1.08804e-07  3.83401e-08   4.86910e-01      3.61335e-05      4.13153e-05
8.00              9.30              3.81671e-06  1.07410e-07  3.83401e-08   4.87100e-01      3.61668e-05      4.14105e-05
8.00              9.35              3.79972e-06  1.05968e-07  3.83401e-08   4.87880e-01      3.62669e-05      4.15729e-05
8.00              9.40              3.77857e-06  1.04446e-07  3.83401e-08   4.89360e-01      3.64595e-05      4.17937e-05
8.00              9.45              3.75182e-06  1.02844e-07  3.83401e-08   4.91610e-01      3.67545e-05      4.21027e-05
8.00              9.50              3.71817e-06  1.01161e-07  3.83401e-08   4.94840e-01      3.71801e-05      4.25119e-05
8.00              9.55              3.67571e-06  9.94151e-08  3.83401e-08   4.99160e-01      3.77581e-05      4.30438e-05
8.00              9.60              3.62252e-06  9.75886e-08  3.83401e-08   5.04830e-01      3.85310e-05      4.37331e-05
8.00              9.65              3.55555e-06  9.56980e-08  3.83401e-08   5.12050e-01      3.95467e-05      4.45975e-05
8.02              7.00              3.94856e-06  1.31010e-07  3.89169e-08   5.38840e-01      4.17071e-05      4.52179e-05
8.02              7.20              3.94696e-06  1.30738e-07  3.89169e-08   5.37770e-01      4.16016e-05      4.51035e-05
8.02              7.40              3.94456e-06  1.30369e-07  3.89169e-08   5.34260e-01      4.12487e-05      4.47415e-05
8.02              7.60              3.94200e-06  1.29856e-07  3.89169e-08   5.31090e-01      4.09270e-05      4.44130e-05
8.02              7.80              3.94023e-06  1.29167e-07  3.89169e-08   5.30070e-01      4.08235e-05      4.43109e-05
8.02              8.00              3.93927e-06  1.28222e-07  3.89169e-08   5.29870e-01      4.08141e-05      4.42905e-05
8.02              8.05              3.93927e-06  1.27950e-07  3.89169e-08   5.29900e-01      4.08141e-05      4.42905e-05
8.02              8.10              3.93911e-06  1.27645e-07  3.89169e-08   5.29900e-01      4.08141e-05      4.42905e-05
8.02              8.15              3.93895e-06  1.27309e-07  3.89169e-08   5.29930e-01      4.08141e-05      4.43007e-05
8.02              8.20              3.93895e-06  1.26972e-07  3.89169e-08   5.29950e-01      4.08235e-05      4.43007e-05
8.02              8.25              3.93879e-06  1.26604e-07  3.89169e-08   5.29960e-01      4.08235e-05      4.43007e-05
8.02              8.30              3.93863e-06  1.26203e-07  3.89169e-08   5.29920e-01      4.08141e-05      4.43007e-05
8.02              8.35              3.93847e-06  1.25771e-07  3.89169e-08   5.29830e-01      4.08047e-05      4.43007e-05
8.02              8.40              3.93815e-06  1.25306e-07  3.89169e-08   5.29630e-01      4.07765e-05      4.42905e-05
8.02              8.45              3.93799e-06  1.24810e-07  3.89169e-08   5.29320e-01      4.07390e-05      4.42803e-05
8.02              8.50              3.93767e-06  1.24281e-07  3.89169e-08   5.28840e-01      4.06734e-05      4.42599e-05
8.02              8.55              3.93719e-06  1.23720e-07  3.89169e-08   5.28170e-01      4.05798e-05      4.42192e-05
8.02              8.60              3.93671e-06  1.23111e-07  3.89169e-08   5.27290e-01      4.04679e-05      4.41784e-05
8.02              8.65              3.93607e-06  1.22470e-07  3.89169e-08   5.26170e-01      4.03191e-05      4.41174e-05
8.02              8.70              3.93527e-06  1.21781e-07  3.89169e-08   5.24810e-01      4.01431e-05      4.40464e-05
8.02              8.75              3.93414e-06  1.21044e-07  3.89169e-08   5.23310e-01      3.99402e-05      4.39755e-05
8.02              8.80              3.93286e-06  1.20259e-07  3.89169e-08   5.21610e-01      3.97201e-05      4.38945e-05
8.02              8.85              3.93126e-06  1.19426e-07  3.89169e-08   5.19860e-01      3.94921e-05      4.38037e-05
8.02              8.90              3.92918e-06  1.18545e-07  3.89169e-08   5.18080e-01      3.92564e-05      4.37230e-05
8.02              8.95              3.92645e-06  1.17600e-07  3.89169e-08   5.16290e-01      3.90221e-05      4.36426e-05
8.02              9.00              3.92309e-06  1.16606e-07  3.89169e-08   5.14630e-01      3.88160e-05      4.35723e-05
8.02              9.05              3.91892e-06  1.15549e-07  3.89169e-08   5.13110e-01      3.86198e-05      4.35222e-05
8.02              9.10              3.91380e-06  1.14427e-07  3.89169e-08   5.11810e-01      3.84512e-05      4.34921e-05
8.02              9.15              3.90707e-06  1.13242e-07  3.89169e-08   5.10770e-01      3.83275e-05      4.34821e-05
8.02              9.20              3.89874e-06  1.11976e-07  3.89169e-08   5.10070e-01      3.82393e-05      4.35021e-05
8.02              9.25              3.88832e-06  1.10662e-07  3.89169e-08   5.09770e-01      3.82041e-05      4.35623e-05
8.02              9.30              3.87518e-06  1.09268e-07  3.89169e-08   5.09960e-01      3.82393e-05      4.36727e-05
8.02              9.35              3.85852e-06  1.07794e-07  3.89169e-08   5.10710e-01      3.83451e-05      4.38339e-05
8.02              9.40              3.83753e-06  1.06256e-07  3.89169e-08   5.12120e-01      3.85399e-05      4.40667e-05
8.02              9.45              3.81126e-06  1.04654e-07  3.89169e-08   5.14350e-01      3.88428e-05      4.43824e-05
8.02              9.50              3.77809e-06  1.02956e-07  3.89169e-08   5.17510e-01      3.92835e-05      4.48033e-05
8.02              9.55              3.73628e-06  1.01193e-07  3.89169e-08   5.21760e-01      3.98851e-05      4.53639e-05
8.02              9.60              3.68388e-06  9.93510e-08  3.89169e-08   5.27340e-01      4.06921e-05      4.60692e-05
8.02              9.65              3.61788e-06  9.74284e-08  3.89169e-08   5.34450e-01      4.17456e-05      4.69797e-05
8.04              7.00              3.99855e-06  1.33045e-07  3.94937e-08   5.47340e-01      4.25805e-05      4.61222e-05
8.04              7.20              3.99839e-06  1.32772e-07  3.94937e-08   5.47920e-01      4.26393e-05      4.61860e-05
8.04              7.40              3.99823e-06  1.32404e-07  3.94937e-08   5.49160e-01      4.27672e-05      4.63138e-05
8.04              7.60              3.99791e-06  1.31875e-07  3.94937e-08   5.50710e-01      4.29349e-05      4.64847e-05
8.04              7.80              3.99775e-06  1.31186e-07  3.94937e-08   5.51930e-01      4.30636e-05      4.66134e-05
8.04              8.00              3.99743e-06  1.30241e-07  3.94937e-08   5.52580e-01      4.31331e-05      4.66886e-05
8.04              8.05              3.99743e-06  1.29969e-07  3.94937e-08   5.52710e-01      4.31430e-05      4.66993e-05
8.04              8.10              3.99743e-06  1.29664e-07  3.94937e-08   5.52780e-01      4.31529e-05      4.67101e-05
8.04              8.15              3.99727e-06  1.29328e-07  3.94937e-08   5.52840e-01      4.31629e-05      4.67208e-05
8.04              8.20              3.99727e-06  1.28975e-07  3.94937e-08   5.52880e-01      4.31728e-05      4.67208e-05
8.04              8.25              3.99711e-06  1.28607e-07  3.94937e-08   5.52910e-01      4.31728e-05      4.67316e-05
8.04              8.30              3.99695e-06  1.28206e-07  3.94937e-08   5.52870e-01      4.31629e-05      4.67316e-05
8.04              8.35              3.99679e-06  1.27774e-07  3.94937e-08   5.52780e-01      4.31529e-05      4.67316e-05
8.04              8.40              3.99663e-06  1.27309e-07  3.94937e-08   5.52610e-01      4.31231e-05      4.67208e-05
8.04              8.45              3.99631e-06  1.26812e-07  3.94937e-08   5.52270e-01      4.30834e-05      4.66993e-05
8.04              8.50              3.99599e-06  1.26284e-07  3.94937e-08   5.51790e-01      4.30141e-05      4.66778e-05
8.04              8.55              3.99567e-06  1.25707e-07  3.94937e-08   5.51120e-01      4.29151e-05      4.66456e-05
8.04              8.60              3.99519e-06  1.25098e-07  3.94937e-08   5.50240e-01      4.27967e-05      4.65919e-05
