!18Ne (0+, 2+) -> 18F    e-capture   with screening effects
!USDB ,   GT+Fermi,   Q (18Ne-18F) = 4.4445 MeV 
!Experimental data are used.
!
! rhoY T mu dQ Vs e-cap-rate nu-erergy-loss gamma-energy
! g/cm^3 K erg erg erg 1/s erg/s erg/s 

1.000000e+08 1.412538e+08 3.894259e-06 9.260600e-08 2.555477e-08 3.852210e+00 3.394777e-05 1.848197e-06
1.000000e+08 1.584893e+08 3.894259e-06 9.222148e-08 2.555477e-08 3.852299e+00 3.394777e-05 1.848333e-06
1.000000e+08 1.778279e+08 3.894098e-06 9.178889e-08 2.555477e-08 3.852743e+00 3.395559e-05 1.848619e-06
1.000000e+08 1.995262e+08 3.893938e-06 9.132426e-08 2.555477e-08 3.853186e+00 3.396341e-05 1.848895e-06
1.000000e+08 2.238721e+08 3.893778e-06 9.084361e-08 2.555477e-08 3.853807e+00 3.397123e-05 1.849313e-06
1.000000e+08 2.511886e+08 3.893618e-06 9.033091e-08 2.555477e-08 3.854784e+00 3.397906e-05 1.849892e-06
1.000000e+08 2.818383e+08 3.893297e-06 8.977015e-08 2.555477e-08 3.855405e+00 3.399471e-05 1.850343e-06
1.000000e+08 3.162278e+08 3.892977e-06 8.917734e-08 2.555477e-08 3.856470e+00 3.401037e-05 1.851021e-06
1.000000e+08 3.548134e+08 3.892496e-06 8.855249e-08 2.555477e-08 3.857714e+00 3.402603e-05 1.851814e-06
1.000000e+08 3.981072e+08 3.892016e-06 8.787957e-08 2.555477e-08 3.859313e+00 3.404171e-05 1.852790e-06
1.000000e+08 4.466836e+08 3.891375e-06 8.717461e-08 2.555477e-08 3.860735e+00 3.406523e-05 1.853716e-06
1.000000e+08 5.011872e+08 3.890574e-06 8.642159e-08 2.555477e-08 3.862780e+00 3.409662e-05 1.855019e-06
1.000000e+08 5.623413e+08 3.889452e-06 8.562050e-08 2.555477e-08 3.865093e+00 3.412804e-05 1.856506e-06
1.000000e+08 6.309573e+08 3.888170e-06 8.477134e-08 2.555477e-08 3.868031e+00 3.416735e-05 1.858349e-06
1.000000e+08 7.079458e+08 3.886408e-06 8.387412e-08 2.555477e-08 3.871239e+00 3.421459e-05 1.860438e-06
1.000000e+08 7.943282e+08 3.884325e-06 8.292884e-08 2.555477e-08 3.875252e+00 3.426978e-05 1.863032e-06
1.000000e+08 8.912509e+08 3.881601e-06 8.193549e-08 2.555477e-08 3.880074e+00 3.433296e-05 1.866153e-06
1.000000e+08 1.000000e+09 3.878237e-06 8.089407e-08 2.555477e-08 3.886154e+00 3.442003e-05 1.870050e-06
1.000000e+08 1.122018e+09 3.873911e-06 7.978856e-08 2.555477e-08 3.893498e+00 3.452322e-05 1.874771e-06
1.000000e+08 1.258925e+09 3.868624e-06 7.863499e-08 2.555477e-08 3.902654e+00 3.465064e-05 1.880656e-06
1.000000e+08 1.412538e+09 3.861895e-06 7.741734e-08 2.555477e-08 3.913812e+00 3.481058e-05 1.887901e-06
1.000000e+08 1.584893e+09 3.853563e-06 7.615162e-08 2.555477e-08 3.927806e+00 3.501155e-05 1.896947e-06
1.000000e+08 1.778279e+09 3.842829e-06 7.482181e-08 2.555477e-08 3.944936e+00 3.525424e-05 1.908228e-06
1.000000e+08 1.995262e+09 3.829370e-06 7.344393e-08 2.555477e-08 3.966158e+00 3.556406e-05 1.922575e-06
1.000000e+08 2.238721e+09 3.812548e-06 7.200197e-08 2.555477e-08 3.992455e+00 3.594275e-05 1.941593e-06
1.000000e+08 2.511886e+09 3.791399e-06 7.051194e-08 2.555477e-08 4.025224e+00 3.641760e-05 1.968132e-06
1.000000e+08 2.818383e+09 3.764642e-06 6.895783e-08 2.555477e-08 4.065182e+00 3.700934e-05 2.007120e-06
1.000000e+08 3.162278e+09 3.730997e-06 6.735565e-08 2.555477e-08 4.114338e+00 3.774951e-05 2.067623e-06
1.000000e+08 3.548134e+09 3.688539e-06 6.570540e-08 2.555477e-08 4.173880e+00 3.866440e-05 2.163273e-06
1.000000e+08 3.981072e+09 3.635186e-06 6.400709e-08 2.555477e-08 4.246098e+00 3.979342e-05 2.314469e-06

1.000000e+08 4.466836e+09 3.568215e-06 6.695510e-08 2.555477e-08 4.328725e+00 4.113498e-05 2.543790e-06
