       c12(p,g)n13      n13( ,e+)c13       c13(p,g)n14       n14(p,g)o15      o15( ,e+)n15       n15(p,a)c12       n13(p,g)o14      o14( ,e+)n14              temp
     1.07096223805681E-01     1.15911325678315E-03     2.70616172369197E-01     2.31959134807469E-01     5.68155679600207E-03     1.81713373686208E+03     2.72878765892243E-02     9.81797882599657E-03     2.70000000000000E+08
     1.46746152746373E-01     1.15911325678315E-03     3.51362069277939E-01     3.26095126037834E-01     5.68155679600207E-03     2.52992497821339E+03     3.68345409457989E-02     9.81797882599657E-03     2.80000000000000E+08
     2.00060987829484E-01     1.15911325678315E-03     4.52548289291207E-01     4.47072268389900E-01     5.68155679600207E-03     3.45998009093544E+03     4.93490251162230E-02     9.81797882599657E-03     2.90000000000000E+08
     2.71223226653327E-01     1.15911325678315E-03     5.79111935428152E-01     5.99254289088499E-01     5.68155679600207E-03     4.65390161066978E+03     6.57336577365480E-02     9.81797882599657E-03     3.00000000000000E+08
     3.65383409857707E-01     1.15911325678315E-03     7.37333404716087E-01     7.87054922957542E-01     5.68155679600207E-03     6.16359715026685E+03     8.71761087688693E-02     9.81797882599657E-03     3.10000000000000E+08
     4.88766306120271E-01     1.15911325678315E-03     9.35197449287584E-01     1.01484909906852E+00     5.68155679600207E-03     8.04607901753077E+03     1.15229424831429E-01     9.81797882599657E-03     3.20000000000000E+08
     6.48761914576845E-01     1.15911325678315E-03     1.18280806375304E+00     1.28688966835610E+00     5.68155679600207E-03     1.03631526352192E+04     1.51904243569306E-01     9.81797882599657E-03     3.30000000000000E+08
     8.53997304457645E-01     1.15911325678315E-03     1.49284966117451E+00     1.60723230337134E+00     5.68155679600207E-03     1.31810023584910E+04     1.99771528510385E-01     9.81797882599657E-03     3.40000000000000E+08
     1.11438629275990E+00     1.15911325678315E-03     1.88108354458375E+00     1.97967034473027E+00     5.68155679600207E-03     1.65696860478656E+04     2.62073353203028E-01     9.81797882599657E-03     3.50000000000000E+08
     1.44115502354851E+00     1.15911325678315E-03     2.36686586745953E+00     2.40768059483168E+00     5.68155679600207E-03     2.06025518611051E+04     3.42838597280603E-01     9.81797882599657E-03     3.60000000000000E+08
     1.84684257315639E+00     1.15911325678315E-03     2.97367130566274E+00     2.89438040144067E+00     5.68155679600207E-03     2.53555921757082E+04     4.46999949406660E-01     9.81797882599657E-03     3.70000000000000E+08
     2.34527669725851E+00     1.15911325678315E-03     3.72960563745371E+00     3.44249584516501E+00     5.68155679600207E-03     3.09067503744721E+04     5.80508370603460E-01     9.81797882599657E-03     3.80000000000000E+08
     2.95152571038497E+00     1.15911325678315E-03     4.66789035636334E+00     4.05434044484062E+00     5.68155679600207E-03     3.73351964719571E+04     7.50441160484824E-01     9.81797882599657E-03     3.90000000000000E+08
     3.68182821592694E+00     1.15911325678315E-03     5.82730325415290E+00     4.73180351330188E+00     5.68155679600207E-03     4.47205872978640E+04     9.65099972454031E-01     9.81797882599657E-03     4.00000000000000E+08
     4.55350297106053E+00     1.15911325678315E-03     7.25256047970933E+00     5.47634711763942E+00     5.68155679600207E-03     5.31423262624370E+04     1.23409551083768E+00     9.81797882599657E-03     4.10000000000000E+08
     5.58484157525169E+00     1.15911325678315E-03     8.99462773964237E+00     6.28901050531537E+00     5.68155679600207E-03     6.26788366915166E+04     1.56841617238719E+00     9.81797882599657E-03     4.20000000000000E+08
     6.79498692188475E+00     1.15911325678315E-03     1.11109508765032E+01     7.17042083273756E+00     5.68155679600207E-03     7.34068614169765E+04     1.98047852139056E+00     9.81797882599657E-03     4.30000000000000E+08
     8.20380046555510E+00     1.15911325678315E-03     1.36655988608603E+01     8.12080905958424E+00     5.68155679600207E-03     8.54007998200791E+04     2.48415816672412E+00     9.81797882599657E-03     4.40000000000000E+08
     9.83172135217479E+00     1.15911325678315E-03     1.67293150979884E+01     9.14002993572438E+00     5.68155679600207E-03     9.87320919220762E+04     3.09480029904894E+00     9.81797882599657E-03     4.50000000000000E+08
     1.16996203565431E+01     1.15911325678315E-03     2.03794757356580E+01     1.02275850956441E+01     5.68155679600207E-03     1.13468657460813E+05     3.82920981144916E+00     9.81797882599657E-03     4.60000000000000E+08
     1.38286513938151E+01     1.15911325678315E-03     2.46999562513232E+01     1.13826483777953E+01     5.68155679600207E-03     1.29674396237335E+05     4.70562153876728E+00     9.81797882599657E-03     4.70000000000000E+08
     1.62401031376129E+01     1.15911325678315E-03     2.97809099092693E+01     1.26040925953177E+01     5.68155679600207E-03     1.47408754405871E+05     5.74365168899690E+00     9.81797882599657E-03     4.80000000000000E+08
     1.89552530066983E+01     1.15911325678315E-03     3.57184636539767E+01     1.38905170941564E+01     5.68155679600207E-03     1.66726359848091E+05     6.96423199101162E+00     9.81797882599657E-03     4.90000000000000E+08
     2.19952254901058E+01     1.15911325678315E-03     4.26143386140267E+01     1.52402755403694E+01     5.68155679600207E-03     1.87676728343379E+05     8.38952843996790E+00     9.81797882599657E-03     5.00000000000000E+08
     2.53808564807972E+01     1.15911325678315E-03     5.05754036225262E+01     1.66515034774257E+01     5.68155679600207E-03     2.10304040938644E+05     1.00428467839093E+01     9.81797882599657E-03     5.10000000000000E+08
     2.91325649910494E+01     1.15911325678315E-03     5.97131710245181E+01     1.81221452846547E+01     5.68155679600207E-03     2.34646991744774E+05     1.19485270659410E+01     9.81797882599657E-03     5.20000000000000E+08
     3.32702333373230E+01     1.15911325678315E-03     7.01432445622067E+01     1.96499802487378E+01     5.68155679600207E-03     2.60738704347750E+05     1.41318296227552E+01     9.81797882599657E-03     5.30000000000000E+08
     3.78130966144619E+01     1.15911325678315E-03     8.19847293378572E+01     2.12326475308520E+01     5.68155679600207E-03     2.88606714121605E+05     1.66188149515103E+01     9.81797882599657E-03     5.40000000000000E+08
     4.27796420330444E+01     1.15911325678315E-03     9.53596137908630E+01     2.28676698729260E+01     5.68155679600207E-03     3.18273012965652E+05     1.94362198037351E+01     9.81797882599657E-03     5.50000000000000E+08
     4.81875184721744E+01     1.15911325678315E-03     1.10392133331789E+02     2.45524759378959E+01     5.68155679600207E-03     3.49754152354690E+05     2.26113317582681E+01     9.81797882599657E-03     5.60000000000000E+08
     5.40534564042972E+01     1.15911325678315E-03     1.27208124794862E+02     2.62844212215348E+01     5.68155679600207E-03     3.83061400081602E+05     2.61718643764455E+01     9.81797882599657E-03     5.70000000000000E+08
     6.03931981789912E+01     1.15911325678315E-03     1.45934380242847E+02     2.80608075081810E+01     5.68155679600207E-03     4.18200945679028E+05     3.01458348625044E+01     9.81797882599657E-03     5.80000000000000E+08
     6.72214385085418E+01     1.15911325678315E-03     1.66698007923284E+02     2.98789008703782E+01     5.68155679600207E-03     4.55174149221939E+05     3.45614459502999E+01     9.81797882599657E-03     5.90000000000000E+08
     7.45517748782535E+01     1.15911325678315E-03     1.89625807367827E+02     3.17359482339597E+01     5.68155679600207E-03     4.93977828027110E+05     3.94469735227317E+01     9.81797882599657E-03     6.00000000000000E+08
     8.23966675073052E+01     1.15911325678315E-03     2.14843664778012E+02     3.36291925463119E+01     5.68155679600207E-03     5.34604575669458E+05     4.48306612503105E+01     9.81797882599657E-03     6.10000000000000E+08
     9.07674084095670E+01     1.15911325678315E-03     2.42475973977811E+02     3.55558865972747E+01     5.68155679600207E-03     5.77043107720242E+05     5.07406233164712E+01     9.81797882599657E-03     6.20000000000000E+08
     9.96740990461622E+01     1.15911325678315E-03     2.72645087358055E+02     3.75133055501206E+01     5.68155679600207E-03     6.21278628669364E+05     5.72047560847256E+01     9.81797882599657E-03     6.30000000000000E+08
     1.09125636020543E+02     1.15911325678315E-03     3.05470800408343E+02     3.94987582450025E+01     5.68155679600207E-03     6.67293214614997E+05     6.42506593606261E+01     9.81797882599657E-03     6.40000000000000E+08
     1.19129704240380E+02     1.15911325678315E-03     3.41069872642439E+02     4.15095973397733E+01     5.68155679600207E-03     7.15066206480719E+05     7.19055677128141E+01     9.81797882599657E-03     6.50000000000000E+08
     1.29692776956595E+02     1.15911325678315E-03     3.79555586983966E+02     4.35432283537058E+01     5.68155679600207E-03     7.64574608745388E+05     8.01962921442857E+01     9.81797882599657E-03     6.60000000000000E+08
     1.40820122086553E+02     1.15911325678315E-03     4.21037348997924E+02     4.55971176788354E+01     5.68155679600207E-03     8.15793488936953E+05     8.91491722487647E+01     9.81797882599657E-03     6.70000000000000E+08
     1.52515814233901E+02     1.15911325678315E-03     4.65620326734729E+02     4.76687996218099E+01     5.68155679600207E-03     8.68696373441575E+05     9.87900388483851E+01     9.81797882599657E-03     6.80000000000000E+08
     1.64782751830317E+02     1.15911325678315E-03     5.13405131399660E+02     4.97558825365945E+01     5.68155679600207E-03     9.23255635507276E+05     1.09144186987887E+02     9.81797882599657E-03     6.90000000000000E+08
     1.77622678842928E+02     1.15911325678315E-03     5.64487538572162E+02     5.18560541054059E+01     5.68155679600207E-03     9.79442871670828E+05     1.20236359056874E+02     9.81797882599657E-03     7.00000000000000E+08
     1.91036210514173E+02     1.15911325678315E-03     6.18958249275409E+02     5.39670858220710E+01     5.68155679600207E-03     1.03722926320201E+06     1.32090737724712E+02     9.81797882599657E-03     7.10000000000000E+08
     2.05022862627247E+02     1.15911325678315E-03     6.76902689834716E+02     5.60868367287828E+01     5.68155679600207E-03     1.09658591953595E+06     1.44730948301433E+02     9.81797882599657E-03     7.20000000000000E+08
     2.19581083819021E+02     1.15911325678315E-03     7.38400849160507E+02     5.82132564540930E+01     5.68155679600207E-03     1.15748420104597E+06     1.58180070081434E+02     9.81797882599657E-03     7.30000000000000E+08
     2.34708290492536E+02     1.15911325678315E-03     8.03527151844036E+02     6.03443875970369E+01     5.68155679600207E-03     1.21989601889334E+06     1.72460656183613E+02     9.81797882599657E-03     7.40000000000000E+08
     2.50400903912344E+02     1.15911325678315E-03     8.72350365257497E+02     6.24783674995856E+01     5.68155679600207E-03     1.28379411007092E+06     1.87594761370572E+02     9.81797882599657E-03     7.50000000000000E+08
     2.66654389097173E+02     1.15911325678315E-03     9.44933538700299E+02     6.46134294472103E+01     5.68155679600207E-03     1.34915228613169E+06     2.03603977309301E+02     9.81797882599657E-03     7.60000000000000E+08
     2.83463295155497E+02     1.15911325678315E-03     1.02133397252540E+03     6.67479033352392E+01     5.68155679600207E-03     1.41594565445815E+06     2.20509474725128E+02     9.81797882599657E-03     7.70000000000000E+08
     3.00821296739928E+02     1.15911325678315E-03     1.10160321510923E+03     6.88802158368833E+01     5.68155679600207E-03     1.48415081127925E+06     2.38332051898310E+02     9.81797882599657E-03     7.80000000000000E+08
     3.18721236325776E+02     1.15911325678315E-03     1.18578708549155E+03     7.10088901072977E+01     5.68155679600207E-03     1.55374600597808E+06     2.57092188957377E+02     9.81797882599657E-03     7.90000000000000E+08
     3.37155167047295E+02     1.15911325678315E-03     1.27392571950305E+03     7.31325450568041E+01     5.68155679600207E-03     1.62471127655112E+06     2.76810107434009E+02     9.81797882599657E-03     8.00000000000000E+08
     3.56114395851936E+02     1.15911325678315E-03     1.36605363721512E+03     7.52498942253884E+01     5.68155679600207E-03     1.69702855637834E+06     2.97505834559888E+02     9.81797882599657E-03     8.10000000000000E+08
     3.75589526758225E+02     1.15911325678315E-03     1.46219982958332E+03     7.73597442897856E+01     5.68155679600207E-03     1.77068175274054E+06     3.19199271805551E+02     9.81797882599657E-03     8.20000000000000E+08
     3.95570504026633E+02     1.15911325678315E-03     1.56238786221173E+03     7.94609932338141E+01     5.68155679600207E-03     1.84565679777425E+06     3.41910267184155E+02     9.81797882599657E-03     8.30000000000000E+08
     4.16046655074798E+02     1.15911325678315E-03     1.66663599423440E+03     8.15526282120994E+01     5.68155679600207E-03     1.92194167278587E+06     3.65658690868157E+02     9.81797882599657E-03     8.40000000000000E+08
     4.37006732989003E+02     1.15911325678315E-03     1.77495731039152E+03     8.36337231368817E+01     5.68155679600207E-03     1.99952640705317E+06     3.90464513693895E+02     9.81797882599657E-03     8.50000000000000E+08
     4.58438958502558E+02     1.15911325678315E-03     1.88735986446797E+03     8.57034360172057E+01     5.68155679600207E-03     2.07840305242464E+06     4.16347888157071E+02     9.81797882599657E-03     8.60000000000000E+08
     4.80331061329056E+02     1.15911325678315E-03     2.00384683235889E+03     8.77610060793993E+01     5.68155679600207E-03     2.15856563518519E+06     4.43329231530834E+02     9.81797882599657E-03     8.70000000000000E+08
     5.02670320754114E+02     1.15911325678315E-03     2.12441667312818E+03     8.98057506973365E+01     5.68155679600207E-03     2.24001008679000E+06     4.71429310767002E+02     9.81797882599657E-03     8.80000000000000E+08
     5.25443605403537E+02     1.15911325678315E-03     2.24906329653072E+03     9.18370621605222E+01     5.68155679600207E-03     2.32273415517811E+06     5.00669328869709E+02     9.81797882599657E-03     8.90000000000000E+08
     5.48637412118632E+02     1.15911325678315E-03     2.37777623557465E+03     9.38544043074975E+01     5.68155679600207E-03     2.40673729846397E+06     5.31071012458927E+02     9.81797882599657E-03     9.00000000000000E+08
     5.72237903881034E+02     1.15911325678315E-03     2.51054082280628E+03     9.58573090514506E+01     5.68155679600207E-03     2.49202056286883E+06     5.62656700268839E+02     9.81797882599657E-03     9.10000000000000E+08
     5.96230946739638E+02     1.15911325678315E-03     2.64733836910516E+03     9.78453728241817E+01     5.68155679600207E-03     2.57858644679680E+06     5.95449432352599E+02     9.81797882599657E-03     9.20000000000000E+08
     6.20602145701534E+02     1.15911325678315E-03     2.78814634387990E+03     9.98182529637404E+01     5.68155679600207E-03     2.66643875298264E+06     6.29473039790467E+02     9.81797882599657E-03     9.30000000000000E+08
     6.45336879556838E+02     1.15911325678315E-03     2.93293855565580E+03     1.01775664070089E+02     5.68155679600207E-03     2.75558243064129E+06     6.64752234722617E+02     9.81797882599657E-03     9.40000000000000E+08
     6.70420334614595E+02     1.15911325678315E-03     3.08168533214241E+03     1.03717374352080E+02     5.68155679600207E-03     2.84602340953483E+06     7.01312700550869E+02     9.81797882599657E-03     9.50000000000000E+08
     6.95837537333132E+02     1.15911325678315E-03     3.23435369896249E+03     1.05643201987837E+02     5.68155679600207E-03     2.93776842784154E+06     7.39181182175260E+02     9.81797882599657E-03     9.60000000000000E+08
     7.21573385833739E+02     1.15911325678315E-03     3.39090755631310E+03     1.07553011519337E+02     5.68155679600207E-03     3.03082485566561E+06     7.78385576151644E+02     9.81797882599657E-03     9.70000000000000E+08
     7.47612680291275E+02     1.15911325678315E-03     3.55130785291417E+03     1.09446710300599E+02     5.68155679600207E-03     3.12520051596695E+06     8.18955020675381E+02     9.81797882599657E-03     9.80000000000000E+08
     7.73940152199411E+02     1.15911325678315E-03     3.71551275668002E+03     1.11324245017393E+02     5.68155679600207E-03     3.22090350461903E+06     8.60919985313693E+02     9.81797882599657E-03     9.90000000000000E+08
     8.00540492511673E+02     1.15911325678315E-03     3.88347782162507E+03     1.13185598294833E+02     5.68155679600207E-03     3.31794201122091E+06     9.04312360425447E+02     9.81797882599657E-03     1.00000000000000E+09
     8.27398378662496E+02     1.15911325678315E-03     4.05515615058494E+03     1.15030785407599E+02     5.68155679600207E-03     3.41632414219864E+06     9.49165546221919E+02     9.81797882599657E-03     1.01000000000000E+09
     8.54498500474906E+02     1.15911325678315E-03     4.23049855340088E+03     1.16859851105898E+02     5.68155679600207E-03     3.51605774763309E+06     9.95514541435688E+02     9.81797882599657E-03     1.02000000000000E+09
     8.81825584963677E+02     1.15911325678315E-03     4.40945370027586E+03     1.18672866568558E+02     5.68155679600207E-03     3.61715025314617E+06     1.04339603157713E+03     9.81797882599657E-03     1.03000000000000E+09
     9.09364420044469E+02     1.15911325678315E-03     4.59196827006784E+03     1.20469926493004E+02     5.68155679600207E-03     3.71960849806879E+06     1.09284847676912E+03     9.81797882599657E-03     1.04000000000000E+09
     9.37099877160966E+02     1.15911325678315E-03     4.77798709333720E+03     1.22251146330157E+02     5.68155679600207E-03     3.82343858100004E+06     1.14391219916065E+03     9.81797882599657E-03     1.05000000000000E+09
     9.65016932843150E+02     1.15911325678315E-03     4.96745329001361E+03     1.24016659670671E+02     5.68155679600207E-03     3.92864571375243E+06     1.19662946992898E+03     9.81797882599657E-03     1.06000000000000E+09
     9.93100689210910E+02     1.15911325678315E-03     5.16030840159072E+03     1.25766615787288E+02     5.68155679600207E-03     4.03523408456191E+06     1.25104459588794E+03     9.81797882599657E-03     1.07000000000000E+09
     1.02133639343783E+03     1.15911325678315E-03     5.35649251779671E+03     1.27501177336573E+02     5.68155679600207E-03     4.14320673132392E+06     1.30720400572727E+03     9.81797882599657E-03     1.08000000000000E+09
     1.04970945619077E+03     1.15911325678315E-03     5.55594439772418E+03     1.29220518221769E+02     5.68155679600207E-03     4.25256542550218E+06     1.36515633591371E+03     9.81797882599657E-03     1.09000000000000E+09
     1.07820546906113E+03     1.15911325678315E-03     5.75860158543529E+03     1.30924821617154E+02     5.68155679600207E-03     4.36331056724257E+06     1.42495251629034E+03     9.81797882599657E-03     1.10000000000000E+09
     1.10681022100433E+03     1.15911325678315E-03     5.96440052008634E+03     1.32614278152914E+02     5.68155679600207E-03     4.47544109211356E+06     1.48664585541505E+03     9.81797882599657E-03     1.11000000000000E+09
     1.13550971380412E+03     1.15911325678315E-03     6.17327664064137E+03     1.34289084258402E+02     5.68155679600207E-03     4.58895438978657E+06     1.55029212568318E+03     9.81797882599657E-03     1.12000000000000E+09
     1.16429017657871E+03     1.15911325678315E-03     6.38516448526689E+03     1.35949440660485E+02     5.68155679600207E-03     4.70384623486616E+06     1.61594964828250E+03     9.81797882599657E-03     1.13000000000000E+09
     1.19313807934572E+03     1.15911325678315E-03     6.59999778551899E+03     1.37595551032734E+02     5.68155679600207E-03     4.82011072998052E+06     1.68367937803173E+03     9.81797882599657E-03     1.14000000000000E+09
     1.22204014566353E+03     1.15911325678315E-03     6.81770955545128E+03     1.39227620790288E+02     5.68155679600207E-03     4.93774026114838E+06     1.75354498815578E+03     9.81797882599657E-03     1.15000000000000E+09
     1.25098336436604E+03     1.15911325678315E-03     7.03823217578622E+03     1.40845856024505E+02     5.68155679600207E-03     5.05672546535008E+06     1.82561295505271E+03     9.81797882599657E-03     1.16000000000000E+09
     1.27995500040886E+03     1.15911325678315E-03     7.26149747330474E+03     1.42450462570823E+02     5.68155679600207E-03     5.17705521014675E+06     1.89995264310893E+03     9.81797882599657E-03     1.17000000000000E+09
     1.30894260484416E+03     1.15911325678315E-03     7.48743679561892E+03     1.44041645202738E+02     5.68155679600207E-03     5.29871658511574E+06     1.97663638961974E+03     9.81797882599657E-03     1.18000000000000E+09
     1.33793402394239E+03     1.15911325678315E-03     7.71598108150025E+03     1.45619606944385E+02     5.68155679600207E-03     5.42169490479801E+06     2.05573958987313E+03     9.81797882599657E-03     1.19000000000000E+09
     1.36691740747856E+03     1.15911325678315E-03     7.94706092694319E+03     1.47184548493887E+02     5.68155679600207E-03     5.54597372279006E+06     2.13734078245507E+03     9.81797882599657E-03     1.20000000000000E+09
     1.39588121620131E+03     1.15911325678315E-03     8.18060664714747E+03     1.48736667749413E+02     5.68155679600207E-03     5.67153485655407E+06     2.22152173483410E+03     9.81797882599657E-03     1.21000000000000E+09
     1.42481422850292E+03     1.15911325678315E-03     8.41654833460626E+03     1.50276159429807E+02     5.68155679600207E-03     5.79835842246811E+06     2.30836752928339E+03     9.81797882599657E-03     1.22000000000000E+09
     1.45370554630889E+03     1.15911325678315E-03     8.65481591348928E+03     1.51803214781562E+02     5.68155679600207E-03     5.92642288059307E+06     2.39796664919727E+03     9.81797882599657E-03     1.23000000000000E+09
     1.48254460020559E+03     1.15911325678315E-03     8.89533919051017E+03     1.53318021364035E+02     5.68155679600207E-03     6.05570508859346E+06     2.49041106585911E+03     9.81797882599657E-03     1.24000000000000E+09
     1.51132115382478E+03     1.15911325678315E-03     9.13804790246783E+03     1.54820762904885E+02     5.68155679600207E-03     6.18618036421600E+06     2.58579632571614E+03     9.81797882599657E-03     1.25000000000000E+09
     1.54002530750440E+03     1.15911325678315E-03     9.38287176064880E+03     1.56311619217937E+02     5.68155679600207E-03     6.31782255570289E+06     2.68422163821613E+03     9.81797882599657E-03     1.26000000000000E+09
     1.56864750124449E+03     1.15911325678315E-03     9.62974049227697E+03     1.57790766175922E+02     5.68155679600207E-03     6.45060411949460E+06     2.78578996425948E+03     9.81797882599657E-03     1.27000000000000E+09
     1.59717851697825E+03     1.15911325678315E-03     9.87858387919263E+03     1.59258375730854E+02     5.68155679600207E-03     6.58449620456154E+06     2.89060810531913E+03     9.81797882599657E-03     1.28000000000000E+09
     1.62560948017782E+03     1.15911325678315E-03     1.01293317939403E+04     1.60714615975165E+02     5.68155679600207E-03     6.71946874269238E+06     2.99878679327941E+03     9.81797882599657E-03     1.29000000000000E+09
     1.65393186081496E+03     1.15911325678315E-03     1.03819142334390E+04     1.62159651237088E+02     5.68155679600207E-03     6.85549054406141E+06     3.11044078104346E+03     9.81797882599657E-03     1.30000000000000E+09
     1.68213747369698E+03     1.15911325678315E-03     1.06362613504062E+04     1.63593642204217E+02     5.68155679600207E-03     6.99252939739586E+06     3.22568893395737E+03     9.81797882599657E-03     1.31000000000000E+09
     1.71021847819864E+03     1.15911325678315E-03     1.08923034826989E+04     1.65016746069569E+02     5.68155679600207E-03     7.13055217406689E+06     3.34465432209789E+03     9.81797882599657E-03     1.32000000000000E+09
     1.73816737741080E+03     1.15911325678315E-03     1.11499711807310E+04     1.66429116694963E+02     5.68155679600207E-03     7.26952493543565E+06     3.46746431346847E+03     9.81797882599657E-03     1.33000000000000E+09
     1.76597701672706E+03     1.15911325678315E-03     1.14091952331211E+04     1.67830904786950E+02     5.68155679600207E-03     7.40941304279592E+06     3.59425066814769E+03     9.81797882599657E-03     1.34000000000000E+09
     1.79364058188981E+03     1.15911325678315E-03     1.16699066907171E+04     1.69222258081004E+02     5.68155679600207E-03     7.55018126926990E+06     3.72514963343146E+03     9.81797882599657E-03     1.35000000000000E+09
     1.82115159651727E+03     1.15911325678315E-03     1.19320368891381E+04     1.70603321530120E+02     5.68155679600207E-03     7.69179391303009E+06     3.86030204000972E+03     9.81797882599657E-03     1.36000000000000E+09
     1.84850391913338E+03     1.15911325678315E-03     1.21955174699690E+04     1.71974237494421E+02     5.68155679600207E-03     7.83421491124139E+06     3.99985339921592E+03     9.81797882599657E-03     1.37000000000000E+09
     1.87569173972273E+03     1.15911325678315E-03     1.24602804007343E+04     1.73335145928795E+02     5.68155679600207E-03     7.97740795413908E+06     4.14395400138687E+03     9.81797882599657E-03     1.38000000000000E+09
