       c12(p,g)n13      n13( ,e+)c13       c13(p,g)n14       n14(p,g)o15      o15( ,e+)n15       n15(p,a)c12       n13(p,g)o14      o14( ,e+)n14              temp
     1.50384562490852E-19     1.15911325678315E-03     4.91096383672282E-19     1.22485498388640E-22     5.68155679600207E-03     4.76640150594146E-18     4.53500500540249E-22     9.81797882599657E-03     1.00000000000000E+07
     4.81721136371550E-14     1.15911325678315E-03     1.58678258904676E-13     1.58674097249277E-16     5.68155679600207E-03     7.39704983074642E-12     6.01081016995919E-16     9.81797882599657E-03     2.00000000000000E+07
     2.22960750549576E-11     1.15911325678315E-03     7.33803182769403E-11     1.41665507795494E-13     5.68155679600207E-03     7.46918207499699E-09     5.54692329817902E-13     9.81797882599657E-03     3.00000000000000E+07
     1.06794773478881E-09     1.15911325678315E-03     3.50295585263832E-09     1.01409219432500E-11     5.68155679600207E-03     5.88856577900615E-07     4.10641972150845E-11     9.81797882599657E-03     4.00000000000000E+07
     1.67517446841148E-08     1.15911325678315E-03     5.47163286331865E-08     2.10125420908287E-10     5.68155679600207E-03     1.32395487989563E-05     8.77974116896116E-10     9.81797882599657E-03     5.00000000000000E+07
     1.36987912934429E-07     1.15911325678315E-03     4.45467410435491E-07     2.11622557119666E-09     5.68155679600207E-03     1.44235090953518E-04     9.09361850256776E-09     9.81797882599657E-03     6.00000000000000E+07
     7.35097725937117E-07     1.15911325678315E-03     2.37999890931810E-06     1.33875119107675E-08     5.68155679600207E-03     9.92884274201765E-04     5.89430110070634E-08     9.81797882599657E-03     7.00000000000000E+07
     2.94555936985629E-06     1.15911325678315E-03     9.49676701868332E-06     6.14346165114635E-08     5.68155679600207E-03     4.98563857662308E-03     2.76081934306820E-07     9.81797882599657E-03     8.00000000000000E+07
     9.53958217798383E-06     1.15911325678315E-03     3.06352750071636E-05     2.23527759412026E-07     5.68155679600207E-03     1.98148609909199E-02     1.02054511769006E-06     9.81797882599657E-03     9.00000000000000E+07
     2.62952065399596E-05     1.15911325678315E-03     8.41351511483174E-05     6.86959522006210E-07     5.68155679600207E-03     6.56389141932448E-02     3.15364535917901E-06     9.81797882599657E-03     1.00000000000000E+08
     6.39144634525979E-05     1.15911325678315E-03     2.03817249868938E-04     1.89391040034692E-06     5.68155679600207E-03     1.88144979371797E-01     8.47464340960174E-06     9.81797882599657E-03     1.10000000000000E+08
     1.40496282986874E-04     1.15911325678315E-03     4.46666807134580E-04     5.03183887033382E-06     5.68155679600207E-03     4.80632879158498E-01     2.03692671837681E-05     9.81797882599657E-03     1.20000000000000E+08
     2.84538772911719E-04     1.15911325678315E-03     9.02137413697814E-04     1.37602743826028E-05     5.68155679600207E-03     1.12065681392250E+00     4.47054372247735E-05     9.81797882599657E-03     1.30000000000000E+08
     5.38426171341550E-04     1.15911325678315E-03     1.70292626822327E-03     3.92776904859561E-05     5.68155679600207E-03     2.43026382781498E+00     9.10037105188780E-05     9.81797882599657E-03     1.40000000000000E+08
     9.62372745889605E-04     1.15911325678315E-03     3.03703210820068E-03     1.12268675083251E-04     5.68155679600207E-03     4.97221392646848E+00     1.73902289413157E-04     9.81797882599657E-03     1.50000000000000E+08
     1.63888906615135E-03     1.15911325678315E-03     5.16089161498248E-03     3.06008511992800E-04     5.68155679600207E-03     9.69613540709691E+00     3.14929825305360E-04     9.81797882599657E-03     1.60000000000000E+08
     2.67806645730886E-03     1.15911325678315E-03     8.41339566855924E-03     7.74048858074502E-04     5.68155679600207E-03     1.81472941618460E+01     5.44594658843675E-04     9.81797882599657E-03     1.70000000000000E+08
     4.22439451380974E-03     1.15911325678315E-03     1.32306229217221E-02     1.80331591159167E-03     5.68155679600207E-03     3.27464513633518E+01     9.04799035391139E-04     9.81797882599657E-03     1.80000000000000E+08
     6.46642806760696E-03     1.15911325678315E-03     2.01612277373849E-02     3.87987328500290E-03     5.68155679600207E-03     5.71429139143587E+01     1.45159762888498E-03     9.81797882599657E-03     1.90000000000000E+08
     9.65130627665252E-03     1.15911325678315E-03     2.98826498020323E-02     7.76123882219697E-03     5.68155679600207E-03     9.66355433893718E+01     2.25835460424046E-03     9.81797882599657E-03     2.00000000000000E+08
     1.41067188127706E-02     1.15911325678315E-03     4.32187719755331E-02     1.45470307340212E-02     5.68155679600207E-03     1.58649392287916E+02     3.41943317190913E-03     9.81797882599657E-03     2.10000000000000E+08
     2.02732080189759E-02     1.15911325678315E-03     6.11604424456686E-02     2.57393315456079E-02     5.68155679600207E-03     2.53249730295855E+02     5.05470001485968E-03     9.81797882599657E-03     2.20000000000000E+08
     2.87495334466891E-02     1.15911325678315E-03     8.48914508182504E-02     4.32853858461751E-02     5.68155679600207E-03     3.93671086818184E+02     7.31536093054966E-03     9.81797882599657E-03     2.30000000000000E+08
     4.03531495768863E-02     1.15911325678315E-03     1.15824058740875E-01     6.95975845904686E-02     5.68155679600207E-03     5.96836790744399E+02     1.03919606294766E-02     9.81797882599657E-03     2.40000000000000E+08
     5.61967194394720E-02     1.15911325678315E-03     1.55649859007984E-01     1.07548496522317E-01     5.68155679600207E-03     8.83844274693861E+02     1.45257472690936E-02     9.81797882599657E-03     2.50000000000000E+08
     7.77801626964802E-02     1.15911325678315E-03     2.06413285025551E-01     1.60441418059140E-01     5.68155679600207E-03     1.28039288319758E+03     2.00249608822066E-02     9.81797882599657E-03     2.60000000000000E+08
