               Y_p             Y_he4             Y_c12             Y_c13             Y_n13             Y_n14             Y_n15             Y_o14             Y_o15             E_nuc              Time
     6.99464358479800E-01     7.00000000016524E-02     1.17661731480827E-03     4.38453326290059E-07     5.10686105360757E-04     2.75813278765231E-07     8.65022544555324E-15     1.19816113314581E-05     7.01885810964772E-10     1.03902002823879E+15     2.00000000000000E+00
     6.99071034016082E-01     7.00000000439464E-02     8.14566731687741E-04     1.11557883402631E-06     8.40794154342295E-04     1.69100417085889E-06     1.11275531781491E-13     4.18235262810832E-05     9.00457272035305E-09     1.86767292790085E+15     4.00000000000000E+00
     6.98776820292223E-01     7.00000002821707E-02     5.64022051079847E-04     1.66904705071857E-06     1.04714574043903E-03     4.52487985718907E-06     4.63540462422205E-13     8.26008128300501E-05     3.74682796232278E-08     2.55049134161285E+15     6.00000000000000E+00
     6.98552044620715E-01     7.00000010209839E-02     3.90593353229983E-04     2.04928634866607E-06     1.16891204380217E-03     8.74030632353181E-06     1.22969155868274E-12     1.29605678335009E-04     9.93307309504760E-08     3.13065992716794E+15     8.00000000000000E+00
     6.98376218998991E-01     7.00000027106136E-02     2.70520793559191E-04     2.28385527166072E-06     1.23311125848647E-03     1.42231454360249E-05     2.56200077787870E-12     1.79654087815555E-04     2.06856869097046E-07     3.63765921398423E+15     1.00000000000000E+01
     6.98235150690378E-01     7.00000059333549E-02     1.87377080672122E-04     2.41085379210447E-06     1.25838042736062E-03     2.08506113364634E-05     4.59668300504816E-12     2.30610008139833E-04     3.71014102174116E-07     4.09182226058265E+15     1.20000000000000E+01
     6.98118983437278E-01     7.00000113888855E-02     1.29798790118348E-04     2.46248098587974E-06     1.25757044849085E-03     2.85086213855071E-05     7.45433436115297E-12     2.81058142125826E-04     6.01509439256537E-07     4.50725709770142E+15     1.40000000000000E+01
     6.98020856190402E-01     7.00000198805840E-02     8.99225136992928E-05     2.46278031309861E-06     1.23953482249325E-03     3.70945371139266E-05     1.12413733434408E-11     3.30078428914406E-04     9.06906224656452E-07     4.89379553574518E+15     1.60000000000000E+01
     6.97935979994318E-01     7.00000323032195E-02     6.23053827467207E-05     2.42889263379230E-06     1.21036430810365E-03     4.65161600744874E-05     1.60515134160133E-11     3.77090497406701E-04     1.29474298313615E-06     5.25831808082011E+15     1.80000000000000E+01
     6.97861000978583E-01     7.00000496319090E-02     4.31792341503117E-05     2.37279264271139E-06     1.17423990418794E-03     5.66900988654135E-05     2.19670463476319E-11     4.21746311241256E-04     1.77163694532039E-06     5.60566312258823E+15     2.00000000000000E+01
     6.97793560125752E-01     7.00000729121581E-02     2.99349447934982E-05     2.30275974832145E-06     1.13402252543198E-03     6.75403087894349E-05     2.90599233295989E-11     4.63856060853678E-04     2.34337132316133E-06     5.93925367952007E+15     2.20000000000000E+01
     6.97731988749233E-01     7.00001032508134E-02     2.07657207158195E-05     2.22447971208805E-06     1.09166083786840E-03     7.89969406604239E-05     3.73926684507480E-11     5.03337014518170E-04     3.01496913242491E-06     6.26153044354454E+15     2.40000000000000E+01
     6.97675097731387E-01     7.00001418077927E-02     1.44202717868152E-05     2.14183320204888E-06     1.04847338937225E-03     9.09954641695417E-05     4.70191621591755E-11     5.40178237879610E-04     3.79075657057226E-06     6.57425134192769E+15     2.60000000000000E+01
     6.97622031572414E-01     7.00001897884868E-02     1.00319620831146E-05     2.05744982585811E-06     1.00534382873985E-03     1.03476001762778E-04     5.79853252813708E-11     5.74416281217692E-04     4.67441838538250E-06     6.87869893924919E+15     2.80000000000000E+01
     6.97572167283171E-01     7.00002484367551E-02     7.00053302453634E-06     1.97309421979792E-06     9.62855987297498E-04     1.16382816289869E-04     7.03297263355701E-11     6.06118451793712E-04     5.66904704485854E-06     7.17582410702696E+15     3.00000000000000E+01
     6.97525044313175E-01     7.00003190284504E-02     4.91020944087006E-06     1.88993411778532E-06     9.21387345083252E-04     1.29663909179585E-04     8.40841285933402E-11     6.35371331073125E-04     6.77718702125214E-06     7.46634559754641E+15     3.20000000000000E+01
     6.97480315964579E-01     7.00004028654243E-02     3.47299127640835E-06     1.80872614986366E-06     8.81173691983346E-04     1.43270697903994E-04     9.92739887004832E-11     6.62272918277275E-04     8.00087513512250E-06     7.75081909351729E+15     3.40000000000000E+01
     6.97437715681000E-01     7.00005012699716E-02     2.48937835669487E-06     1.72994451016649E-06     8.42353853227490E-04     1.57157750611856E-04     1.15918915380026E-10     6.86927279729461E-04     9.34167764541512E-06     8.02968512688220E+15     3.60000000000000E+01
     6.97397033641755E-01     7.00006155796799E-02     1.82116975608264E-06     1.65386999575600E-06     8.05000609586661E-04     1.71282562421370E-04     1.34033094403050E-10     7.09440929620438E-04     1.08007245865970E-05     8.30330235826071E+15     3.80000000000000E+01
     6.97358100498538E-01     7.00007471426569E-02     1.37262868486106E-06     1.58065157195035E-06     7.69142055573155E-04     1.85605362508213E-04     1.53625684379795E-10     7.29920406312715E-04     1.23787417234202E-05     8.57197071006139E+15     4.00000000000000E+01
     6.97320776051874E-01     7.00008973131071E-02     1.07743003613781E-06     1.51034894299451E-06     7.34776350397155E-04     2.00088944304407E-04     1.74701186855801E-10     7.48470671208957E-04     1.40760804091601E-05     8.83594748203334E+15     4.20000000000000E+01
