!23Ne (5/2+, 1.2+, 7/2+, 3/2+)  -> 23Na    beta-decay  USDB, with screening effects
!Exp. data are used.             Q=4.37581 MeV
! 
!Log(rhoY) Log(T) mu    dQ        Vs        e-cap-rate    nu-energy-loss  gamma-energy
!                   (MeV)    (MeV)   (MeV)       (1/s)           (MeV/s)           (MeV/s)  

   7.00  7.00   1.2197  -0.0299   0.0085  -0.17560E+01  -0.14165E+01  -0.25579E+01
   7.00  7.20   1.2185  -0.0297   0.0085  -0.17556E+01  -0.14158E+01  -0.25573E+01
   7.00  7.40   1.2168  -0.0295   0.0085  -0.17556E+01  -0.14156E+01  -0.25571E+01
   7.00  7.60   1.2154  -0.0293   0.0085  -0.17557E+01  -0.14159E+01  -0.25573E+01
   7.00  7.80   1.2145  -0.0289   0.0085  -0.17560E+01  -0.14162E+01  -0.25577E+01
   7.00  8.00   1.2139  -0.0284   0.0085  -0.17563E+01  -0.14166E+01  -0.25581E+01
   7.00  8.05   1.2138  -0.0283   0.0085  -0.17564E+01  -0.14167E+01  -0.25582E+01
   7.00  8.10   1.2137  -0.0281   0.0085  -0.17565E+01  -0.14168E+01  -0.25582E+01
   7.00  8.15   1.2136  -0.0279   0.0085  -0.17566E+01  -0.14169E+01  -0.25583E+01
   7.00  8.20   1.2135  -0.0278   0.0085  -0.17567E+01  -0.14170E+01  -0.25584E+01
   7.00  8.25   1.2134  -0.0276   0.0085  -0.17567E+01  -0.14171E+01  -0.25585E+01
   7.00  8.30   1.2132  -0.0274   0.0085  -0.17568E+01  -0.14172E+01  -0.25587E+01
   7.00  8.35   1.2130  -0.0272   0.0085  -0.17569E+01  -0.14173E+01  -0.25588E+01
   7.00  8.40   1.2127  -0.0269   0.0085  -0.17570E+01  -0.14175E+01  -0.25589E+01
   7.00  8.45   1.2123  -0.0267   0.0085  -0.17571E+01  -0.14176E+01  -0.25590E+01
   7.00  8.50   1.2119  -0.0265   0.0085  -0.17572E+01  -0.14177E+01  -0.25591E+01
   7.00  8.55   1.2113  -0.0262   0.0085  -0.17573E+01  -0.14178E+01  -0.25592E+01
   7.00  8.60   1.2106  -0.0259   0.0085  -0.17574E+01  -0.14179E+01  -0.25593E+01
   7.00  8.65   1.2097  -0.0256   0.0085  -0.17576E+01  -0.14180E+01  -0.25594E+01
   7.00  8.70   1.2085  -0.0253   0.0085  -0.17577E+01  -0.14181E+01  -0.25595E+01
   7.00  8.75   1.2071  -0.0250   0.0085  -0.17578E+01  -0.14181E+01  -0.25595E+01
   7.00  8.80   1.2053  -0.0246   0.0085  -0.17579E+01  -0.14182E+01  -0.25596E+01
   7.00  8.85   1.2030  -0.0243   0.0085  -0.17580E+01  -0.14182E+01  -0.25596E+01
   7.00  8.90   1.2001  -0.0239   0.0085  -0.17581E+01  -0.14182E+01  -0.25596E+01
   7.00  8.95   1.1965  -0.0235   0.0085  -0.17581E+01  -0.14182E+01  -0.25596E+01
   7.00  9.00   1.1919  -0.0231   0.0085  -0.17581E+01  -0.14180E+01  -0.25594E+01
   7.00  9.05   1.1861  -0.0226   0.0085  -0.17581E+01  -0.14178E+01  -0.25592E+01
   7.00  9.10   1.1789  -0.0222   0.0085  -0.17580E+01  -0.14174E+01  -0.25589E+01
   7.00  9.15   1.1697  -0.0217   0.0085  -0.17577E+01  -0.14167E+01  -0.25582E+01
   7.00  9.20   1.1582  -0.0213   0.0085  -0.17571E+01  -0.14155E+01  -0.25571E+01
   7.00  9.25   1.1436  -0.0208   0.0085  -0.17557E+01  -0.14134E+01  -0.25549E+01
   7.00  9.30   1.1252  -0.0202   0.0085  -0.17532E+01  -0.14097E+01  -0.25509E+01
   7.00  9.35   1.1021  -0.0197   0.0085  -0.17488E+01  -0.14034E+01  -0.25439E+01
