               Y_n               Y_p             Y_he4             Y_c12            Y_ne20            Y_ne23            Y_na23            Y_mg23             E_nuc              Time
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     2.13833142258302E-02     2.20966857741698E-02     0.00000000000000E+00     8.04659075318826E+14     2.00000000000000E+00
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     2.10324805554764E-02     2.24475194445236E-02     0.00000000000000E+00     1.59611619871362E+15     4.00000000000000E+00
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     2.06874029741300E-02     2.27925970258700E-02     0.00000000000000E+00     2.37458797310717E+15     6.00000000000000E+00
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     2.03479870417992E-02     2.31320129582008E-02     0.00000000000000E+00     3.14028744876820E+15     8.00000000000000E+00
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     2.00141398695754E-02     2.34658601304246E-02     0.00000000000000E+00     3.89342417685913E+15     1.00000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.96857700915942E-02     2.37942299084058E-02     0.00000000000000E+00     4.63420427259544E+15     1.20000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.93627878402138E-02     2.41172121597862E-02     0.00000000000000E+00     5.36283047121326E+15     1.40000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.90451047227282E-02     2.44348952772718E-02     0.00000000000000E+00     6.07950218077937E+15     1.60000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.87326337970518E-02     2.47473662029482E-02     0.00000000000000E+00     6.78441553682903E+15     1.80000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.84252895474638E-02     2.50547104525362E-02     0.00000000000000E+00     7.47776345703655E+15     2.00000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.81229878612017E-02     2.53570121387983E-02     0.00000000000000E+00     8.15973569412511E+15     2.20000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.78256460055950E-02     2.56543539944050E-02     0.00000000000000E+00     8.83051888736552E+15     2.40000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.75331826050718E-02     2.59468173949282E-02     0.00000000000000E+00     9.49029661458829E+15     2.60000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.72455176188752E-02     2.62344823811248E-02     0.00000000000000E+00     1.01392494423875E+16     2.80000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.69625723200352E-02     2.65174276799648E-02     0.00000000000000E+00     1.07775549734030E+16     3.00000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.66842692732435E-02     2.67957307267565E-02     0.00000000000000E+00     1.14053878965572E+16     3.20000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.64105323137163E-02     2.70694676862837E-02     0.00000000000000E+00     1.20229200345001E+16     3.40000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.61412865262300E-02     2.73387134737700E-02     0.00000000000000E+00     1.26303203909538E+16     3.60000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.58764582246236E-02     2.76035417753764E-02     0.00000000000000E+00     1.32277551968949E+16     3.80000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.56159749317057E-02     2.78640250682943E-02     0.00000000000000E+00     1.38153879559642E+16     4.00000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.53597653593398E-02     2.81202346406602E-02     0.00000000000000E+00     1.43933794893785E+16     4.20000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.51077593890000E-02     2.83722406110000E-02     0.00000000000000E+00     1.49618879798239E+16     4.40000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.48598880527031E-02     2.86201119472969E-02     0.00000000000000E+00     1.55210690144432E+16     4.60000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.46160835140138E-02     2.88639164859862E-02     0.00000000000000E+00     1.60710756276685E+16     4.80000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.43762790494456E-02     2.91037209505544E-02     0.00000000000000E+00     1.66120583431889E+16     5.00000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.41404090301630E-02     2.93395909698370E-02     0.00000000000000E+00     1.71441652152205E+16     5.20000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.39084089041725E-02     2.95715910958275E-02     0.00000000000000E+00     1.76675418687074E+16     5.40000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.36802151785907E-02     2.97997848214093E-02     0.00000000000000E+00     1.81823315393180E+16     5.60000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.34557654022203E-02     3.00242345977797E-02     0.00000000000000E+00     1.86886751127508E+16     5.80000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.32349981484590E-02     3.02450018515410E-02     0.00000000000000E+00     1.91867111632879E+16     6.00000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.30178529985903E-02     3.04621470014097E-02     0.00000000000000E+00     1.96765759914816E+16     6.20000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.28042705251876E-02     3.06757294748124E-02     0.00000000000000E+00     2.01584036616011E+16     6.40000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.25941922758051E-02     3.08858077241949E-02     0.00000000000000E+00     2.06323260384226E+16     6.60000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.23875607569802E-02     3.10924392430198E-02     0.00000000000000E+00     2.10984728233234E+16     6.80000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.21843194186072E-02     3.12956805813928E-02     0.00000000000000E+00     2.15569715895336E+16     7.00000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.19844126383992E-02     3.14955873616008E-02     0.00000000000000E+00     2.20079478171858E+16     7.20000000000000E+01
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     1.17877857066239E-02     3.16922142933761E-02     0.00000000000000E+00     2.24515249277512E+16     7.40000000000000E+01
