# Ground state spin evaluation table: spins2020
# if the ==Spin== column contain more than two values, the gs state is uncertain.
#
#==A==                      ==Z==                  ==Spin==                  ==Number=of=States==            ==Experimental==            ==Theoretical==
   76                        29                       3                              7                             s                             s  
   76                        30                       0                              1                             s                             w  
   76                        31                       2                              5                             s                             s  
   76                        32                       0                              1                             s                             w  
   76                        33                       2                              5                             s                             s  
   76                        34                       0                              1                             s                             w  
   76                        35                       1                              3                             s                             s  
   76                        36                       0                              1                             s                             w  
   76                        37                       1                              3                             s                             s  
   76                        38                       0                              1                             s                             w  
   76                        39                       1                              3                             w                             s  
   77                        27                       7/2                            8                             w                             s  
   77                        28                       9/2                            10                            w                             s  
   77                        29                       5/2                            6                             s                             s  
   77                        30                       7/2                            8                             s                             s  
   77                        31                       3/2                            4                             s                             s  
   77                        32                       7/2                            8                             s                             w  
   77                        33                       3/2                            4                             s                             w  
   77                        34                       1/2                            2                             s                             s  
   77                        35                       3/2                            4                             s                             s  
   77                        36                       5/2                            6                             s                             s  
   77                        37                       3/2                            4                             s                             s  
   77                        38                       5/2                            6                             s                             s  
   77                        39                       5/2                            6                             w                             s  
   77                        40                       3/2                            4                             w                             s  
   78                        28                       0                              1                             s                             w  
   78                        29                       6                              13                            w                             w  
   78                        30                       0                              1                             s                             w  
   78                        31                       2                              5                             s                             s  
   78                        32                       0                              1                             s                             w  
   78                        33                       2                              5                             s                             w  
   78                        34                       0                              1                             s                             w  
   78                        35                       1                              3                             s                             s  
   78                        36                       0                              1                             s                             w  
   78                        37                       0                              1                             s                             s  
   78                        38                       0                              1                             s                             w  
   78                        39                       0                              1                             w                             w  
   78                        40                       0                              1                             s                             w  
   79                        28                       5/2                            6                             w                             s  
   79                        29                       5/2                            6                             w                             w  
   79                        30                       9/2                            10                            s                             s  
   79                        31                       3/2                            4                             s                             s  
   79                        32                       1/2                            2                             w                             w  
   79                        33                       3/2                            4                             s                             w  
   79                        34                       7/2                            8                             s                             s  
   79                        35                       3/2                            4                             s                             s  
   79                        36                       1/2                            2                             s                             s  
   79                        37                       5/2                            6                             s                             s  
   79                        38                       3/2                            4                             s                             s  
   79                        39                       5/2                            6                             w                             s  
   79                        40                       5/2                            6                             w                             s  
   79                        41                       9/2                            10                            w                             s  
   80                        28                       0                              1                             s                             w  
   80                        30                       0                              1                             s                             w  
   80                        31                       6                              13                            s                             s  
   80                        32                       0                              1                             s                             w  
   80                        33                       1                              3                             s                             w  
   80                        34                       0                              1                             s                             w  
   80                        35                       1                              3                             s                             s  
   80                        36                       0                              1                             s                             w  
   80                        37                       1                              3                             s                             s  
   80                        38                       0                              1                             s                             w  
   80                        39                       4                              9                             s                             w  
   80                        40                       0                              1                             s                             w  
   80                        41                       4                              9                             w                             s  
   81                        28                       3/2                            4                             w                             s  
   81                        29                       5/2                            6                             w                             s  
   81                        31                       5/2                            6                             s                             s  
   81                        32                       9/2                            10                            w                             s  
   81                        33                       3/2                            4                             s                             w  
   81                        34                       1/2                            2                             s                             w  
   81                        35                       3/2                            4                             s                             s  
   81                        36                       7/2                            8                             s                             s  
   81                        37                       3/2                            4                             s                             s  
   81                        38                       1/2                            2                             s                             s  
   81                        39                       5/2                            6                             w                             w  
   81                        40                       3/2                            4                             w                             w  
   81                        41                       9/2                            10                            w                             s  
   81                        42                       5/2                            6                             w                             s  
   82                        28                       0                              1                             s                             w  
   82                        30                       0                              1                             s                             w  
   82                        31                       2                              5                             s                             s  
   82                        32                       0                              1                             s                             w  
   82                        33                       2                              5                             w                             w  
   82                        34                       0                              1                             s                             w  
   82                        35                       5                              11                            s                             s  
   82                        36                       0                              1                             s                             w  
   82                        37                       1                              3                             s                             s  
   82                        38                       0                              1                             s                             w  
   82                        39                       1                              3                             s                             w  
   82                        40                       0                              1                             s                             w  
   82                        41                       0                              1                             w                             w  
   82                        42                       0                              1                             s                             w  
   83                        29                       5/2                            6                             w                             s  
   83                        30                       3/2                            4                             w                             s  
   83                        31                       5/2                            6                             w                             s  
   83                        32                       5/2                            6                             w                             w  
   83                        33                       5/2                            6                             w                             s  
   83                        34                       9/2                            10                            s                             w  
   83                        35                       3/2                            4                             s                             w  
   83                        36                       9/2                            10                            s                             s  
   83                        37                       5/2                            6                             s                             s  
   83                        38                       7/2                            8                             s                             s  
   83                        39                       9/2                            10                            w                             w  
   83                        40                       1/2                            2                             w                             s  
   83                        41                       9/2                            10                            w                             s  
   83                        42                       3/2                            4                             w                             s  
   83                        43                       1/2                            2                             w                             s  
   84                        30                       0                              1                             s                             w  
   84                        31                       0                              1                             w                             s  
   84                        32                       0                              1                             s                             w  
   84                        33                       2                              5                             w                             w  
   84                        34                       0                              1                             s                             w  
   84                        35                       2                              5                             s                             w  
   84                        36                       0                              1                             s                             w  
   84                        37                       2                              5                             s                             s  
   84                        38                       0                              1                             s                             w  
   84                        39                       6                              13                            w                             w  
   84                        40                       0                              1                             s                             w  
   84                        41                       1                              3                             w                             w  
   84                        42                       0                              1                             s                             w  
   84                        43                       1                              3                             w                             s  
   85                        30                       5/2                            6                             w                             s  
   85                        31                       5/2                            6                             w                             w  
   85                        33                       5/2                            6                             w                             w  
   85                        34                       5/2                            6                             w                             w  
   85                        35                       3/2                            4                             s                             w  
   85                        36                       9/2                            10                            s                             s  
   85                        37                       5/2                            6                             s                             s  
   85                        38                       9/2                            10                            s                             s  
   85                        39                       1/2                            2                             w                             w  
   85                        40                       7/2                            8                             w                             w  
   85                        41                       9/2                            10                            w                             s  
   85                        42                       1/2                            2                             w                             w  
   85                        43                       1/2                            2                             w                             s  
   85                        44                       3/2                            4                             w                             s  
   86                        30                       0                              1                             s                             w  
   86                        32                       0                              1                             s                             w  
   86                        34                       0                              1                             s                             w  
   86                        35                       1                              3                             w                             w  
   86                        36                       0                              1                             s                             w  
   86                        37                       2                              5                             s                             s  
   86                        38                       0                              1                             s                             w  
   86                        39                       4                              9                             s                             s  
   86                        40                       0                              1                             s                             w  
   86                        41                       6                              13                            w                             w  
   86                        42                       0                              1                             s                             w  
   86                        43                       0                              1                             w                             w  
   86                        44                       0                              1                             s                             w  
   87                        31                       5/2                            6                             w                             s  
   87                        32                       5/2                            6                             w                             s  
   87                        34                       3/2                            4                             w                             w  
   87                        35                       5/2                            6                             s                             w  
   87                        36                       5/2                            6                             s                             s  
   87                        37                       3/2                            4                             s                             s  
   87                        38                       9/2                            10                            s                             s  
   87                        39                       1/2                            2                             s                             s  
   87                        40                       9/2                            10                            s                             w  
   87                        41                       1/2                            2                             w                             w  
   87                        42                       7/2                            8                             w                             s  
   87                        43                       9/2                            10                            w                             s  
   87                        44                       1/2                            2                             w                             s  
   88                        32                       0                              1                             s                             w  
   88                        34                       0                              1                             s                             w  
   88                        35                       1                              3                             w                             w  
   88                        36                       0                              1                             s                             w  
   88                        37                       2                              5                             s                             s  
   88                        38                       0                              1                             s                             w  
   88                        39                       4                              9                             s                             s  
   88                        40                       0                              1                             s                             w  
   88                        41                       8                              17                            w                             w  
   88                        42                       0                              1                             s                             w  
   88                        43                       2                              5                             w                             w  
   88                        44                       0                              1                             s                             w  
   89                        32                       3/2                            4                             w                             s  
   89                        33                       5/2                            6                             w                             s  
   89                        34                       5/2                            6                             w                             s  
   89                        36                       3/2                            4                             s                             s  
   89                        37                       3/2                            4                             s                             s  
   89                        38                       5/2                            6                             s                             s  
   89                        39                       1/2                            2                             s                             s  
   89                        40                       9/2                            10                            s                             w  
   89                        41                       9/2                            10                            w                             w  
   89                        42                       9/2                            10                            w                             w  
   89                        43                       9/2                            10                            w                             w  
   89                        44                       9/2                            10                            w                             w  
   89                        45                       9/2                            10                            w                             s  
   90                        32                       0                              1                             s                             w  
   90                        34                       0                              1                             s                             w  
   90                        36                       0                              1                             s                             w  
   90                        37                       0                              1                             s                             s  
   90                        38                       0                              1                             s                             w  
   90                        39                       2                              5                             s                             s  
   90                        40                       0                              1                             s                             w  
   90                        41                       8                              17                            s                             s  
   90                        42                       0                              1                             s                             w  
   90                        43                       8                              17                            w                             w  
   90                        44                       0                              1                             s                             w  
   90                        45                       0                              1                             w                             w  
   90                        46                       0                              1                             s                             w  
   91                        33                       5/2                            6                             w                             s  
   91                        34                       1/2                            2                             w                             s  
   91                        35                       5/2                            6                             w                             s  
   91                        36                       5/2                            6                             s                             s  
   91                        37                       3/2                            4                             s                             s  
   91                        38                       5/2                            6                             s                             s  
   91                        39                       1/2                            2                             s                             s  
   91                        40                       5/2                            6                             s                             s  
   91                        41                       9/2                            10                            s                             s  
   91                        42                       9/2                            10                            s                             w  
   91                        43                       9/2                            10                            w                             w  
   91                        44                       9/2                            10                            w                             w  
   91                        45                       9/2                            10                            w                             w  
   91                        46                       7/2                            8                             w                             s  
   92                        34                       0                              1                             s                             w  
   92                        35                       2                              5                             w                             w  
   92                        36                       0                              1                             s                             w  
   92                        37                       0                              1                             s                             s  
   92                        38                       0                              1                             s                             w  
   92                        39                       2                              5                             s                             s  
   92                        40                       0                              1                             s                             w  
   92                        41                       7                              15                            s                             s  
   92                        42                       0                              1                             s                             w  
   92                        43                       8                              17                            w                             w  
   92                        44                       0                              1                             s                             w  
   92                        45                       6                              13                            w                             w  
   92                        46                       0                              1                             s                             w  
   93                        34                       1/2                            2                             w                             s  
   93                        35                       5/2                            6                             w                             s  
   93                        36                       1/2                            2                             s                             s  
   93                        37                       5/2                            6                             s                             s  
   93                        38                       5/2                            6                             s                             s  
   93                        39                       1/2                            2                             s                             s  
   93                        40                       5/2                            6                             s                             w  
   93                        41                       9/2                            10                            s                             s  
   93                        42                       5/2                            6                             s                             w  
   93                        43                       9/2                            10                            s                             w  
   93                        44                       9/2                            10                            w                             w  
   93                        45                       9/2                            10                            w                             s  
   93                        46                       9/2                            10                            w                             w  
   93                        47                       9/2                            10                            w                             s  
   94                        34                       0                              1                             s                             w  
   94                        35                       2                              5                             w                             s  
   94                        36                       0                              1                             s                             w  
   94                        37                       3                              7                             s                             s  
   94                        38                       0                              1                             s                             w  
   94                        39                       2                              5                             s                             s  
   94                        40                       0                              1                             s                             w  
   94                        41                       6                              13                            s                             w  
   94                        42                       0                              1                             s                             w  
   94                        43                       7                              15                            s                             s  
   94                        44                       0                              1                             s                             w  
   94                        45                       4                              9                             w                             w  
   94                        46                       0                              1                             s                             w  
   94                        47                       0                              1                             w                             s  
   94                        48                       0                              1                             s                             w  
   95                        34                       3/2                            4                             w                             s  
   95                        35                       5/2                            6                             w                             s  
   95                        36                       1/2                            2                             s                             s  
   95                        37                       5/2                            6                             s                             s  
   95                        38                       1/2                            2                             s                             s  
   95                        39                       1/2                            2                             s                             s  
   95                        40                       5/2                            6                             s                             w  
   95                        41                       9/2                            10                            s                             w  
   95                        42                       5/2                            6                             s                             s  
   95                        43                       9/2                            10                            s                             s  
   95                        44                       5/2                            6                             s                             w  
   95                        45                       9/2                            10                            w                             w  
   95                        46                       9/2                            10                            w                             s  
   95                        47                       9/2                            10                            w                             w  
   95                        48                       9/2                            10                            w                             s  
   96                        36                       0                              1                             s                             w  
   96                        37                       2                              5                             s                             s  
   96                        38                       0                              1                             s                             w  
   96                        39                       0                              1                             s                             s  
   96                        40                       0                              1                             s                             w  
   96                        41                       6                              13                            s                             w  
   96                        42                       0                              1                             s                             w  
   96                        43                       7                              15                            s                             s  
   96                        44                       0                              1                             s                             w  
   96                        45                       6                              13                            s                             w  
   96                        46                       0                              1                             s                             w  
   96                        47                       8                              17                            w                             w  
   96                        48                       0                              1                             s                             w  
   97                        35                       5/2                            6                             w                             s  
   97                        36                       3/2                            4                             w                             s  
   97                        37                       3/2                            4                             s                             s  
   97                        38                       1/2                            2                             s                             s  
   97                        39                       1/2                            2                             s                             s  
   97                        40                       1/2                            2                             s                             s  
   97                        41                       9/2                            10                            s                             w  
   97                        42                       5/2                            6                             s                             s  
   97                        43                       9/2                            10                            s                             s  
   97                        44                       5/2                            6                             s                             w  
   97                        45                       9/2                            10                            s                             w  
   97                        46                       5/2                            6                             w                             s  
   97                        47                       9/2                            10                            w                             w  
   97                        48                       9/2                            10                            w                             w  
   97                        49                       9/2                            10                            w                             s  
   98                        36                       0                              1                             s                             w  
   98                        37                       0                              1                             w                             w  
   98                        38                       0                              1                             s                             w  
   98                        39                       0                              1                             s                             s  
