# Ground state spin evaluation table: spins2020
# if the ==Spin== column contain more than two values, the gs state is uncertain.
#
#==A==                      ==Z==                  ==Spin==                  ==Number=of=States==            ==Experimental==            ==Theoretical==
   26                        14                       0                              1                             s                             w  
   26                        15                       3                              7                             w                             w  
   26                        16                       0                              1                             s                             w  
   27                         8                       3/2                            4                             w                             s  
   27                         9                       5/2                            6                             w                             s  
   27                        10                       3/2                            4                             w                             w  
   27                        11                       5/2                            6                             s                             s  
   27                        12                       1/2                            2                             s                             s  
   27                        13                       5/2                            6                             s                             s  
   27                        14                       5/2                            6                             s                             w  
   27                        15                       1/2                            2                             s                             w  
   27                        16                       5/2                            6                             w                             w  
   28                         8                       0                              1                             s                             w  
   28                         9                       4                              9                             w                             w  
   28                        10                       0                              1                             s                             w  
   28                        11                       1                              3                             s                             s  
   28                        12                       0                              1                             s                             w  
   28                        13                       3                              7                             s                             s  
   28                        14                       0                              1                             s                             w  
   28                        15                       3                              7                             s                             w  
   28                        16                       0                              1                             s                             w  
   28                        17                       1                              3                             w                             s  
   29                         9                       5/2                            6                             w                             w  
   29                        10                       3/2                            4                             w                             w  
   29                        11                       3/2                            4                             s                             s  
   29                        12                       3/2                            4                             s                             s  
   29                        13                       5/2                            6                             s                             s  
   29                        14                       1/2                            2                             s                             s  
   29                        15                       1/2                            2                             s                             w  
   29                        16                       5/2                            6                             w                             s  
   29                        17                       1/2                            2                             w                             w  
   29                        18                       5/2                            6                             w                             s  
   30                        10                       0                              1                             s                             w  
   30                        11                       2                              5                             s                             s  
   30                        12                       0                              1                             s                             w  
   30                        13                       3                              7                             s                             s  
   30                        14                       0                              1                             s                             w  
   30                        15                       1                              3                             s                             s  
   30                        16                       0                              1                             s                             w  
   30                        17                       3                              7                             w                             s  
   30                        18                       0                              1                             s                             w  
   31                         9                       5/2                            6                             w                             s  
   31                        10                       3/2                            4                             w                             w  
   31                        11                       3/2                            4                             s                             s  
   31                        12                       1/2                            2                             s                             s  
   31                        13                       5/2                            6                             s                             s  
   31                        14                       3/2                            4                             s                             w  
   31                        15                       1/2                            2                             s                             s  
   31                        16                       1/2                            2                             s                             w  
   31                        17                       3/2                            4                             s                             w  
   31                        18                       5/2                            6                             s                             s  
   31                        19                       3/2                            4                             w                             s  
   32                        10                       0                              1                             s                             w  
   32                        11                       3                              7                             w                             w  
   32                        12                       0                              1                             s                             w  
   32                        13                       1                              3                             s                             s  
   32                        14                       0                              1                             s                             w  
   32                        15                       1                              3                             s                             s  
   32                        16                       0                              1                             s                             w  
   32                        17                       1                              3                             s                             w  
   32                        18                       0                              1                             s                             w  
   32                        19                       1                              3                             w                             s  
   33                        10                       7/2                            8                             w                             s  
   33                        11                       3/2                            4                             w                             w  
   33                        12                       3/2                            4                             s                             s  
   33                        13                       5/2                            6                             s                             s  
   33                        14                       3/2                            4                             s                             s  
   33                        15                       1/2                            2                             s                             w  
   33                        16                       3/2                            4                             s                             w  
   33                        17                       3/2                            4                             s                             w  
   33                        18                       1/2                            2                             s                             w  
   33                        19                       3/2                            4                             w                             s  
   33                        20                       5/2                            6                             w                             s  
   34                        10                       0                              1                             s                             w  
   34                        11                       1                              3                             s                             w  
   34                        12                       0                              1                             s                             w  
   34                        13                       4                              9                             s                             w  
   34                        14                       0                              1                             s                             w  
   34                        15                       1                              3                             s                             w  
   34                        16                       0                              1                             s                             w  
   34                        17                       0                              1                             s                             w  
   34                        18                       0                              1                             s                             w  
   34                        19                       1                              3                             w                             s  
   34                        20                       0                              1                             s                             w  
   35                        11                       3/2                            4                             w                             s  
   35                        14                       7/2                            8                             w                             s  
   35                        15                       1/2                            2                             s                             w  
   35                        16                       3/2                            4                             s                             s  
   35                        17                       3/2                            4                             s                             s  
   35                        18                       3/2                            4                             s                             w  
   35                        19                       3/2                            4                             s                             w  
   35                        20                       1/2                            2                             w                             s  
   35                        21                       7/2                            8                             w                             s  
   36                        12                       0                              1                             s                             w  
   36                        14                       0                              1                             s                             w  
   36                        15                       4                              9                             s                             w  
   36                        16                       0                              1                             s                             w  
   36                        17                       2                              5                             s                             s  
   36                        18                       0                              1                             s                             w  
   36                        19                       2                              5                             s                             s  
   36                        20                       0                              1                             s                             w  
   37                        11                       3/2                            4                             w                             s  
   37                        12                       3/2                            4                             w                             w  
   37                        13                       5/2                            6                             w                             s  
   37                        14                       5/2                            6                             w                             w  
   37                        15                       1/2                            2                             w                             w  
   37                        16                       7/2                            8                             s                             w  
   37                        17                       3/2                            4                             s                             s  
   37                        18                       3/2                            4                             s                             s  
   37                        19                       3/2                            4                             s                             s  
   37                        20                       3/2                            4                             s                             s  
   37                        21                       7/2                            8                             w                             s  
   37                        22                       1/2                            2                             w                             s  
   38                        12                       0                              1                             s                             w  
   38                        13                       0                              1                             w                             s  
   38                        14                       0                              1                             s                             w  
   38                        15                       2                              5                             w                             w  
   38                        16                       0                              1                             s                             w  
   38                        17                       2                              5                             s                             w  
   38                        18                       0                              1                             s                             w  
   38                        19                       3                              7                             s                             s  
   38                        20                       0                              1                             s                             w  
   38                        21                       2                              5                             w                             s  
   38                        22                       0                              1                             s                             w  
   39                        11                       3/2                            4                             w                             s  
   39                        12                       7/2                            8                             w                             s  
   39                        13                       5/2                            6                             w                             s  
   39                        14                       5/2                            6                             w                             w  
   39                        15                       1/2                            2                             w                             w  
   39                        16                       7/2                            8                             w                             w  
   39                        17                       3/2                            4                             s                             w  
   39                        18                       7/2                            8                             s                             s  
   39                        19                       3/2                            4                             s                             s  
   39                        20                       3/2                            4                             s                             s  
   39                        21                       7/2                            8                             w                             s  
   39                        22                       3/2                            4                             w                             s  
   39                        23                       7/2                            8                             w                             s  
   40                        12                       0                              1                             s                             w  
   40                        14                       0                              1                             s                             w  
   40                        16                       0                              1                             s                             w  
   40                        17                       2                              5                             s                             w  
   40                        18                       0                              1                             s                             w  
   40                        19                       4                              9                             s                             s  
   40                        20                       0                              1                             s                             w  
   40                        21                       4                              9                             s                             w  
   40                        22                       0                              1                             s                             w  
   40                        23                       2                              5                             w                             s  
   41                        12                       3/2                            4                             w                             s  
   41                        13                       5/2                            6                             w                             s  
