# Mass difference evaluation table: mass_excess2020 
# only ground states are tabulated 
#
#
==A==                    ==Z==            ======dm===== 
  1                        0                       8.0713181 
  1                        1                     7.288971064 
  2                        1                    13.135722895 
  3                        1                      14.9498109 
  3                        2                     14.93121888 
  3                        3                           28.67 
  4                        1                           24.62 
  4                        2                      2.42491587 
  4                        3                           25.32 
  5                        1                           32.89 
  5                        2                          11.231 
  5                        3                           11.68 
  5                        4                           37.14 
  6                        1                           41.88 
  6                        2                         17.5921 
  6                        3                      14.0868804 
  6                        4                          18.375 
  6                        5                           47.32 
  7                        1                           49.14 
  7                        2                          26.073 
  7                        3                       14.907105 
  7                        4                          15.769 
  7                        5                          27.677 
  8                        2                        31.60968 
  8                        3                         20.9458 
  8                        4                         4.94167 
  8                        5                         22.9216 
  8                        6                          35.064 
  9                        2                           40.94 
  9                        3                        24.95491 
  9                        4                        11.34845 
  9                        5                         12.4165 
  9                        6                          28.911 
 10                        2                            49.2 
 10                        3                          33.053 
 10                        4                        12.60749 
 10                        5                       12.050611 
 10                        6                        15.69867 
 10                        7                            38.8 
 11                        3                         40.7283 
 11                        4                        20.17717 
 11                        5                        8.667708 
 11                        6                         10.6494 
 11                        7                          24.366 
 11                        8                           47.74 
 12                        3                           49.01 
 12                        4                         25.0778 
 12                        5                         13.3694 
 12                        6                             0.0 
 12                        7                         17.3381 
 12                        8                          32.013 
 13                        3                           56.98 
 13                        4                          33.659 
 13                        5                         16.5619 
 13                        6                       3.1250093 
 13                        7                         5.34548 
 13                        8                          23.115 
 13                        9                           42.03 
 14                        4                           39.95 
 14                        5                          23.664 
 14                        6                        3.019893 
 14                        7                       2.8634168 
 14                        8                        8.007781 
 14                        9                           31.96 
 15                        4                           49.83 
 15                        5                          28.957 
 15                        6                          9.8731 
 15                        7                       0.1014381 
 15                        8                          2.8556 
 15                        9                          16.567 
 15                       10                           40.22 
 16                        4                           57.45 
 16                        5                          37.112 
 16                        6                          13.694 
 16                        7                          5.6839 
 16                        8                      -4.7370021 
 16                        9                          10.675 
 16                       10                          23.987 
 17                        5                           43.72 
 17                        6                          21.032 
 17                        7                            7.87 
 17                        8                      -0.8087642 
 17                        9                          1.9517 
 17                       10                         16.5005 
 17                       11                           34.72 
 18                        5                           51.79 
 18                        6                           24.92 
 18                        7                          13.113 
 18                        8                      -0.7828163 
 18                        9                          0.8731 
 18                       10                          5.3176 
 18                       11                           25.04 
 19                        5                           59.77 
 19                        6                           32.41 
 19                        7                          15.856 
 19                        8                          3.3329 
 19                        9                      -1.4874451 
 19                       10                         1.75205 
 19                       11                          12.929 
 19                       12                           31.84 
 20                        5                            69.4 
 20                        6                            37.5 
 20                        7                           21.77 
 20                        8                          3.7962 
 20                        9                       -0.017463 
 20                       10                      -7.0419322 
 20                       11                          6.8505 
 20                       12                         17.4777 
 21                        5                           78.38 
 21                        6                           45.64 
 21                        7                           25.23 
 21                        8                           8.062 
 21                        9                         -0.0476 
 21                       10                        -5.73178 
 21                       11                        -2.18486 
 21                       12                         10.9039 
 21                       13                           27.09 
 22                        6                           53.61 
 22                        7                           31.76 
 22                        8                            9.28 
 22                        9                           2.793 
 22                       10                       -8.024716 
 22                       11                        -5.18139 
 22                       12                        -0.39999 
 22                       13                            18.2 
 22                       14                           33.64 
 23                        6                           64.17 
 23                        7                           36.72 
 23                        8                           14.62 
 23                        9                            3.29 
 23                       10                        -5.15405 
 23                       11                      -9.5298535 
 23                       12                        -5.47367 
 23                       13                          6.7481 
 23                       14                           23.95 
 24                        7                           46.94 
 24                        8                            18.5 
 24                        9                            7.54 
 24                       10                         -5.9516 
 24                       11                       -8.417901 
 24                       12                      -13.933578 
 24                       13                        -0.04881 
