# Ground state spin evaluation table: nubase2020
# if the ==Spin== column contain more than two values, the gs state is uncertain.
#
#==Nuclide==                 ==Spin==                  ==Number=of=States
ge85                            3/2  5/2                       4   6  
as85                            5/2                            6  
se85                            5/2                            6  
br85                            3/2                            4  
kr85                            9/2                            10 
rb85                            5/2                            6  
sr85                            9/2                            10 
y85                             1/2                            2  
zr85                            7/2                            8  
nb85                            9/2                            10 
mo85                            1/2                            2  
tc85                            1/2                            2  
ru85                            3/2                            4  
zn86                            0                              1  
ge86                            0                              1  
as86                            1    2                         3   5  
se86                            0                              1  
br86                            1                              3  
kr86                            0                              1  
rb86                            2                              5  
sr86                            0                              1  
y86                             4                              9  
zr86                            0                              1  
nb86                            6                              13 
mo86                            0                              1  
tc86                            0                              1  
ru86                            0                              1  
ga87                            5/2                            6  
ge87                            5/2                            6  
as87                            5/2  3/2                       6   4  
se87                            3/2                            4  
br87                            5/2                            6  
kr87                            5/2                            6  
rb87                            3/2                            4  
sr87                            9/2                            10 
y87                             1/2                            2  
zr87                            9/2                            10 
nb87                            1/2                            2  
mo87                            7/2                            8  
tc87                            9/2                            10 
ru87                            1/2                            2  
ge88                            0                              1  
se88                            0                              1  
br88                            1                              3  
kr88                            0                              1  
rb88                            2                              5  
sr88                            0                              1  
y88                             4                              9  
zr88                            0                              1  
nb88                            8                              17 
mo88                            0                              1  
tc88                            2                              5  
ru88                            0                              1  
ge89                            3/2                            4  
as89                            5/2                            6  
se89                            5/2                            6  
br89                            3/2  5/2                       4   6  
kr89                            3/2                            4  
rb89                            3/2                            4  
sr89                            5/2                            6  
y89                             1/2                            2  
zr89                            9/2                            10 
nb89                            9/2                            10 
mo89                            9/2                            10 
tc89                            9/2                            10 
ru89                            9/2                            10 
rh89                            9/2                            10 
ge90                            0                              1  
se90                            0                              1  
kr90                            0                              1  
rb90                            0                              1  
sr90                            0                              1  
y90                             2                              5  
zr90                            0                              1  
nb90                            8                              17 
mo90                            0                              1  
tc90                            8                              17 
ru90                            0                              1  
rh90                            0                              1  
pd90                            0                              1  
as91                            5/2                            6  
se91                            1/2                            2  
br91                            5/2                            6  
kr91                            5/2                            6  
rb91                            3/2                            4  
sr91                            5/2                            6  
y91                             1/2                            2  
zr91                            5/2                            6  
nb91                            9/2                            10 
mo91                            9/2                            10 
tc91                            9/2                            10 
ru91                            9/2                            10 
rh91                            9/2                            10 
pd91                            7/2                            8  
se92                            0                              1  
br92                            2                              5  
kr92                            0                              1  
rb92                            0                              1  
sr92                            0                              1  
y92                             2                              5  
zr92                            0                              1  
nb92                            7                              15 
mo92                            0                              1  
tc92                            8                              17 
ru92                            0                              1  
rh92                            6                              13 
pd92                            0                              1  
se93                            1/2                            2  
br93                            5/2                            6  
kr93                            1/2                            2  
rb93                            5/2                            6  
sr93                            5/2                            6  
y93                             1/2                            2  
zr93                            5/2                            6  
nb93                            9/2                            10 
mo93                            5/2                            6  
tc93                            9/2                            10 
ru93                            9/2                            10 
rh93                            9/2                            10 
pd93                            9/2                            10 
ag93                            9/2                            10 
se94                            0                              1  
br94                            2                              5  
kr94                            0                              1  
rb94                            3                              7  
sr94                            0                              1  
y94                             2                              5  
zr94                            0                              1  
nb94                            6                              13 
mo94                            0                              1  
tc94                            7                              15 
ru94                            0                              1  
rh94                            4                              9  
pd94                            0                              1  
ag94                            0                              1  
cd94                            0                              1  
se95                            3/2                            4  
br95                            5/2                            6  
kr95                            1/2                            2  
rb95                            5/2                            6  
sr95                            1/2                            2  
y95                             1/2                            2  
zr95                            5/2                            6  
nb95                            9/2                            10 
mo95                            5/2                            6  
tc95                            9/2                            10 
ru95                            5/2                            6  
rh95                            9/2                            10 
pd95                            9/2                            10 
ag95                            9/2                            10 
cd95                            9/2                            10 
kr96                            0                              1  
rb96                            2                              5  
sr96                            0                              1  
y96                             0                              1  
zr96                            0                              1  
nb96                            6                              13 
mo96                            0                              1  
tc96                            7                              15 
ru96                            0                              1  
rh96                            6                              13 
pd96                            0                              1  
ag96                            8                              17 
cd96                            0                              1  
br97                            5/2                            6  
kr97                            3/2                            4  
rb97                            3/2                            4  
sr97                            1/2                            2  
y97                             1/2                            2  
zr97                            1/2                            2  
nb97                            9/2                            10 
mo97                            5/2                            6  
tc97                            9/2                            10 
ru97                            5/2                            6  
rh97                            9/2                            10 
pd97                            5/2                            6  
ag97                            9/2                            10 
cd97                            9/2                            10 
in97                            9/2                            10 
kr98                            0                              1  
rb98                            0                              1  
sr98                            0                              1  
y98                             0                              1  
zr98                            0                              1  
nb98                            1                              3  
mo98                            0                              1  
tc98                            6                              13 
ru98                            0                              1  
rh98                            2                              5  
pd98                            0                              1  
ag98                            6                              13 
cd98                            0                              1  
in98                            0                              1  
kr99                            5/2                            6  
rb99                            3/2                            4  
sr99                            3/2                            4  
y99                             5/2                            6  
zr99                            1/2                            2  
nb99                            9/2                            10 
mo99                            1/2                            2  
tc99                            9/2                            10 
ru99                            5/2                            6  
rh99                            1/2                            2  
pd99                            5/2                            6  
ag99                            9/2                            10 
cd99                            5/2                            6  
in99                            9/2                            10 
sn99                            9/2                            10 
kr100                           0                              1  
rb100                           4                              9  
sr100                           0                              1  
y100                            4                              9  
zr100                           0                              1  
nb100                           1                              3  
mo100                           0                              1  
tc100                           1                              3  
ru100                           0                              1  
rh100                           1                              3  
pd100                           0                              1  
ag100                           5                              11 
cd100                           0                              1  
in100                           6                              13 
sn100                           0                              1  
kr101                           5/2                            6  
rb101                           3/2                            4  
sr101                           5/2                            6  
y101                            5/2                            6  
zr101                           3/2                            4  
nb101                           5/2                            6  
mo101                           1/2                            2  
tc101                           9/2                            10 
ru101                           5/2                            6  
rh101                           1/2                            2  
pd101                           5/2                            6  
ag101                           9/2                            10 
cd101                           5/2                            6  
in101                           9/2                            10 
sn101                           7/2                            8  
rb102                           4                              9  
sr102                           0                              1  
y102                            5                              11 
zr102                           0                              1  
nb102                           4                              9  
mo102                           0                              1  
tc102                           1                              3  
ru102                           0                              1  
rh102                           2                              5  
pd102                           0                              1  
ag102                           5                              11 
cd102                           0                              1  
in102                           6                              13 
sn102                           0                              1  
rb103                           3/2                            4  
sr103                           5/2                            6  
y103                            5/2                            6  
zr103                           5/2                            6  
nb103                           5/2                            6  
mo103                           3/2                            4  
tc103                           5/2                            6  
ru103                           3/2                            4  
rh103                           1/2                            2  
pd103                           5/2                            6  
ag103                           7/2                            8  
cd103                           5/2                            6  
in103                           9/2                            10 
sn103                           5/2                            6  
sb103                           5/2                            6  
sr104                           0                              1  
y104                            0    1                         1   3  
zr104                           0                              1  
nb104                           5                              11 
mo104                           0                              1  
tc104                           3                              7  
ru104                           0                              1  
rh104                           1                              3  
pd104                           0                              1  
ag104                           5                              11 
cd104                           0                              1  
in104                           5                              11 
sn104                           0                              1  
te104                           0                              1  
sr105                           5/2                            6  
y105                            5/2                            6  
zr105                           1/2                            2  
nb105                           5/2                            6  
mo105                           5/2                            6  
tc105                           3/2                            4  
ru105                           3/2                            4  
rh105                           7/2                            8  
pd105                           5/2                            6  
ag105                           1/2                            2  
cd105                           5/2                            6  
in105                           9/2                            10 
sn105                           5/2                            6  
sb105                           5/2                            6  
te105                           7/2                            8  
sr106                           0                              1  
y106                            2                              5  
zr106                           0                              1  
nb106                           1                              3  
mo106                           0                              1  
tc106                           1    2                         3   5  
ru106                           0                              1  
rh106                           1                              3  
pd106                           0                              1  
ag106                           1                              3  
cd106                           0                              1  
in106                           7                              15 
sn106                           0                              1  
sb106                           2                              5  
te106                           0                              1  
sr107                           1/2                            2  
y107                            5/2                            6  
zr107                           5/2                            6  
nb107                           5/2                            6  
mo107                           1/2                            2  
tc107                           3/2                            4  
ru107                           5/2                            6  
rh107                           7/2                            8  
pd107                           5/2                            6  
ag107                           1/2                            2  
cd107                           5/2                            6  
in107                           9/2                            10 
sn107                           5/2                            6  
sb107                           5/2                            6  
te107                           5/2                            6  
i107                            5/2                            6  
y108                            6                              13 
zr108                           0                              1  
nb108                           2                              5  
mo108                           0                              1  
tc108                           2                              5  
ru108                           0                              1  
rh108                           1                              3  
pd108                           0                              1  
ag108                           1                              3  
cd108                           0                              1  
in108                           7                              15 
sn108                           0                              1  
sb108                           4                              9  
te108                           0                              1  
i108                            1                              3  
xe108                           0                              1  
y109                            5/2                            6  
zr109                           5/2                            6  
nb109                           3/2                            4  
mo109                           1/2                            2  
tc109                           5/2                            6  
ru109                           5/2                            6  
rh109                           7/2                            8  
pd109                           5/2                            6  
ag109                           1/2                            2  
cd109                           5/2                            6  
in109                           9/2                            10 
sn109                           5/2                            6  
sb109                           5/2                            6  
te109                           5/2                            6  
i109                            1/2  3/2                       2   4  
xe109                           7/2                            8  
zr110                           0                              1  
nb110                           5                              11 
mo110                           0                              1  
tc110                           2    3                         5   7  
ru110                           0                              1  
rh110                           1                              3  
pd110                           0                              1  
ag110                           1                              3  
cd110                           0                              1  
in110                           7                              15 
sn110                           0                              1  
sb110                           3                              7  
te110                           0                              1  
i110                            1                              3  
xe110                           0                              1  
zr111                           5/2                            6  
nb111                           3/2                            4  
mo111                           1/2                            2  
tc111                           5/2                            6  
ru111                           5/2                            6  
rh111                           7/2                            8  
pd111                           5/2                            6  
ag111                           1/2                            2  
cd111                           1/2                            2  
in111                           9/2                            10 
sn111                           7/2                            8  
sb111                           5/2                            6  
te111                           5/2                            6  
i111                            5/2                            6  
xe111                           5/2                            6  
cs111                           3/2                            4  
zr112                           0                              1  
nb112                           1                              3  
mo112                           0                              1  
tc112                           2                              5  
ru112                           0                              1  
rh112                           1                              3  
pd112                           0                              1  
ag112                           2                              5  
cd112                           0                              1  
in112                           1                              3  
sn112                           0                              1  
sb112                           3                              7  
te112                           0                              1  
i112                            1                              3  
xe112                           0                              1  
cs112                           1                              3  
zr113                           3/2                            4  
nb113                           3/2                            4  
mo113                           5/2                            6  
tc113                           5/2                            6  
ru113                           1/2                            2  
rh113                           7/2                            8  
pd113                           5/2                            6  
ag113                           1/2                            2  
cd113                           1/2                            2  
in113                           9/2                            10 
sn113                           1/2                            2  
sb113                           5/2                            6  
te113                           7/2                            8  
i113                            5/2                            6  
xe113                           5/2                            6  
cs113                           3/2                            4  
ba113                           5/2                            6  
nb114                           2                              5  
mo114                           0                              1  
tc114                           5                              11 
ru114                           0                              1  
rh114                           1                              3  
pd114                           0                              1  
ag114                           1                              3  
cd114                           0                              1  
in114                           1                              3  
sn114                           0                              1  
sb114                           3                              7  
te114                           0                              1  
i114                            1                              3  
xe114                           0                              1  
cs114                           1                              3  
ba114                           0                              1  
nb115                           3/2                            4  
mo115                           3/2                            4  
tc115                           5/2                            6  
ru115                           1/2                            2  
rh115                           7/2                            8  
pd115                           1/2                            2  
ag115                           1/2                            2  
cd115                           1/2                            2  
in115                           9/2                            10 
sn115                           1/2                            2  
sb115                           5/2                            6  
te115                           7/2                            8  
i115                            5/2                            6  
xe115                           5/2                            6  
cs115                           9/2                            10 
ba115                           5/2                            6  
nb116                           1                              3  
mo116                           0                              1  
tc116                           2                              5  
ru116                           0                              1  
rh116                           1                              3  
pd116                           0                              1  
ag116                           0                              1  
cd116                           0                              1  
in116                           1                              3  
sn116                           0                              1  
sb116                           3                              7  
te116                           0                              1  
i116                            1                              3  
xe116                           0                              1  
cs116                           1                              3  
ba116                           0                              1  
mo117                           3/2                            4  
tc117                           5/2                            6  
ru117                           3/2                            4  
rh117                           7/2                            8  
pd117                           3/2                            4  
ag117                           1/2                            2  
cd117                           1/2                            2  
in117                           9/2                            10 
sn117                           1/2                            2  
sb117                           5/2                            6  
te117                           1/2                            2  
i117                            5/2                            6  
xe117                           5/2                            6  
cs117                           9/2                            10 
ba117                           3/2                            4  
la117                           3/2                            4  
mo118                           0                              1  
tc118                           2                              5  
ru118                           0                              1  
rh118                           1                              3  
pd118                           0                              1  
ag118                           2                              5  
cd118                           0                              1  
in118                           1                              3  
sn118                           0                              1  
sb118                           1                              3  
te118                           0                              1  
i118                            2                              5  
xe118                           0                              1  
cs118                           2                              5  
ba118                           0                              1  
la118                           1                              3  
mo119                           3/2                            4  
tc119                           5/2                            6  
ru119                           3/2                            4  
rh119                           7/2                            8  
pd119                           3/2                            4  
ag119                           1/2                            2  
cd119                           1/2                            2  
in119                           9/2                            10 
sn119                           1/2                            2  
sb119                           5/2                            6  
te119                           1/2                            2  
i119                            5/2                            6  
xe119                           5/2                            6  
cs119                           9/2                            10 
ba119                           5/2                            6  
la119                           11/2                           12 
ce119                           5/2                            6  
tc120                           3                              7  
ru120                           0                              1  
rh120                           8                              17 
pd120                           0                              1  
ag120                           4                              9  
cd120                           0                              1  
in120                           1                              3  
sn120                           0                              1  
sb120                           1                              3  
te120                           0                              1  
i120                            2                              5  
xe120                           0                              1  
cs120                           2                              5  
ba120                           0                              1  
la120                           1                              3  
ce120                           0                              1  
tc121                           5/2                            6  
ru121                           3/2                            4  
rh121                           7/2                            8  
pd121                           3/2                            4  
ag121                           7/2                            8  
cd121                           3/2                            4  
in121                           9/2                            10 
sn121                           3/2                            4  
sb121                           5/2                            6  
te121                           1/2                            2  
i121                            5/2                            6  
xe121                           5/2                            6  
cs121                           3/2                            4  
ba121                           5/2                            6  
la121                           11/2                           12 
ce121                           5/2                            6  
pr121                           3/2                            4  
tc122                           1                              3  
ru122                           0                              1  
rh122                           7                              15 
pd122                           0                              1  
ag122                           3                              7  
cd122                           0                              1  
in122                           1                              3  
sn122                           0                              1  
sb122                           2                              5  
te122                           0                              1  
i122                            1                              3  
xe122                           0                              1  
cs122                           1                              3  
ba122                           0                              1  
la122                           1                              3  
ce122                           0                              1  
ru123                           3/2                            4  
rh123                           7/2                            8  
pd123                           3/2                            4  
ag123                           7/2                            8  
cd123                           3/2                            4  
in123                           9/2                            10 
sn123                           11/2                           12 
sb123                           7/2                            8  
te123                           1/2                            2  
i123                            5/2                            6  
xe123                           1/2                            2  
cs123                           1/2                            2  
ba123                           5/2                            6  
la123                           11/2                           12 
ce123                           5/2                            6  
pr123                           3/2                            4  
ru124                           0                              1  
rh124                           2                              5  
pd124                           0                              1  
ag124                           2                              5  
cd124                           0                              1  
in124                           3                              7  
sn124                           0                              1  
sb124                           3                              7  
te124                           0                              1  
i124                            2                              5  
xe124                           0                              1  
cs124                           1                              3  
ba124                           0                              1  
la124                           7    8                         15  17 
ce124                           0                              1  
nd124                           0                              1  
ru125                           3/2                            4  
rh125                           7/2                            8  
pd125                           3/2                            4  
ag125                           9/2                            10 
cd125                           3/2                            4  
in125                           9/2                            10 
sn125                           11/2                           12 
sb125                           7/2                            8  
te125                           1/2                            2  
i125                            5/2                            6  
xe125                           1/2                            2  
cs125                           1/2                            2  
ba125                           1/2                            2  
la125                           11/2                           12 
ce125                           7/2                            8  
pr125                           3/2                            4  
nd125                           5/2                            6  
rh126                           1                              3  
pd126                           0                              1  
ag126                           3                              7  
cd126                           0                              1  
in126                           3                              7  
sn126                           0                              1  
sb126                           8                              17 
te126                           0                              1  
i126                            2                              5  
xe126                           0                              1  
cs126                           1                              3  
ba126                           0                              1  
la126                           5                              11 
ce126                           0                              1  
pr126                           4    5                         9   11 
nd126                           0                              1  
rh127                           7/2                            8  
pd127                           11/2                           12 
ag127                           9/2                            10 
cd127                           3/2                            4  
in127                           9/2                            10 
sn127                           11/2                           12 
sb127                           7/2                            8  
te127                           3/2                            4  
i127                            5/2                            6  
xe127                           1/2                            2  
cs127                           1/2                            2  
ba127                           1/2                            2  
la127                           11/2                           12 
ce127                           1/2                            2  
pr127                           3/2                            4  
nd127                           5/2                            6  
pm127                           3/2                            4  
pd128                           0                              1  
ag128                           3                              7  
cd128                           0                              1  
in128                           3                              7  
sn128                           0                              1  
sb128                           8                              17 
te128                           0                              1  
i128                            1                              3  
xe128                           0                              1  
cs128                           1                              3  
ba128                           0                              1  
la128                           5                              11 
ce128                           0                              1  
pr128                           3                              7  
nd128                           0                              1  
pm128                           4                              9  
sm128                           0                              1  
pd129                           7/2                            8  
ag129                           9/2                            10 
cd129                           11/2                           12 
in129                           9/2                            10 
