# AME Table file name: mass16.txt
N                   Z                   Ebind(MeV)/Nucleon
1                   0                   0.00000000000000000e+00
0                   1                   0.00000000000000000e+00
1                   1                   1.11228299999999991e+00
2                   1                   2.82726499999999970e+00
1                   2                   2.57267999999999963e+00
0                   3                   -2.26699999999999990e+00
3                   1                   1.72044900000000012e+00
2                   2                   7.07391500000000040e+00
1                   3                   1.15375999999999990e+00
4                   1                   1.33635899999999985e+00
3                   2                   5.51213199999999937e+00
2                   3                   5.26613199999999981e+00
1                   4                   1.79999999999999986e-02
5                   1                   9.61639000000000022e-01
4                   2                   4.87851899999999983e+00
3                   3                   5.33233099999999993e+00
2                   4                   4.48724699999999999e+00
1                   5                   -4.67000000000000026e-01
6                   1                   9.39999999999999947e-01
5                   2                   4.12305700000000019e+00
4                   3                   5.60643899999999995e+00
3                   4                   5.37154799999999977e+00
2                   5                   3.55870499999999979e+00
6                   2                   3.92451999999999979e+00
5                   3                   5.15971200000000074e+00
4                   4                   7.06243500000000068e+00
3                   5                   4.71715499999999999e+00
2                   6                   3.10152399999999995e+00
7                   2                   3.34903699999999960e+00
6                   3                   5.03776799999999980e+00
5                   4                   6.46266799999999986e+00
4                   5                   6.25706999999999969e+00
3                   6                   4.33742299999999936e+00
8                   2                   2.99513400000000019e+00
7                   3                   4.53135099999999991e+00
6                   4                   6.49763000000000002e+00
5                   5                   6.47508299999999970e+00
4                   6                   6.03204200000000057e+00
3                   7                   3.64367200000000002e+00
8                   3                   4.15538100000000021e+00
7                   4                   5.95253999999999994e+00
6                   5                   6.92773199999999978e+00
5                   6                   6.67645599999999995e+00
4                   7                   5.36404600000000009e+00
9                   3                   3.79159999999999986e+00
8                   4                   5.72072199999999942e+00
7                   5                   6.63122300000000031e+00
6                   6                   7.68014400000000030e+00
5                   7                   6.17010900000000007e+00
4                   8                   4.89020200000000038e+00
10                  3                   3.50763000000000025e+00
9                   4                   5.24143500000000007e+00
8                   5                   6.49641899999999950e+00
7                   6                   7.46984899999999996e+00
6                   7                   7.23886300000000027e+00
5                   8                   5.81176300000000001e+00
10                  4                   4.99389699999999959e+00
9                   5                   6.10164400000000029e+00
8                   6                   7.52031900000000064e+00
7                   7                   7.47561399999999932e+00
6                   8                   7.05227800000000027e+00
5                   9                   5.28520799999999991e+00
11                  4                   4.54097000000000062e+00
10                  5                   5.87998499999999957e+00
9                   6                   7.10016900000000017e+00
8                   7                   7.69946000000000019e+00
7                   8                   7.46369199999999999e+00
6                   9                   6.49745900000000010e+00
5                   10                  4.86872799999999994e+00
12                  4                   4.28528500000000001e+00
11                  5                   5.50730199999999925e+00
10                  6                   6.92205400000000015e+00
9                   7                   7.37379600000000046e+00
8                   8                   7.97620600000000035e+00
7                   9                   6.96373100000000012e+00
6                   10                  6.08317700000000006e+00
12                  5                   5.26966700000000010e+00
11                  6                   6.55802400000000052e+00
10                  7                   7.28622900000000051e+00
9                   8                   7.75072800000000051e+00
8                   9                   7.54232800000000037e+00
7                   10                  6.64049900000000015e+00
6                   11                  5.49608000000000008e+00
13                  5                   4.97663000000000011e+00
12                  6                   6.42613100000000070e+00
11                  7                   7.03856199999999976e+00
10                  8                   7.76709699999999970e+00
9                   9                   7.63163799999999970e+00
8                   10                  7.34125699999999970e+00
7                   11                  6.20221699999999920e+00
14                  5                   4.71963400000000011e+00
13                  6                   6.11827300000000029e+00
12                  7                   6.94854299999999991e+00
11                  8                   7.56649499999999975e+00
10                  9                   7.77901799999999977e+00
9                   10                  7.56734300000000015e+00
8                   11                  6.93788500000000052e+00
7                   12                  5.90202500000000008e+00
15                  5                   4.45300000000000029e+00
14                  6                   5.96143500000000071e+00
13                  7                   6.70917100000000044e+00
12                  8                   7.56856999999999935e+00
11                  9                   7.72013399999999983e+00
10                  10                  8.03223999999999982e+00
9                   11                  7.29849600000000009e+00
8                   12                  6.72802499999999970e+00
16                  5                   4.20300000000000029e+00
15                  6                   5.67400000000000038e+00
14                  7                   6.60901500000000031e+00
13                  8                   7.38937400000000011e+00
12                  9                   7.73829299999999964e+00
11                  10                  7.97171299999999938e+00
10                  11                  7.76554699999999976e+00
9                   12                  7.10503100000000032e+00
8                   13                  6.30199999999999960e+00
16                  6                   5.42107700000000037e+00
15                  7                   6.37853399999999926e+00
14                  8                   7.36487099999999995e+00
13                  9                   7.62429500000000004e+00
12                  10                  8.08046500000000023e+00
11                  11                  7.91566700000000001e+00
10                  12                  7.66276100000000060e+00
9                   13                  6.78200000000000003e+00
8                   14                  6.05799999999999983e+00
17                  6                   5.07699999999999996e+00
16                  7                   6.23667100000000030e+00
15                  8                   7.16348499999999966e+00
14                  9                   7.62234400000000001e+00
13                  10                  7.95525600000000033e+00
12                  11                  8.11149300000000117e+00
11                  12                  7.90111499999999989e+00
10                  13                  7.33572699999999944e+00
9                   14                  6.56500000000000039e+00
17                  7                   5.88699999999999957e+00
16                  8                   7.03968500000000041e+00
15                  9                   7.46358200000000060e+00
14                  10                  7.99332499999999957e+00
