# AME Table file name: mass16.txt
N                   Z                   Ebind(MeV)/Nucleon
13                  11                  8.06348799999999954e+00
12                  12                  8.26070900000000030e+00
11                  13                  7.64958200000000055e+00
10                  14                  7.16723200000000027e+00
9                   15                  6.19399999999999995e+00
18                  7                   5.61300000000000043e+00
17                  8                   6.72780500000000004e+00
16                  9                   7.33630599999999955e+00
15                  10                  7.83979900000000018e+00
14                  11                  8.10139700000000040e+00
13                  12                  8.22350199999999987e+00
12                  13                  8.02113600000000027e+00
11                  14                  7.48010999999999981e+00
10                  15                  6.81200000000000028e+00
18                  8                   6.49747800000000009e+00
17                  9                   7.08323999999999998e+00
16                  10                  7.75190999999999963e+00
15                  11                  8.00420100000000012e+00
14                  12                  8.33387000000000100e+00
13                  13                  8.14976500000000037e+00
12                  14                  7.92470799999999986e+00
11                  15                  7.19800000000000040e+00
10                  16                  6.54800000000000004e+00
19                  8                   6.18499999999999961e+00
18                  9                   6.86793199999999970e+00
17                  10                  7.52041399999999971e+00
16                  11                  7.95694600000000030e+00
15                  12                  8.26385199999999998e+00
14                  13                  8.33155299999999954e+00
13                  14                  8.12434100000000115e+00
12                  15                  7.66343800000000019e+00
11                  16                  6.97700000000000031e+00
20                  8                   5.98800000000000043e+00
19                  9                   6.61479200000000045e+00
18                  10                  7.38834599999999941e+00
17                  11                  7.79926399999999997e+00
16                  12                  8.27241300000000024e+00
15                  13                  8.30989399999999989e+00
14                  14                  8.44774400000000014e+00
13                  15                  7.90747900000000037e+00
12                  16                  7.47879000000000005e+00
11                  17                  6.61399999999999988e+00
20                  9                   6.44403099999999984e+00
19                  10                  7.16706700000000030e+00
18                  11                  7.68215100000000017e+00
17                  12                  8.11320199999999936e+00
16                  13                  8.34846399999999988e+00
15                  14                  8.44863499999999945e+00
14                  15                  8.25123600000000046e+00
13                  16                  7.74852000000000007e+00
12                  17                  7.15883200000000031e+00
21                  9                   6.23299999999999965e+00
20                  10                  7.03453100000000031e+00
19                  11                  7.50196799999999975e+00
18                  12                  8.05450599999999994e+00
17                  13                  8.26112800000000114e+00
16                  14                  8.52065400000000039e+00
15                  15                  8.35350599999999943e+00
14                  16                  8.12270700000000012e+00
13                  17                  7.48000000000000043e+00
12                  18                  6.90420400000000001e+00
22                  9                   6.03300000000000036e+00
21                  10                  6.81308999999999987e+00
20                  11                  7.39867699999999928e+00
19                  12                  7.86918800000000029e+00
18                  13                  8.22551699999999997e+00
17                  14                  8.45829099999999912e+00
16                  15                  8.48116699999999923e+00
15                  16                  8.28179999999999872e+00
14                  17                  7.86920899999999968e+00
13                  18                  7.25199999999999978e+00
22                  10                  6.67100000000000026e+00
21                  11                  7.21988099999999999e+00
20                  12                  7.80384000000000011e+00
19                  13                  8.10034399999999977e+00
18                  14                  8.48146800000000134e+00
17                  15                  8.46412000000000120e+00
16                  16                  8.49312900000000148e+00
15                  17                  8.07240400000000058e+00
14                  18                  7.70000799999999952e+00
13                  19                  6.94700000000000006e+00
23                  10                  6.44000000000000039e+00
22                  11                  7.08992600000000017e+00
21                  12                  7.63645499999999977e+00
20                  13                  8.02061600000000041e+00
19                  14                  8.36105899999999913e+00
18                  15                  8.51380600000000065e+00
17                  16                  8.49762999999999913e+00
16                  17                  8.30475499999999833e+00
15                  18                  7.92895500000000020e+00
14                  19                  7.40700000000000003e+00
24                  10                  6.28699999999999992e+00
23                  11                  6.88643699999999992e+00
22                  12                  7.55039000000000016e+00
21                  13                  7.86042799999999975e+00
20                  14                  8.33614099999999958e+00
19                  15                  8.44818499999999872e+00
18                  16                  8.58349799999999874e+00
17                  17                  8.39896999999999849e+00
16                  18                  8.19767200000000074e+00
15                  19                  7.66999999999999993e+00
14                  20                  7.20399999999999974e+00
24                  11                  6.73299999999999965e+00
23                  12                  7.35623300000000047e+00
22                  13                  7.78712399999999949e+00
21                  14                  8.16956300000000013e+00
20                  15                  8.44624899999999990e+00
19                  16                  8.53785000000000061e+00
18                  17                  8.52027800000000113e+00
17                  18                  8.32746099999999956e+00
16                  19                  7.96584000000000003e+00
15                  20                  7.48700000000000010e+00
25                  11                  6.54600000000000026e+00
24                  12                  7.24441899999999972e+00
23                  13                  7.62351500000000026e+00
22                  14                  8.11251900000000070e+00
21                  15                  8.30786800000000092e+00
20                  16                  8.57538899999999948e+00
19                  17                  8.52193100000000037e+00
18                  18                  8.51990900000000018e+00
17                  19                  8.14221900000000076e+00
16                  20                  7.81587899999999980e+00
15                  21                  7.18900000000000006e+00
26                  11                  6.39200000000000035e+00
25                  12                  7.05511100000000013e+00
24                  13                  7.53131499999999932e+00
23                  14                  7.95290300000000006e+00
22                  15                  8.26755499999999977e+00
21                  16                  8.45993499999999976e+00
20                  17                  8.57028100000000137e+00
19                  18                  8.52713900000000002e+00
18                  19                  8.33984699999999890e+00
17                  20                  8.00345599999999990e+00
16                  21                  7.53200000000000003e+00
26                  12                  6.92799999999999994e+00
25                  13                  7.37709700000000002e+00
24                  14                  7.89282899999999987e+00
23                  15                  8.14727399999999946e+00
22                  16                  8.44878199999999957e+00
21                  17                  8.50548099999999963e+00
20                  18                  8.61428000000000083e+00
19                  19                  8.43805800000000161e+00
18                  20                  8.24004300000000001e+00
17                  21                  7.75100000000000033e+00
16                  22                  7.33199999999999985e+00
27                  12                  6.74699999999999989e+00
26                  13                  7.28099999999999969e+00
25                  14                  7.73097900000000049e+00
24                  15                  8.09796900000000086e+00
23                  16                  8.34426900000000060e+00
22                  17                  8.49440200000000090e+00
21                  18                  8.56259799999999949e+00
20                  19                  8.55702499999999944e+00
19                  20                  8.36966999999999928e+00
18                  21                  8.01345599999999969e+00
17                  22                  7.57399999999999984e+00
28                  12                  6.62800000000000011e+00
27                  13                  7.12699999999999978e+00
26                  14                  7.66175400000000018e+00
25                  15                  7.98079600000000067e+00
24                  16                  8.32932500000000076e+00
23                  17                  8.42776499999999906e+00
22                  18                  8.59525900000000043e+00
21                  19                  8.53809000000000040e+00
20                  20                  8.55130300000000076e+00
19                  21                  8.17366900000000030e+00
18                  22                  7.86228600000000011e+00
17                  23                  7.31700000000000017e+00
28                  13                  7.00800000000000001e+00
27                  14                  7.50857300000000016e+00
26                  15                  7.90655100000000033e+00
25                  16                  8.22963500000000003e+00
24                  17                  8.41295900000000074e+00
23                  18                  8.53437199999999940e+00
22                  19                  8.57607199999999992e+00
21                  20                  8.54670600000000036e+00
20                  21                  8.36919800000000080e+00
19                  22                  8.03438799999999986e+00
18                  23                  7.62500000000000000e+00
29                  13                  6.87399999999999967e+00
28                  14                  7.41800000000000015e+00
27                  15                  7.76786599999999972e+00
26                  16                  8.19322700000000026e+00
25                  17                  8.34588600000000014e+00
24                  18                  8.55561299999999925e+00
23                  19                  8.55125599999999864e+00
22                  20                  8.61656299999999931e+00
21                  21                  8.44493300000000069e+00
20                  22                  8.25924700000000023e+00
19                  23                  7.82399999999999984e+00
18                  24                  7.46400000000000041e+00
30                  13                  6.74099999999999966e+00
29                  14                  7.27899999999999991e+00
28                  15                  7.68957200000000007e+00
27                  16                  8.06382699999999986e+00
26                  17                  8.32386600000000065e+00
25                  18                  8.48823699999999981e+00
24                  19                  8.57621999999999929e+00
23                  20                  8.60066300000000084e+00
22                  21                  8.53082500000000010e+00
21                  22                  8.35293200000000091e+00
20                  23                  8.06951199999999957e+00
19                  24                  7.67999999999999972e+00
30                  14                  7.17400000000000038e+00
29                  15                  7.56700000000000017e+00
28                  16                  7.99601500000000076e+00
27                  17                  8.23233199999999954e+00
26                  18                  8.49384000000000050e+00
25                  19                  8.54670099999999877e+00
24                  20                  8.65817499999999995e+00
23                  21                  8.55737900000000096e+00
22                  22                  8.53352000000000110e+00
21                  23                  8.21046299999999896e+00
20                  24                  7.94800000000000040e+00
19                  25                  7.46699999999999964e+00
31                  14                  6.99500000000000011e+00
30                  15                  7.46400000000000041e+00
29                  16                  7.88180700000000023e+00
28                  17                  8.18159799999999926e+00
27                  18                  8.41995199999999855e+00
26                  19                  8.55467400000000033e+00
25                  20                  8.63054499999999969e+00
24                  21                  8.61893099999999990e+00
23                  22                  8.55572199999999938e+00
22                  23                  8.38002900000000039e+00
21                  24                  8.08772800000000025e+00
20                  25                  7.75300000000000011e+00
19                  26                  7.31299999999999972e+00
31                  15                  7.31700000000000017e+00
30                  16                  7.79199999999999982e+00
29                  17                  8.08347999999999978e+00
28                  18                  8.41241899999999987e+00
27                  19                  8.51804199999999945e+00
26                  20                  8.66897900000000021e+00
25                  21                  8.62201199999999979e+00
24                  22                  8.65645099999999879e+00
23                  23                  8.48612999999999928e+00
22                  24                  8.30382299999999951e+00
21                  25                  7.91899999999999959e+00
20                  26                  7.60899999999999999e+00
32                  15                  7.19000000000000039e+00
31                  16                  7.64799999999999969e+00
30                  17                  7.99600000000000044e+00
29                  18                  8.31140399999999957e+00
28                  19                  8.51487900000000053e+00
27                  20                  8.63934899999999928e+00
26                  21                  8.66508999999999929e+00
25                  22                  8.66122700000000023e+00
24                  23                  8.58222500000000110e+00
23                  24                  8.40719499999999975e+00
22                  25                  8.13531099999999974e+00
21                  26                  7.78500000000000014e+00
20                  27                  7.40099999999999980e+00
32                  16                  7.54499999999999993e+00
31                  17                  7.88300000000000001e+00
30                  18                  8.24213199999999979e+00
29                  19                  8.43423199999999973e+00
28                  20                  8.66668600000000033e+00
27                  21                  8.65620399999999890e+00
26                  22                  8.72300599999999982e+00
25                  23                  8.62306099999999986e+00
24                  24                  8.57226900000000036e+00
23                  25                  8.27418499999999923e+00
22                  26                  8.02299999999999969e+00
21                  27                  7.59999999999999964e+00
20                  28                  7.26499999999999968e+00
33                  16                  7.38499999999999979e+00
32                  17                  7.78099999999999969e+00
31                  18                  8.13499999999999979e+00
30                  19                  8.37227399999999911e+00
29                  20                  8.59484399999999837e+00
28                  21                  8.68625600000000020e+00
27                  22                  8.71115700000000004e+00
26                  23                  8.68290799999999940e+00
25                  24                  8.61329099999999848e+00
24                  25                  8.43992899999999935e+00
23                  26                  8.16131099999999954e+00
22                  27                  7.84199999999999964e+00
21                  28                  7.45699999999999985e+00
33                  17                  7.65099999999999980e+00
32                  18                  8.05599999999999916e+00
31                  19                  8.28858199999999989e+00
30                  20                  8.55016300000000129e+00
29                  21                  8.63367900000000077e+00
28                  22                  8.75571799999999989e+00
27                  23                  8.69591799999999893e+00
26                  24                  8.70103199999999966e+00
25                  25                  8.53269599999999961e+00
24                  26                  8.35402599999999929e+00
23                  27                  8.00099999999999945e+00
22                  28                  7.71600000000000019e+00
34                  17                  7.53000000000000025e+00
33                  18                  7.92600000000000016e+00
32                  19                  8.22134900000000002e+00
31                  20                  8.47691299999999970e+00
30                  21                  8.59679599999999944e+00
29                  22                  8.70898799999999973e+00
28                  23                  8.74209899999999962e+00
27                  24                  8.71200499999999955e+00
26                  25                  8.63377200000000045e+00
25                  26                  8.46075899999999947e+00
24                  27                  8.19325400000000137e+00
23                  28                  7.87500000000000000e+00
34                  18                  7.82500000000000018e+00
33                  19                  8.11502899999999983e+00
32                  20                  8.42938099999999935e+00
31                  21                  8.53312500000000007e+00
30                  22                  8.69166699999999892e+00
29                  23                  8.71458200000000005e+00
28                  24                  8.77598899999999915e+00
27                  25                  8.67032899999999884e+00
26                  26                  8.60957400000000028e+00
25                  27                  8.32588600000000056e+00
24                  28                  8.07900000000000063e+00
23                  29                  7.67900000000000027e+00
35                  18                  7.67699999999999960e+00
34                  19                  8.02284799999999976e+00
33                  20                  8.33057699999999990e+00
32                  21                  8.49542100000000033e+00
31                  22                  8.63017400000000023e+00
30                  23                  8.71012999999999948e+00
29                  24                  8.76019800000000082e+00
28                  25                  8.73417499999999869e+00
27                  26                  8.64879900000000035e+00
26                  27                  8.47765799999999992e+00
25                  28                  8.21707400000000021e+00
24                  29                  7.89400000000000013e+00
35                  19                  7.88900000000000023e+00
34                  20                  8.24749599999999994e+00
33                  21                  8.39468100000000028e+00
32                  22                  8.59743499999999905e+00
31                  23                  8.66204299999999883e+00
30                  24                  8.77795500000000040e+00
29                  25                  8.73796500000000087e+00
28                  26                  8.73638199999999898e+00
27                  27                  8.56921700000000008e+00
26                  28                  8.39303199999999983e+00
25                  29                  8.04800000000000004e+00
24                  30                  7.75300000000000011e+00
36                  19                  7.78800000000000026e+00
35                  20                  8.11999999999999922e+00
34                  21                  8.32095499999999966e+00
33                  22                  8.51597999999999900e+00
32                  23                  8.63769199999999948e+00
31                  24                  8.73192400000000113e+00
30                  25                  8.76502200000000009e+00
29                  26                  8.74659499999999923e+00
28                  27                  8.66961799999999982e+00
27                  28                  8.49732000000000021e+00
26                  29                  8.23399599999999943e+00
25                  30                  7.90899999999999981e+00
37                  19                  7.66399999999999970e+00
36                  20                  8.03999999999999915e+00
35                  21                  8.22172799999999881e+00
34                  22                  8.46611000000000047e+00
33                  23                  8.57419100000000078e+00
32                  24                  8.72325799999999951e+00
31                  25                  8.73833300000000079e+00
30                  26                  8.79035399999999889e+00
29                  27                  8.69483599999999868e+00
28                  28                  8.64277900000000088e+00
27                  29                  8.35622700000000052e+00
26                  30                  8.10599999999999987e+00
25                  31                  7.69899999999999984e+00
37                  20                  7.91699999999999982e+00
36                  21                  8.15143300000000082e+00
35                  22                  8.36437000000000097e+00
34                  23                  8.53481699999999854e+00
33                  24                  8.66339400000000026e+00
32                  25                  8.73671299999999995e+00
31                  26                  8.77027900000000038e+00
30                  27                  8.74188200000000037e+00
29                  28                  8.67093300000000156e+00
28                  29                  8.50326200000000121e+00
27                  30                  8.23099999999999987e+00
26                  31                  7.90899999999999981e+00
38                  20                  7.83499999999999996e+00
37                  21                  8.04499999999999993e+00
36                  22                  8.31099999999999994e+00
35                  23                  8.45765799999999857e+00
34                  24                  8.64399799999999985e+00
33                  25                  8.69664299999999990e+00
32                  26                  8.79224999999999923e+00
31                  27                  8.73896899999999910e+00
30                  28                  8.73205899999999957e+00
29                  29                  8.57096700000000133e+00
28                  30                  8.39594400000000007e+00
27                  31                  8.05899999999999928e+00
26                  32                  7.76199999999999957e+00
38                  21                  7.96699999999999964e+00
37                  22                  8.21199999999999974e+00
36                  23                  8.40755500000000033e+00
35                  24                  8.56808700000000023e+00
34                  25                  8.68092099999999967e+00
33                  26                  8.75477099999999986e+00
32                  27                  8.76803499999999936e+00
31                  28                  8.73658799999999935e+00
30                  29                  8.64199999999999946e+00
29                  30                  8.47377700000000011e+00
28                  31                  8.23199999999999932e+00
27                  32                  7.91600000000000037e+00
39                  21                  7.86500000000000021e+00
38                  22                  8.15700000000000003e+00
37                  23                  8.32545000000000002e+00
36                  24                  8.53620500000000071e+00
35                  25                  8.62813800000000164e+00
34                  26                  8.75585099999999983e+00
33                  27                  8.74676599999999915e+00
32                  28                  8.78077399999999919e+00
31                  29                  8.66560200000000158e+00
30                  30                  8.58305000000000007e+00
29                  31                  8.32699999999999996e+00
28                  32                  8.10599999999999987e+00
27                  33                  7.73200000000000021e+00
40                  21                  7.78699999999999992e+00
39                  22                  8.05700000000000038e+00
38                  23                  8.27643899999999988e+00
37                  24                  8.45982400000000112e+00
36                  25                  8.59891500000000164e+00
35                  26                  8.70376800000000017e+00
34                  27                  8.75614799999999960e+00
33                  28                  8.76502499999999962e+00
32                  29                  8.71551399999999887e+00
31                  30                  8.61030899999999910e+00
30                  31                  8.44643100000000047e+00
29                  32                  8.20800000000000018e+00
28                  33                  7.92499999999999982e+00
40                  22                  7.99500000000000011e+00
39                  23                  8.19200000000000017e+00
38                  24                  8.42806899999999892e+00
37                  25                  8.53849899999999984e+00
36                  26                  8.69288199999999911e+00
35                  27                  8.72133200000000031e+00
34                  28                  8.79455300000000051e+00
33                  29                  8.71808099999999975e+00
32                  30                  8.67934300000000114e+00
31                  31                  8.51864199999999983e+00
30                  32                  8.34099999999999930e+00
29                  33                  8.04700000000000060e+00
41                  22                  7.88900000000000023e+00
40                  23                  8.13299999999999912e+00
39                  24                  8.34482799999999969e+00
38                  25                  8.50510099999999980e+00
37                  26                  8.63154900000000147e+00
36                  27                  8.71779500000000063e+00
35                  28                  8.76349300000000042e+00
34                  29                  8.75213800000000042e+00
33                  30                  8.68628499999999981e+00
32                  31                  8.58392599999999995e+00
31                  32                  8.41871599999999987e+00
30                  33                  8.19299999999999962e+00
42                  22                  7.81799999999999962e+00
41                  23                  8.04499999999999993e+00
40                  24                  8.30105800000000116e+00
39                  25                  8.43741699999999994e+00
38                  26                  8.61238800000000104e+00
37                  27                  8.67552000000000056e+00
36                  28                  8.77746099999999885e+00
35                  29                  8.73907500000000148e+00
34                  30                  8.73590500000000070e+00
33                  31                  8.61163099999999915e+00
32                  32                  8.52882300000000093e+00
31                  33                  8.28599999999999959e+00
30                  34                  8.07300000000000040e+00
42                  23                  7.97599999999999998e+00
41                  24                  8.21700000000000053e+00
40                  25                  8.40068100000000051e+00
39                  26                  8.54634599999999978e+00
38                  27                  8.65688399999999980e+00
37                  28                  8.73624000000000045e+00
36                  29                  8.75709599999999888e+00
35                  30                  8.72426499999999905e+00
34                  31                  8.66216000000000008e+00
33                  32                  8.55505800000000072e+00
32                  33                  8.39623399999999975e+00
31                  34                  8.16999999999999993e+00
43                  23                  7.88400000000000034e+00
42                  24                  8.16099999999999959e+00
41                  25                  8.33179800000000093e+00
40                  26                  8.52172400000000074e+00
39                  27                  8.60594100000000140e+00
38                  28                  8.73950799999999894e+00
37                  29                  8.73147200000000012e+00
36                  30                  8.75963199999999986e+00
35                  31                  8.66936100000000032e+00
34                  32                  8.62543699999999980e+00
33                  33                  8.46840300000000035e+00
32                  34                  8.30000000000000071e+00
44                  23                  7.81200000000000028e+00
43                  24                  8.07000000000000028e+00
42                  25                  8.27899999999999991e+00
41                  26                  8.44846899999999934e+00
40                  27                  8.58174099999999918e+00
39                  28                  8.69575000000000031e+00
38                  29                  8.73745800000000017e+00
37                  30                  8.73415199999999992e+00
36                  31                  8.70753100000000124e+00
35                  32                  8.63285699999999956e+00
34                  33                  8.53056799999999882e+00
33                  34                  8.36953399999999981e+00
32                  35                  8.15199999999999925e+00
44                  24                  8.01299999999999990e+00
43                  25                  8.20100000000000051e+00
42                  26                  8.41169799999999945e+00
41                  27                  8.52436600000000055e+00
40                  28                  8.68246599999999980e+00
39                  29                  8.70188999999999879e+00
38                  30                  8.75567999999999991e+00
37                  31                  8.70121800000000079e+00
36                  32                  8.68813600000000008e+00
35                  33                  8.55774500000000060e+00
34                  34                  8.47704700000000066e+00
33                  35                  8.23900000000000077e+00
45                  24                  7.92400000000000038e+00
44                  25                  8.14700000000000024e+00
43                  26                  8.34200000000000053e+00
42                  27                  8.49386499999999955e+00
41                  28                  8.62309899999999985e+00
40                  29                  8.69520400000000038e+00
39                  30                  8.72272899999999929e+00
38                  31                  8.72457900000000031e+00
37                  32                  8.68096300000000021e+00
36                  33                  8.61182099999999906e+00
35                  34                  8.50370700000000035e+00
34                  35                  8.34490199999999938e+00
33                  36                  8.13299999999999912e+00
46                  24                  7.86699999999999999e+00
45                  25                  8.07000000000000028e+00
44                  26                  8.30199999999999960e+00
43                  27                  8.43599999999999994e+00
42                  28                  8.60429099999999991e+00
41                  29                  8.64686500000000002e+00
40                  30                  8.72980800000000023e+00
39                  31                  8.70928000000000146e+00
38                  32                  8.72170000000000023e+00
37                  33                  8.62166599999999939e+00
36                  34                  8.57603299999999891e+00
35                  35                  8.41479600000000083e+00
34                  36                  8.25600000000000023e+00
46                  25                  8.01500000000000057e+00
45                  26                  8.22700000000000031e+00
44                  27                  8.39873400000000103e+00
43                  28                  8.54315600000000153e+00
42                  29                  8.63502200000000109e+00
41                  30                  8.68904099999999957e+00
40                  31                  8.71760399999999969e+00
39                  32                  8.70330899999999907e+00
38                  33                  8.66393200000000085e+00
37                  34                  8.58605999999999980e+00
36                  35                  8.48146199999999872e+00
35                  36                  8.32712999999999859e+00
34                  37                  8.11500000000000021e+00
47                  25                  7.93700000000000028e+00
46                  26                  8.18399999999999928e+00
45                  27                  8.33600000000000030e+00
44                  28                  8.52021099999999976e+00
43                  29                  8.58652499999999996e+00
42                  30                  8.69180500000000045e+00
41                  31                  8.68708900000000028e+00
40                  32                  8.73174500000000009e+00
39                  33                  8.66037800000000146e+00
38                  34                  8.64448900000000009e+00
37                  35                  8.51131200000000021e+00
36                  36                  8.42931899999999956e+00
35                  37                  8.20199999999999996e+00
47                  26                  8.10599999999999987e+00
