 neg. daughter mg21 z=12 n= 9 a=21 Q= 10.9120
  5.00 11.0 23.399  -8.661   3.702    4.605 -19.627 -26.790  -19.541
 10.00 11.0 23.322  -4.871   3.737    4.666  -8.805 -13.382   -8.448
 30.00 11.0 22.504  -0.175   4.041    5.186  -0.914  -2.567   -0.191
100.00 11.0 14.012   1.828   5.285    6.946   2.264   3.982    5.639
       end	   
 neg. daughter na25 z=11 n=14 a=25 Q= -9.3570
 pos. daughter ne25 z=10 n=15 a=25 Q= -2.1500
              +++++++++na25 -->ne25 +++++++++---------ne25 -->na25 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003 -99.999 -99.999  -99.999   0.074 -99.999    0.632
  0.10  1.0 -0.058 -99.999 -99.999  -99.999   0.074 -53.610    0.632
  0.20  1.0 -0.134 -99.999 -99.999  -99.999   0.074 -26.755    0.632
  0.40  1.0 -0.306 -99.999 -99.999  -99.999   0.074 -12.799    0.632
  0.70  1.0 -0.503 -78.243 -60.361  -61.095   0.074  -7.040    0.632
  1.00  1.0 -0.511 -55.291 -43.299  -43.875   0.074  -5.574    0.632
  1.50  1.0 -0.511 -37.449 -29.823  -30.217   0.074  -4.352    0.632
  2.00  1.0 -0.511 -28.533 -22.968  -23.232   0.074  -3.656    0.633
  3.00  1.0 -0.511 -19.621 -15.945  -16.023   0.075  -2.832    0.635
  5.00  1.0 -0.511 -12.487 -10.021   -9.857   0.150  -1.933    0.754
 10.00  1.0 -0.511  -6.881  -4.603   -4.105   1.056  -0.444    1.821
 30.00  1.0 -0.511  -1.136   0.804    1.852   2.051   2.250    3.631
100.00  1.0 -0.511   0.880   4.461    6.093   2.348   5.009    6.678
  0.01  2.0 -0.001 -99.999 -99.999  -99.999   0.074 -99.999    0.632
  0.10  2.0 -0.038 -99.999 -99.999  -99.999   0.074 -54.612    0.632
  0.20  2.0 -0.095 -99.999 -99.999  -99.999   0.074 -27.756    0.632
  0.40  2.0 -0.227 -99.999 -99.216  -99.999   0.074 -13.799    0.632
  0.70  2.0 -0.446 -78.243 -59.948  -60.682   0.074  -7.453    0.632
  1.00  2.0 -0.506 -55.291 -43.278  -43.854   0.074  -5.595    0.632
  1.50  2.0 -0.511 -37.449 -29.821  -30.216   0.074  -4.353    0.632
  2.00  2.0 -0.511 -28.533 -22.968  -23.232   0.074  -3.657    0.633
  3.00  2.0 -0.511 -19.621 -15.945  -16.023   0.075  -2.832    0.635
  5.00  2.0 -0.511 -12.487 -10.021   -9.857   0.150  -1.933    0.754
 10.00  2.0 -0.511  -6.881  -4.603   -4.105   1.056  -0.444    1.821
 30.00  2.0 -0.511  -1.136   0.804    1.852   2.051   2.250    3.631
100.00  2.0 -0.511   0.880   4.461    6.093   2.348   5.009    6.678
  0.01  3.0  0.003 -99.999 -99.999  -99.999   0.074 -99.999    0.632
  0.10  3.0 -0.018 -99.999 -99.999  -99.999   0.074 -55.629    0.632
  0.20  3.0 -0.055 -99.999 -99.999  -99.999   0.074 -28.762    0.632
  0.40  3.0 -0.147 -99.999 -98.213  -99.194   0.074 -14.802    0.632
  0.70  3.0 -0.314 -78.243 -58.999  -59.733   0.074  -8.402    0.632
  1.00  3.0 -0.465 -55.291 -43.072  -43.648   0.074  -5.801    0.632
  1.50  3.0 -0.506 -37.449 -29.807  -30.201   0.074  -4.367    0.632
  2.00  3.0 -0.510 -28.533 -22.964  -23.229   0.074  -3.660    0.633
  3.00  3.0 -0.511 -19.621 -15.945  -16.023   0.075  -2.833    0.635
  5.00  3.0 -0.511 -12.487 -10.021   -9.857   0.150  -1.933    0.754
 10.00  3.0 -0.511  -6.881  -4.603   -4.105   1.056  -0.444    1.821
 30.00  3.0 -0.511  -1.136   0.804    1.852   2.051   2.250    3.631
100.00  3.0 -0.511   0.880   4.461    6.093   2.348   5.009    6.678
  0.01  4.0  0.012 -99.999 -99.999  -99.999   0.074 -99.999    0.632
  0.10  4.0  0.005 -99.999 -99.999  -99.999   0.074 -56.785    0.632
  0.20  4.0 -0.013 -99.999 -99.999  -99.999   0.074 -29.816    0.632
  0.40  4.0 -0.067 -99.999 -97.195  -98.176   0.074 -15.820    0.632
  0.70  4.0 -0.174 -78.243 -57.993  -58.727   0.074  -9.408    0.632
  1.00  4.0 -0.302 -55.291 -42.250  -42.826   0.074  -6.623    0.632
  1.50  4.0 -0.464 -37.449 -29.665  -30.059   0.074  -4.509    0.632
  2.00  4.0 -0.497 -28.533 -22.933  -23.197   0.074  -3.691    0.633
  3.00  4.0 -0.507 -19.620 -15.939  -16.017   0.075  -2.838    0.635
  5.00  4.0 -0.510 -12.487 -10.020   -9.856   0.150  -1.934    0.754
 10.00  4.0 -0.511  -6.881  -4.603   -4.105   1.056  -0.444    1.821
 30.00  4.0 -0.511  -1.136   0.804    1.852   2.051   2.250    3.631
100.00  4.0 -0.511   0.880   4.461    6.093   2.348   5.009    6.678
  0.01  5.0  0.053 -99.999 -99.999  -99.999   0.074 -99.999    0.632
  0.10  5.0  0.052 -99.999 -99.999  -99.999   0.074 -59.129    0.632
  0.20  5.0  0.047 -99.999 -99.999  -99.999   0.074 -31.323    0.632
  0.40  5.0  0.026 -99.999 -96.027  -97.008   0.074 -16.988    0.632
  0.70  5.0 -0.026 -78.243 -56.926  -57.660   0.074 -10.475    0.632
  1.00  5.0 -0.098 -55.291 -41.218  -41.794   0.074  -7.654    0.632
  1.50  5.0 -0.246 -37.449 -28.932  -29.326   0.074  -5.241    0.632
  2.00  5.0 -0.383 -28.532 -22.644  -22.909   0.074  -3.977    0.632
  3.00  5.0 -0.476 -19.620 -15.886  -15.964   0.075  -2.890    0.635
  5.00  5.0 -0.502 -12.486 -10.012   -9.848   0.150  -1.942    0.754
 10.00  5.0 -0.509  -6.881  -4.602   -4.104   1.056  -0.445    1.821
 30.00  5.0 -0.511  -1.136   0.804    1.852   2.051   2.250    3.631
100.00  5.0 -0.511   0.880   4.461    6.093   2.348   5.009    6.678
  0.01  6.0  0.215 -99.999 -99.999  -99.999   0.072 -99.999    0.629
  0.10  6.0  0.214 -99.999 -99.999  -99.999   0.072 -67.319    0.629
  0.20  6.0  0.213 -99.999 -99.999  -99.999   0.072 -35.508    0.629
  0.40  6.0  0.206 -99.999 -93.754  -94.735   0.073 -19.261    0.629
  0.70  6.0  0.189 -78.243 -55.377  -56.111   0.073 -12.024    0.630
  1.00  6.0  0.161 -55.291 -39.915  -40.491   0.073  -8.958    0.630
  1.50  6.0  0.093 -37.449 -27.794  -28.188   0.073  -6.379    0.630
  2.00  6.0  0.001 -28.532 -21.678  -21.942   0.073  -4.942    0.630
  3.00  6.0 -0.212 -19.618 -15.443  -15.521   0.074  -3.326    0.633
  5.00  6.0 -0.420 -12.483  -9.929   -9.765   0.150  -2.021    0.752
 10.00  6.0 -0.491  -6.880  -4.593   -4.095   1.056  -0.453    1.820
 30.00  6.0 -0.509  -1.136   0.804    1.853   2.051   2.250    3.630
100.00  6.0 -0.511   0.880   4.461    6.093   2.348   5.009    6.678
  0.01  7.0  0.711 -99.999 -99.999  -99.999   0.058 -99.999    0.606
  0.10  7.0  0.711 -99.999 -99.999  -99.999   0.060 -92.378    0.609
  0.20  7.0  0.711 -99.999 -99.999  -99.999   0.060 -48.050    0.609
  0.40  7.0  0.708 -99.999 -87.431  -88.412   0.060 -25.584    0.610
  0.70  7.0  0.701 -78.243 -51.694  -52.428   0.061 -15.707    0.610
  1.00  7.0  0.689 -55.291 -37.252  -37.828   0.061 -11.621    0.610
  1.50  7.0  0.662 -37.449 -25.883  -26.277   0.061  -8.290    0.611
  2.00  7.0  0.622 -28.532 -20.112  -20.376   0.061  -6.507    0.611
  3.00  7.0  0.510 -19.617 -14.229  -14.307   0.063  -4.536    0.615
  5.00  7.0  0.187 -12.472  -9.317   -9.155   0.143  -2.619    0.737
 10.00  7.0 -0.315  -6.872  -4.504   -4.007   1.054  -0.537    1.813
 30.00  7.0 -0.490  -1.136   0.807    1.856   2.050   2.247    3.628
100.00  7.0 -0.509   0.880   4.462    6.093   2.348   5.009    6.678
  0.01  8.0  1.936 -99.999 -99.999  -99.999  -0.034 -99.999    0.467
  0.10  8.0  1.936 -99.999 -99.999  -99.999  -0.034 -99.999    0.468
  0.20  8.0  1.935 -99.999 -99.999  -99.999  -0.032 -78.904    0.470
  0.40  8.0  1.934 -99.999 -71.983  -72.965  -0.032 -41.030    0.471
  0.70  8.0  1.931 -78.243 -42.837  -43.572  -0.031 -24.563    0.472
  1.00  8.0  1.925 -55.291 -31.021  -31.598  -0.031 -17.850    0.473
  1.50  8.0  1.913 -37.449 -21.679  -22.074  -0.030 -12.493    0.474
  2.00  8.0  1.895 -28.532 -16.905  -17.169  -0.029  -9.714    0.477
  3.00  8.0  1.844 -19.616 -11.989  -12.067  -0.024  -6.776    0.485
  5.00  8.0  1.681 -12.468  -7.812   -7.651   0.073  -4.120    0.639
 10.00  8.0  0.982  -6.841  -3.853   -3.358   1.034  -1.173    1.765
 30.00  8.0 -0.302  -1.132   0.839    1.887   2.047   2.217    3.601
100.00  8.0 -0.492   0.881   4.462    6.094   2.348   5.008    6.677
  0.01  9.0  4.671 -99.999 -99.999  -99.999  -0.711 -99.999   -0.478
  0.10  9.0  4.671 -99.999 -99.999  -99.999  -0.711 -99.999   -0.478
  0.20  9.0  4.671 -99.999 -70.443  -71.727  -0.711 -99.999   -0.479
  0.40  9.0  4.671 -99.999 -37.594  -38.575  -0.711 -75.508   -0.479
  0.70  9.0  4.665 -78.243 -23.236  -23.971  -0.709 -44.254   -0.474
  1.00  9.0  4.665 -55.291 -17.303  -17.880  -0.707 -31.660   -0.471
  1.50  9.0  4.660 -37.449 -12.538  -12.932  -0.702 -21.725   -0.460
  2.00  9.0  4.650 -28.532 -10.049  -10.307  -0.692 -16.657   -0.443
  3.00  9.0  4.625 -19.616  -7.388   -7.453  -0.665 -11.448   -0.392
  5.00  9.0  4.551 -12.468  -4.959   -4.786  -0.409  -7.013    0.046
 10.00  9.0  4.197  -6.831  -2.247   -1.760   0.852  -2.787    1.505
 30.00  9.0  1.461  -1.104   1.132    2.179   1.999   1.932    3.357
100.00  9.0 -0.324   0.884   4.471    6.102   2.345   5.000    6.669
  0.01 10.0 10.608 -99.999  -1.099   -1.004 -99.999 -99.999  -99.999
  0.10 10.0 10.608 -99.999  -1.098   -1.004 -99.999 -99.999  -99.999
  0.20 10.0 10.608 -99.999  -1.082   -0.970 -91.325 -99.999  -92.588
  0.40 10.0 10.608 -99.999  -0.929   -0.695 -46.922 -99.999  -47.648
  0.70 10.0 10.608 -78.243  -0.731   -0.413 -27.137 -87.043  -27.713
  1.00 10.0 10.603 -55.291  -0.630   -0.286 -19.104 -61.586  -19.582
  1.50 10.0 10.603 -37.449  -0.538   -0.176 -12.743 -41.693  -13.091
  2.00 10.0 10.598 -28.532  -0.478   -0.112  -9.458 -31.646   -9.701
  3.00 10.0 10.588 -19.616  -0.361   -0.002  -6.026 -21.466   -6.114
  5.00 10.0 10.552 -12.468  -0.047    0.299  -3.075 -13.062   -2.966
 10.00 10.0 10.389  -6.831   0.747    1.252  -0.627  -5.908   -0.262
 30.00 10.0  8.651  -1.074   2.304    3.351   1.479   0.736    2.388
100.00 10.0  1.351   0.911   4.553    6.185   2.314   4.918    6.586
  0.01 11.0 23.419 -99.999   3.979    4.978 -99.999 -99.999  -99.999
  0.10 11.0 23.424 -99.999   3.980    4.980 -99.999 -99.999  -99.999
  0.20 11.0 23.419 -99.999   3.979    4.979 -99.999 -99.999  -99.999
  0.40 11.0 23.419 -99.999   3.979    4.979 -99.999 -99.999  -99.999
  0.70 11.0 23.424 -78.243   3.981    4.982 -99.999 -99.999  -99.999
  1.00 11.0 23.419 -55.291   3.982    4.983 -83.429 -99.999  -84.023
  1.50 11.0 23.419 -37.449   3.983    4.985 -55.641 -84.754  -56.063
  2.00 11.0 23.419 -28.532   3.984    4.986 -41.638 -63.955  -41.939
  3.00 11.0 23.414 -19.616   3.986    4.989 -27.482 -43.014  -27.613
  5.00 11.0 23.399 -12.468   3.991    4.998 -15.950 -26.012  -15.876
 10.00 11.0 23.322  -6.831   4.008    5.032  -7.063 -12.426   -6.733
 30.00 11.0 22.504  -1.072   4.187    5.357  -0.661  -1.591    0.145
100.00 11.0 14.012   1.027   5.161    6.805   1.957   4.288    5.953
       end	   
 neg. daughter si26 z=14 n=12 a=26 Q= -7.1431
 pos. daughter al26 z=13 n=13 a=26 Q=-12.2076
              +++++++++si26 -->al26 +++++++++---------al26 -->si26 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003  -0.444  -5.741   -0.137 -99.999 -99.999  -99.999
  0.10  1.0 -0.058  -0.444  -6.230   -0.137 -99.999 -99.999  -99.999
  0.20  1.0 -0.134  -0.444  -6.356   -0.137 -99.999 -99.999  -99.999
  0.40  1.0 -0.306  -0.444  -6.464   -0.137 -80.131 -65.831  -66.808
  0.70  1.0 -0.503  -0.444  -5.892   -0.137 -48.171 -37.975  -38.704
  1.00  1.0 -0.511  -0.444  -4.606   -0.137 -35.380 -27.607  -28.176
  1.50  1.0 -0.511  -0.444  -3.454   -0.136 -25.399 -19.411  -19.795
  2.00  1.0 -0.511  -0.444  -2.794   -0.133 -20.375 -15.200  -15.451
  3.00  1.0 -0.511  -0.445  -2.001   -0.111 -15.228 -10.826  -10.887
  5.00  1.0 -0.511  -0.449  -1.126    0.057  -9.736  -7.037   -6.852
 10.00  1.0 -0.511  -0.293  -0.049    0.923  -4.959  -3.575   -3.030
 30.00  1.0 -0.511   1.739   2.317    3.615  -1.535   0.714    1.797
100.00  1.0 -0.511   2.579   5.255    6.942  -0.347   4.380    5.990
  0.01  2.0 -0.001  -0.444  -4.761   -0.137 -99.999 -99.999  -99.999
  0.10  2.0 -0.038  -0.444  -5.230   -0.137 -99.999 -99.999  -99.999
  0.20  2.0 -0.095  -0.444  -5.356   -0.137 -99.999 -99.999  -99.999
  0.40  2.0 -0.227  -0.444  -5.464   -0.137 -80.131 -66.830  -67.808
  0.70  2.0 -0.446  -0.444  -5.479   -0.137 -48.171 -38.388  -39.117
  1.00  2.0 -0.506  -0.444  -4.584   -0.137 -35.380 -27.629  -28.197
  1.50  2.0 -0.511  -0.444  -3.452   -0.136 -25.399 -19.412  -19.796
  2.00  2.0 -0.511  -0.444  -2.793   -0.133 -20.375 -15.200  -15.451
  3.00  2.0 -0.511  -0.445  -2.001   -0.111 -15.228 -10.826  -10.887
  5.00  2.0 -0.511  -0.449  -1.126    0.057  -9.736  -7.037   -6.852
 10.00  2.0 -0.511  -0.293  -0.049    0.923  -4.959  -3.575   -3.030
 30.00  2.0 -0.511   1.739   2.317    3.615  -1.535   0.714    1.797
100.00  2.0 -0.511   2.579   5.255    6.942  -0.347   4.380    5.990
  0.01  3.0  0.003  -0.444  -3.860   -0.136 -99.999 -99.999  -99.999
  0.10  3.0 -0.018  -0.444  -4.235   -0.137 -99.999 -99.999  -99.999
  0.20  3.0 -0.055  -0.444  -4.358   -0.137 -99.999 -99.999  -99.999
  0.40  3.0 -0.147  -0.444  -4.464   -0.137 -80.131 -67.833  -68.811
  0.70  3.0 -0.314  -0.444  -4.531   -0.137 -48.171 -39.336  -40.065
  1.00  3.0 -0.465  -0.444  -4.379   -0.137 -35.380 -27.835  -28.404
  1.50  3.0 -0.506  -0.444  -3.438   -0.136 -25.399 -19.427  -19.811
  2.00  3.0 -0.510  -0.444  -2.790   -0.133 -20.375 -15.203  -15.455
  3.00  3.0 -0.511  -0.445  -2.000   -0.111 -15.228 -10.826  -10.887
  5.00  3.0 -0.511  -0.449  -1.126    0.057  -9.736  -7.038   -6.852
 10.00  3.0 -0.511  -0.293  -0.049    0.923  -4.959  -3.575   -3.030
 30.00  3.0 -0.511   1.739   2.317    3.615  -1.535   0.714    1.797
100.00  3.0 -0.511   2.579   5.255    6.942  -0.347   4.380    5.990
  0.01  4.0  0.012  -0.444  -3.190   -0.135 -99.999 -99.999  -99.999
  0.10  4.0  0.005  -0.444  -3.287   -0.135 -99.999 -99.999  -99.999
  0.20  4.0 -0.013  -0.444  -3.375   -0.136 -99.999 -99.999  -99.999
  0.40  4.0 -0.067  -0.444  -3.469   -0.136 -80.133 -68.851  -69.829
  0.70  4.0 -0.174  -0.444  -3.533   -0.136 -48.173 -40.342  -41.072
  1.00  4.0 -0.302  -0.444  -3.561   -0.136 -35.381 -28.657  -29.225
  1.50  4.0 -0.464  -0.444  -3.297   -0.135 -25.400 -19.569  -19.953
  2.00  4.0 -0.497  -0.444  -2.759   -0.132 -20.376 -15.235  -15.486
  3.00  4.0 -0.507  -0.445  -1.995   -0.110 -15.228 -10.832  -10.893
  5.00  4.0 -0.510  -0.449  -1.125    0.057  -9.736  -7.038   -6.853
 10.00  4.0 -0.511  -0.293  -0.049    0.923  -4.959  -3.575   -3.030
 30.00  4.0 -0.511   1.739   2.317    3.615  -1.535   0.714    1.797
100.00  4.0 -0.511   2.579   5.255    6.942  -0.347   4.380    5.990
  0.01  5.0  0.053  -0.444  -2.447   -0.127 -99.999 -99.999  -99.999
  0.10  5.0  0.052  -0.444  -2.453   -0.128 -99.999 -99.999  -99.999
  0.20  5.0  0.047  -0.444  -2.466   -0.128 -99.999 -99.999  -99.999
  0.40  5.0  0.026  -0.444  -2.507   -0.129 -80.151 -70.019  -70.997
  0.70  5.0 -0.026  -0.444  -2.546   -0.129 -48.188 -41.409  -42.138
  1.00  5.0 -0.098  -0.444  -2.569   -0.130 -35.394 -29.688  -30.257
  1.50  5.0 -0.246  -0.444  -2.580   -0.130 -25.408 -20.302  -20.686
  2.00  5.0 -0.383  -0.444  -2.477   -0.128 -20.380 -15.523  -15.775
  3.00  5.0 -0.476  -0.445  -1.943   -0.106 -15.230 -10.885  -10.946
  5.00  5.0 -0.502  -0.449  -1.117    0.060  -9.736  -7.047   -6.861
 10.00  5.0 -0.509  -0.292  -0.048    0.924  -4.959  -3.576   -3.031
 30.00  5.0 -0.511   1.739   2.317    3.615  -1.535   0.714    1.797
100.00  5.0 -0.511   2.579   5.255    6.942  -0.347   4.380    5.990
  0.01  6.0  0.215  -0.444  -1.592   -0.073 -99.999 -99.999  -99.999
  0.10  6.0  0.214  -0.444  -1.592   -0.073 -99.999 -99.999  -99.999
  0.20  6.0  0.213  -0.444  -1.591   -0.073 -99.999 -99.999  -99.999
  0.40  6.0  0.206  -0.444  -1.593   -0.073 -80.279 -72.292  -73.270
  0.70  6.0  0.189  -0.444  -1.594   -0.073 -48.307 -42.959  -43.688
  1.00  6.0  0.161  -0.444  -1.597   -0.073 -35.501 -30.991  -31.560
  1.50  6.0  0.093  -0.444  -1.596   -0.072 -25.492 -21.440  -21.824
  2.00  6.0  0.001  -0.444  -1.592   -0.070 -20.442 -16.490  -16.741
  3.00  6.0 -0.212  -0.444  -1.526   -0.057 -15.254 -11.328  -11.389
  5.00  6.0 -0.420  -0.447  -1.039    0.092  -9.738  -7.130   -6.944
 10.00  6.0 -0.491  -0.292  -0.039    0.931  -4.959  -3.585   -3.039
 30.00  6.0 -0.509   1.739   2.317    3.616  -1.535   0.713    1.797
100.00  6.0 -0.511   2.579   5.255    6.942  -0.347   4.380    5.989
  0.01  7.0  0.711  -0.444  -0.600    0.287 -99.999 -99.999  -99.999
  0.10  7.0  0.711  -0.444  -0.600    0.287 -99.999 -99.999  -99.999
  0.20  7.0  0.711  -0.444  -0.600    0.287 -99.999 -99.999  -99.999
  0.40  7.0  0.708  -0.444  -0.599    0.288 -81.752 -78.615  -79.592
  0.70  7.0  0.701  -0.444  -0.597    0.290 -49.579 -46.642  -47.370
  1.00  7.0  0.689  -0.444  -0.595    0.293 -36.483 -33.654  -34.222
  1.50  7.0  0.662  -0.444  -0.588    0.300 -26.222 -23.351  -23.735
  2.00  7.0  0.622  -0.444  -0.579    0.309 -21.001 -18.056  -18.307
  3.00  7.0  0.510  -0.444  -0.558    0.332 -15.504 -12.542  -12.602
  5.00  7.0  0.187  -0.442  -0.487    0.411  -9.762  -7.741   -7.551
 10.00  7.0 -0.315  -0.287   0.045    1.001  -4.967  -3.673   -3.126
 30.00  7.0 -0.490   1.739   2.320    3.618  -1.536   0.710    1.794
100.00  7.0 -0.509   2.579   5.255    6.942  -0.347   4.380    5.989
  0.01  8.0  1.936  -0.444   0.527    1.300 -99.999 -99.999  -99.999
  0.10  8.0  1.936  -0.444   0.527    1.300 -99.999 -99.999  -99.999
  0.20  8.0  1.935  -0.444   0.527    1.300 -99.999 -99.999  -99.999
  0.40  8.0  1.934  -0.444   0.527    1.301 -96.024 -94.061  -95.035
  0.70  8.0  1.931  -0.444   0.528    1.302 -57.629 -55.497  -56.224
  1.00  8.0  1.925  -0.444   0.530    1.304 -42.170 -39.884  -40.451
  1.50  8.0  1.913  -0.444   0.533    1.309 -29.899 -27.554  -27.937
  2.00  8.0  1.895  -0.444   0.537    1.316 -23.552 -21.262  -21.511
  3.00  8.0  1.844  -0.443   0.549    1.334 -16.216 -14.782  -14.813
  5.00  8.0  1.681  -0.440   0.574    1.382  -9.983  -9.247   -8.975
 10.00  8.0  0.982  -0.270   0.631    1.542  -5.073  -4.327   -3.748
 30.00  8.0 -0.302   1.742   2.351    3.646  -1.545   0.679    1.763
100.00  8.0 -0.492   2.579   5.256    6.943  -0.347   4.379    5.989
  0.01  9.0  4.671  -0.444   1.795    2.689 -99.999 -99.999  -99.999
  0.10  9.0  4.671  -0.444   1.795    2.689 -99.999 -99.999  -99.999
  0.20  9.0  4.671  -0.444   1.795    2.689 -99.999 -99.999  -99.999
  0.40  9.0  4.671  -0.444   1.795    2.690 -99.999 -99.999  -99.999
  0.70  9.0  4.665  -0.444   1.794    2.689 -74.272 -75.188  -74.973
  1.00  9.0  4.665  -0.444   1.796    2.691 -52.809 -53.694  -53.356
  1.50  9.0  4.660  -0.444   1.797    2.693 -35.956 -36.786  -36.326
  2.00  9.0  4.650  -0.444   1.798    2.695 -27.432 -28.206  -27.673
  3.00  9.0  4.625  -0.443   1.803    2.702 -18.792 -19.453  -18.847
  5.00  9.0  4.551  -0.440   1.810    2.718 -11.695 -12.140  -11.491
 10.00  9.0  4.197  -0.265   1.792    2.739  -5.955  -5.947   -5.248
 30.00  9.0  1.461   1.759   2.632    3.911  -1.655   0.386    1.469
100.00  9.0 -0.324   2.582   5.264    6.951  -0.351   4.371    5.980
  0.01 10.0 10.608  -0.444   3.341    4.366 -99.999 -99.999  -99.999
  0.10 10.0 10.608  -0.444   3.342    4.366 -99.999 -99.999  -99.999
  0.20 10.0 10.608  -0.444   3.342    4.366 -99.999 -99.999  -99.999
  0.40 10.0 10.608  -0.444   3.342    4.366 -99.999 -99.999  -99.999
  0.70 10.0 10.608  -0.444   3.342    4.367 -99.999 -99.999  -99.999
  1.00 10.0 10.603  -0.444   3.342    4.366 -82.735 -83.620  -83.282
  1.50 10.0 10.603  -0.444   3.343    4.368 -55.923 -56.754  -56.293
  2.00 10.0 10.598  -0.444   3.343    4.368 -42.416 -43.195  -42.660
  3.00 10.0 10.588  -0.443   3.345    4.371 -28.798 -29.472  -28.860
  5.00 10.0 10.552  -0.440   3.344    4.372 -17.713 -18.189  -17.528
 10.00 10.0 10.389  -0.265   3.302    4.335  -8.990  -9.067   -8.348
 30.00 10.0  8.651   1.777   3.678    4.952  -2.534  -0.818    0.265
100.00 10.0  1.351   2.605   5.346    7.034  -0.390   4.288    5.896
  0.01 11.0 23.419  -0.444   5.073    6.353 -99.999 -99.999  -99.999
  0.10 11.0 23.424  -0.444   5.073    6.353 -99.999 -99.999  -99.999
  0.20 11.0 23.419  -0.444   5.073    6.353 -99.999 -99.999  -99.999
  0.40 11.0 23.419  -0.444   5.073    6.353 -99.999 -99.999  -99.999
  0.70 11.0 23.424  -0.444   5.074    6.353 -99.999 -99.999  -99.999
  1.00 11.0 23.419  -0.444   5.073    6.353 -99.999 -99.999  -99.999
  1.50 11.0 23.419  -0.444   5.074    6.353 -98.984 -99.815  -99.354
  2.00 11.0 23.419  -0.444   5.074    6.354 -74.725 -75.503  -74.969
  3.00 11.0 23.414  -0.443   5.074    6.354 -50.346 -51.020  -50.408
  5.00 11.0 23.399  -0.440   5.070    6.351 -30.662 -31.138  -30.477
 10.00 11.0 23.322  -0.265   5.029    6.306 -15.509 -15.586  -14.867
 30.00 11.0 22.504   1.778   5.133    6.513  -4.826  -3.145   -2.062
100.00 11.0 14.012   2.703   5.940    7.643  -0.807   3.655    5.261
       end	   
 neg. daughter al26 z=13 n=13 a=26 Q=-12.2076
 pos. daughter mg26 z=12 n=14 a=26 Q=-16.2120
              +++++++++al26 -->mg26 +++++++++---------mg26 -->al26 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003 -13.599 -17.101  -13.742 -99.999 -99.999  -99.999
  0.10  1.0 -0.058 -13.206 -17.572  -13.062 -99.999 -99.999  -99.999
  0.20  1.0 -0.134  -7.674 -13.569   -7.407 -99.999 -99.999  -99.999
  0.40  1.0 -0.306  -4.796 -10.794   -4.529 -58.649 -54.723  -55.700
  0.70  1.0 -0.503  -3.563  -8.980   -3.296 -35.328 -31.352  -32.079
  1.00  1.0 -0.511  -3.073  -7.192   -2.806 -25.974 -22.768  -23.334
  1.50  1.0 -0.511  -2.700  -5.643   -2.432 -18.533 -15.938  -16.315
  2.00  1.0 -0.511  -2.517  -4.776   -2.245 -14.640 -12.383  -12.620
  3.00  1.0 -0.511  -2.324  -3.744   -2.018 -10.600  -8.597   -8.625
  5.00  1.0 -0.511  -2.097  -2.551   -1.555  -7.264  -5.135   -4.892
 10.00  1.0 -0.511  -1.676  -0.959   -0.144  -2.879  -1.928   -1.295
 30.00  1.0 -0.511   0.482   1.784    2.948   0.451   1.554    2.718
100.00  1.0 -0.511   1.482   4.872    6.519   1.447   4.833    6.478
  0.01  2.0 -0.001 -13.599 -16.121  -13.739 -99.999 -99.999  -99.999
  0.10  2.0 -0.038 -13.206 -16.573  -13.062 -99.999 -99.999  -99.999
  0.20  2.0 -0.095  -7.674 -12.569   -7.407 -99.999 -99.999  -99.999
  0.40  2.0 -0.227  -4.796  -9.794   -4.529 -58.649 -55.723  -56.699
  0.70  2.0 -0.446  -3.563  -8.567   -3.296 -35.328 -31.765  -32.492
  1.00  2.0 -0.506  -3.073  -7.170   -2.806 -25.974 -22.790  -23.356
  1.50  2.0 -0.511  -2.700  -5.641   -2.432 -18.533 -15.939  -16.317
  2.00  2.0 -0.511  -2.517  -4.776   -2.245 -14.640 -12.383  -12.620
  3.00  2.0 -0.511  -2.324  -3.744   -2.018 -10.600  -8.597   -8.625
  5.00  2.0 -0.511  -2.097  -2.551   -1.555  -7.264  -5.135   -4.892
 10.00  2.0 -0.511  -1.676  -0.959   -0.144  -2.879  -1.928   -1.295
 30.00  2.0 -0.511   0.482   1.784    2.948   0.451   1.554    2.718
100.00  2.0 -0.511   1.482   4.872    6.519   1.447   4.833    6.478
  0.01  3.0  0.003 -13.599 -15.220  -13.721 -99.999 -99.999  -99.999
  0.10  3.0 -0.018 -13.206 -15.578  -13.060 -99.999 -99.999  -99.999
  0.20  3.0 -0.055  -7.674 -11.571   -7.407 -99.999 -99.999  -99.999
  0.40  3.0 -0.147  -4.796  -8.794   -4.529 -58.650 -56.725  -57.692
  0.70  3.0 -0.314  -3.563  -7.619   -3.296 -35.329 -32.713  -33.440
  1.00  3.0 -0.465  -3.073  -6.964   -2.806 -25.975 -22.996  -23.562
  1.50  3.0 -0.506  -2.700  -5.627   -2.432 -18.533 -15.954  -16.331
  2.00  3.0 -0.510  -2.517  -4.773   -2.245 -14.640 -12.386  -12.624
