!27Na (5/2+, 3/2+, 1/2+)  -> 27Mg     beta-decay,   with screening effects
!USDB      Q=9.069 MeV
!Experimental data are used.
!
!Log(rhoY) Log(T)  dQ     Vs      mu       e-cap-rate    nu-energy-loss  gamma-energy
!                 (MeV)     (MeV)     (MeV)       (1/s)             (MeV/s)        (MeV/s)  
1.000000e+08 1.258925e+08 -1.066571e-07 3.066573e-08 3.889292e-06 2.183182e+00 1.334232e-05 4.069690e-06
1.000000e+08 1.412538e+08 -1.063046e-07 3.066573e-08 3.889132e-06 2.184892e+00 1.335677e-05 4.066411e-06
1.000000e+08 1.584893e+08 -1.059201e-07 3.066573e-08 3.889132e-06 2.187812e+00 1.338047e-05 4.061452e-06
1.000000e+08 1.778279e+08 -1.055196e-07 3.066573e-08 3.888972e-06 2.192250e+00 1.341656e-05 4.054257e-06
1.000000e+08 1.995262e+08 -1.050870e-07 3.066573e-08 3.888811e-06 2.198670e+00 1.346887e-05 4.044281e-06
1.000000e+08 2.238721e+08 -1.046384e-07 3.066573e-08 3.888651e-06 2.207395e+00 1.353946e-05 4.031079e-06
1.000000e+08 2.511886e+08 -1.041417e-07 3.066573e-08 3.888491e-06 2.218503e+00 1.362954e-05 4.014499e-06
1.000000e+08 2.818383e+08 -1.036130e-07 3.066573e-08 3.888170e-06 2.232133e+00 1.373983e-05 3.994490e-06
1.000000e+08 3.162278e+08 -1.030522e-07 3.066573e-08 3.887850e-06 2.248071e+00 1.386888e-05 3.971196e-06
1.000000e+08 3.548134e+08 -1.024594e-07 3.066573e-08 3.887530e-06 2.266000e+00 1.401397e-05 3.945130e-06
1.000000e+08 3.981072e+08 -1.018185e-07 3.066573e-08 3.886889e-06 2.285546e+00 1.417201e-05 3.916709e-06
1.000000e+08 4.466836e+08 -1.011296e-07 3.066573e-08 3.886248e-06 2.306216e+00 1.433941e-05 3.886882e-06
1.000000e+08 5.011872e+08 -1.004086e-07 3.066573e-08 3.885447e-06 2.327448e+00 1.451180e-05 3.856038e-06
1.000000e+08 5.623413e+08 -9.963957e-08 3.066573e-08 3.884325e-06 2.348876e+00 1.468525e-05 3.825087e-06
1.000000e+08 6.309573e+08 -9.882246e-08 3.066573e-08 3.883043e-06 2.370009e+00 1.485701e-05 3.794384e-06
1.000000e+08 7.079458e+08 -9.795729e-08 3.066573e-08 3.881281e-06 2.390507e+00 1.502351e-05 3.764621e-06
1.000000e+08 7.943282e+08 -9.702802e-08 3.066573e-08 3.879198e-06 2.410183e+00 1.518348e-05 3.736124e-06
1.000000e+08 8.912509e+08 -9.606671e-08 3.066573e-08 3.876475e-06 2.428734e+00 1.533527e-05 3.709124e-06
