Label|Author|Title|Publisher|Year|
fo18|V. Foteinou et al.|Cross section measurements of proton capture reactions on Se isotopes relevant to the astrophysical p process|Phys. Rev. C 97 (2018) 035806|2018
fs07|J.L. Fisker, W. Tan, J. Goerres, M. Wies|Experimental measurements of the O15(&alpha;,&gamma;)Ne19 reaction rate vs. observations of type I X|astro-ph/0702412|2007
fy05|H.O.U. Fynbo et al|Revised rates for the stellar triple-a process from measurement of 12C nuclear resonances|Nature 433, 136-139|2005
ga00|J. Gorres, C. Arlandini, U. Giesen, M. H|Low-energy resonances in N14(&alpha;,&gamma;)F18 and their astrophysical imlpications|PRC 62, 055801|2000
GG90|Görres, J|Proton capture on 14C and its astrophysical implications|NuPhA 517, p329|1990
GG92|J. Gorres|Alpha capture on C14 and its astrophysical implications|Nucl. Phys. A 548, 414-426|1992
gh95|Gorres, J.|Two-neutron capture reactions in supernovae neutrino bubbles|PRC 52, 2231|1995
gi17|A. Gomez Inesta, C. Iliadis, A. Coc|Bayesian Estimation of Thermonuclear Reaction Rates for Deuterium+Deuterium Reactions|APJ 849 (2017) 134|2017
gl06|B. Guo et al.|Determination of the astrophysical <sup>26</sup>Si(p,&gamma;)<sup>27</sup>P reaction rate from the as|PRC 73, 048801|2006
gl07|B. Guo|Determination of the astrophysical <sup>11</sup>C(p,&gamma;)<sup>12</sup>N reaction rate from the as|J. Phys. G: Nucl. Part. Phys.|2007
gl12|Guo et al|NEW DETERMINATION OF THE 13C(&alpha;,n)16O REACTION RATE AND ITS INFLUENCE ON THE s-PROCESS NUCLEOSYNTHESIS IN AGB STARS|ApJ 756 193|2012
go17|A. Gomez Inesta, C. Iliadis, A. Coc|Bayesian Estimation of Thermonuclear Reaction Rates for Deuterium+Deuterium Reactions|APJ 849 (2017) 134|2017
GW95|Görres, J|Bridging the waiting points: The role of two-proton capture reactions in the rp process|PhRvC 51, 1, 392-400|1995
ha01|Hale, S.E.|Investigation of the Ne22(p,&gamma;)Na23 reaction via (He3,d) spectroscopy (new)|PRC 65, 015801|2001
ha01g|-|Investigation of the Ne22(p,&gamma;)Na23 reaction via (He3,d) spectroscopy (old)|PRC 65, 015801|2001
ha04|Hale et al.|Investigation of the Na23(p,&gamma;) and Na23(p,&alpha;) reactions via (He3,d) spectroscopy|PRC 70, 045802|2004
Ha96|Hahn, K I|Structure of 18Ne and the breakout from the hot CNO cycle|PhRvC 54, 4, p1999-2013|1996
Ha96c|Hahn, K I|Structure of 18Ne and the breakout from the hot CNO cycle (constructive interference)|PhRvC 54, 4, p1999-2013|1996
Ha96d|Hahn, K I|Structure of 18Ne and the breakout from the hot CNO cycle (destructive interference)|PhRvC 54, 4, p1999-2013|1996
hd08|Heil, M et al.|The 13C(&alpha;, n) reaction and its role as a neutron source for the s process|PRC78, 025803|2008
he17|M. Heine et al.|Determination of the neutron-capture rate of 17C for r-process nucleosynthesis|PHYSICAL REVIEW C 95, 014613 (2017)|2017
HF99|Herndl, H|Thermonuclear reaction rate of 23Mg(p,&gamma;)24Al|PhRvC 58, 3, p1798|1998
hg12|Halász, Z. et al|Investigation of &alpha;-induced reactions on 130Ba and 132Ba and their importance for the synthesis of heavy p nuclei|Phys. Rev. C 85, 025804|2012
hg94|Herndl, H|Proton capture reaction rates in the rp process|Physics Review C 52 1078|1995
hg95|Herndl, H.|Proton capture reaction rates in the rp process|PRC 52, 1078|1995
hi09|Hashimoto, T. et al|A new measurement of the astrophysical Li8(d,t)Li7 reaction|PLB 674, 276|2009
ia08|Iliadis, C.|New reaction rate for 16O( p,&gamma;)17F and its influence on the oxygen isotopic ratios in massive AGB stars|PRC77, 045802|2008
ib96|Iliadis, C.|New Stellar reaction rates for <sup>25</sup>Mg(p,&gamma;)<sup>26</sup>Al and <sup>25</sup>Al(p,&gamma;)<sup>26</sup>Si|PRC 43, 475|1996
il01|Iliadis C|Proton-induced thermonuclear reaction rates for A=20-40 nuclei|ApJS 134, 151-171|2001
il10|Iliadis, C.|Charged-particle thermonuclear reaction rates|NPA 841, 1; 31; 251; 323|2010
il99|C. Iliadis|Explosive Hydrogen Burning of 27Si, 31S, 35Ar and 39Ca in Novae and X-ray Bursts|ApJ 524, 434|1999
im05|G. Imbriani et al|S-factor of <sup>14</sup>N(p,&gamma;)<sup>15</sup>O|European Physics Journal A 25,|2005
iucf|Schatz|First measurement of excited states in the very proton rich nucleus 24Si and the consequences for 22|Physics Review Lett. 79 3845|1997
jm06|Jenkins, D.G.|Reevaluation of the <sup>30</sup>P(p,&gamma;)<sup>31</sup>S astrophysical reaction rate from a stud|PRC 73, 065802|2006
jz10|Su Jun|Neutron Spectroscopic Factors of 7Li and Astrophysical 6Li(n,&gamma;)7Li Reaction Rates|Chinese Physics Letters 27, 05|2010
ka02|I. Dillman|KADoNiS v0.2|AIP Conf. Proc. 819, 123|2007
ka12|Katsuma, et al|THEORETICAL REACTION RATES OF 12C($alpha;,&gamma;)16O BELOW T9 = 3|The Astrophysical Journal, 745|2012
kd02|I. Dillman|KADoNiS refit to elliminate blowups and match to theory|AIP Conf. Proc. 819, 123|2007
kd03|Dillman, I.|KADONIS V0.3|KADoNiS v0.3 - The third updat|2009
ke17|K. J. Kelly|New measurements of low-energy resonances in the 22Ne(p,?)23Na reaction|Phys. Rev. C 95 (2017) 015806|2017
kf02|R. Kunz|Astrophysical Reaction Rate of C12(&alpha;,&gamma;)O16|ApJ 567, 643-650|2002
kg91|P.E. Koehler|O17(n,&alpha;)C14 cross section from 25 meV to approximately 1 MeV|PRC 44, 2788|1991
ks03|-|KADONIS V0.3 refit 2017|KADoNiS v0.3|2009
ks12|-|Investigation of $alpha;-induced reactions on 127I for the astrophysical &gamma; process|PHYSICAL REVIEW C 86, 035801|2012
ku92|Kubono, S.|Level structure of 21Mg and the 20Na(p,g)21Mg stellar reaction rate|NPA 537, 153|1992
la14|C. Langer et al.|Determining the rp-Process Flow through 56Ni: Resonances in 57Cu(p,?)58Zn Identified with GRETINA|PRL 113, 032502 (2014)|2014
la16|Y. H. Lam et al.|REACTION RATES OF 64Ge(p,?)65As AND 65As(p,?)66Se AND THE EXTENT OF NUCLEOSYNTHESIS IN TYPE I X-RAY BURSTS|APJ 818 (2016) 78|2016
laur|L Van Wormer|Reaction Rates and Reaction Sequences in the rp-process|ApJ 432, 326-350|1994
ld11|La Cognata, M.|The 8Li(a,n)11B reaction rate at astrophysical temperatures|ApJ 736, 148|2011
lg06|Z.H. Li et al.|<sup>13</sup>N(d,n)<sup>14</sup>O reaction and the astrophysical <sup>13</sup>N(p,&gamma;)<sup>14</sup>|PRC 74, 035801|2006
lg18|B. Longfellow et al.|Measurement of key resonances for the 24Al(p,?)25Si reaction rate using in-beam ?-ray spectroscopy|PRC97 (2018) 054307|2018
li10|LeBlanc, P.J.|Constraining the S factor of 15 N( p,&gamma; ) 16 O at astrophysical energies|PRC 82, 055804|2010
li12|Longland, R.|Reaction rates for the s-process neutron source 22Ne + &alpha;|Phys. Rev. C 85, 065809|2012
li20|P. F. Liang et al.|Simultaneous measurement of ?-delayed proton and ? emission of 26P for the 25Al(p,?)26Si reaction rate|Phys Rev. C 101 (2020) 024305|2020
lo18|R. Longland, J. Dermigny, C. Marshall,|Reaction rates for the 39K(p,?)40Ca reaction|Phys. Rev. C 98, 025802 (2018)|2018
ls09|He)<sup>13</sup>N reaction</sup6<>|Science in China G: Physics an|2010|
ly18|S. Lyons et al.|Determination of 20Ne(p,?)21Na cross sections from Ep=500?2000keV|PHYSICAL REVIEW C 97, 065802 (2018)|2018
ma10|Matic et al.|High-precision ( p,t) reaction to determine 25Al( p,&gamma;)26Si reaction rates|PRC 82, 025807|2010
ma11|Matic, A. et al|High-precision 28Si(p,t)26Si reaction to determine 22Mg(a,p)25Al|PRC 84, 025801|2011
mafo|R Malaney|Late-time neutron diffusion and nucleosynthesis in a post-QCD inhomogeneous Omega(b) = 1 universe|ApJ 333, 14|1988
mb07|Ma, Z.|Astrophysically important 31S states studied with the 32S( p, d)31S reaction|PRC 76, 015803|2007
mb11|Mukhamedzhanov, A.M.|Reexamination of the astrophysical S factor for the &alpha;+d→6Li+&gamma; reaction|PRC 83, 055805|2011
mm11|M. Matos et al.|Unbound states of 32Cl and the 31S(p,&gamma;)32Cl reaction rate|PRC 84, 055806|2011
mo03|P. Möller|New calculations of gross β-decay properties for astrophysical applications: Speeding-up the c|PRC 67, 055802|2003
mo14|P. Mohr, R. Longland,  C. Iliadis,|Thermonuclear reaction rate of 18Ne(?,p)21Na from Monte Carlo calculations|PHYSICAL REVIEW C 90, 065806 (2014)|2014
mo92|P Möller|-|-|1992
mo97|-|-|-|2017
mp17|-|Neutron-gamma competition for β-delayed neutron emission|PRC94 064317|2016
mv09|A. Matic et al.|High-precision (p,t) reaction measurement to determine 18Ne(a,p)21Na reaction rates|PRC 80, 055804|2009
nac2|Xu, Y. et al.|NACRE2|Nucl. Phys. A 918, P. 61|2013
nacr|Angulo C.|A compilation of charged-particle induced thermonuclear reaction rates|Nuclear Physics, A656, 3-183|1999
nb03|G. Audi, O. Bersillon, J. Blachot, A.H.|The Nubase2003 evaluation of nuclear and decay properties|Nuclear Physics A 729, 3|2003
nfis|Fisker J.L.|Shell-model calculation with nuclear masses from newmass tables|private comm. &amp; ADNDT 79, 241|2001
nk06|Nagai, Y.|Measurement of the 2 H(n, &gamma; ) 3 H reaction cross section between 10 and 550 keV|PRC 74, 025804|2006
nw00|Nelson, S.O.|Evaluations of thermonuclear proton capture reaction rates for 2H, 7Li, 9Be, and 11B|NPA 679, 199|2000
ol11|Oginni, B.H.|Theoretical evaluation of the reaction rates for 26Al(n,p)26Mg and 26Al(n,a)23Na|PRC 83, 025802|2011
pepd|-|pep-->dnu reaction rate (cf88)|-|0
pg06|Y. Parpottas et al.|Astrophysically important <sup>26</sup>Si states studied with the (<sup>3</sup>He, n) reaction and t|PRC 73, 049907|2006
PI99|Powell, D C|Reaction rate of 24Mg(p,&gamma;)25Al|Nucl. Phys. A660, 349|1999
pkrE|Panov, I.V.|ETFSI Neutron-induced astrophysical reaction rates|Astron. Astrophys. 513, A69|2010
