!27Mg (1/2+, 3/2+, 5/2, 5/2)  -> 27Na,  e-capture,  with screening effects
!USDB        Q=-9.0690 MeV
!Experimental data are used.
!
!Log(rhoY) Log(T)  dQ     Vs      mu       e-cap-rate    nu-energy-loss  gamma-energy
!                 (MeV)     (MeV)     (MeV)       (1/s)             (MeV/s)        (MeV/s)  
1.000000e+07 1.000000e+07 5.094932e-08 1.483619e-08 1.952897e-06 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.584893e+07 5.072502e-08 1.483619e-08 1.951135e-06 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 2.511886e+07 5.040458e-08 1.483619e-08 1.948411e-06 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 3.981072e+07 4.997199e-08 1.483619e-08 1.946008e-06 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 6.309573e+07 4.939521e-08 1.483619e-08 1.944566e-06 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.000000e+08 4.864218e-08 1.483619e-08 1.943765e-06 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.122018e+08 4.841788e-08 1.483619e-08 1.943605e-06 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.258925e+08 4.817755e-08 1.483619e-08 1.943444e-06 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.412538e+08 4.792120e-08 1.483619e-08 1.943284e-06 3.090295e-306 1.839549e-313 1.395440e-315
1.000000e+07 1.584893e+08 4.764883e-08 1.483619e-08 1.942964e-06 1.778279e-273 1.187712e-280 1.363676e-282
1.000000e+07 1.778279e+08 4.736044e-08 1.483619e-08 1.942803e-06 2.754229e-244 2.017025e-251 3.505188e-253
1.000000e+07 1.995262e+08 4.705603e-08 1.483619e-08 1.942483e-06 2.951209e-218 2.481483e-225 5.817164e-227
1.000000e+07 2.238721e+08 4.671957e-08 1.483619e-08 1.942163e-06 4.897788e-195 4.620738e-202 1.395440e-203
1.000000e+07 2.511886e+08 4.636709e-08 1.483619e-08 1.941682e-06 2.511886e-174 2.658957e-181 1.010907e-182
1.000000e+07 2.818383e+08 4.599859e-08 1.483619e-08 1.941201e-06 7.585776e-156 8.804634e-163 4.118237e-164
1.000000e+07 3.162278e+08 4.559804e-08 1.483619e-08 1.940400e-06 2.290868e-139 3.052891e-146 1.639500e-147
1.000000e+07 3.548134e+08 4.518148e-08 1.483619e-08 1.939439e-06 1.174898e-124 1.716767e-131 1.034454e-132
1.000000e+07 3.981072e+08 4.473287e-08 1.483619e-08 1.938317e-06 1.584893e-111 2.598432e-118 1.716767e-119
1.000000e+07 4.466836e+08 4.426823e-08 1.483619e-08 1.936875e-06 8.203515e-100 1.530070e-106 1.058550e-107
1.000000e+07 5.011872e+08 4.377156e-08 1.483619e-08 1.934953e-06 2.360478e-89 4.939822e-96 3.562143e-97
1.000000e+07 5.623413e+08 4.325886e-08 1.483619e-08 1.932710e-06 5.116818e-80 1.204235e-86 8.824931e-88
1.000000e+07 6.309573e+08 4.269810e-08 1.483619e-08 1.929826e-06 1.119438e-71 2.962861e-78 2.166264e-79
1.000000e+07 7.079458e+08 4.212131e-08 1.483619e-08 1.926141e-06 3.133286e-64 9.304891e-71 6.694395e-72
1.000000e+07 7.943282e+08 4.151248e-08 1.483619e-08 1.921655e-06 1.409289e-57 4.706644e-64 3.286331e-65
1.000000e+07 8.912509e+08 4.088763e-08 1.483619e-08 1.915727e-06 1.241652e-51 4.663493e-58 3.124002e-59
1.000000e+07 1.000000e+09 4.021472e-08 1.483619e-08 1.908357e-06 2.552701e-46 1.078230e-52 6.866119e-54
1.000000e+07 1.122018e+09 3.952578e-08 1.483619e-08 1.899224e-06 1.432188e-41 6.803170e-48 4.080480e-49
1.000000e+07 1.258925e+09 3.878878e-08 1.483619e-08 1.887528e-06 2.535129e-37 1.354289e-43 7.580735e-45
1.000000e+07 1.412538e+09 3.803575e-08 1.483619e-08 1.872948e-06 1.595879e-33 9.587631e-40 4.985530e-41
1.000000e+07 1.584893e+09 3.725068e-08 1.483619e-08 1.854363e-06 4.008667e-30 2.708391e-36 1.299306e-37
1.000000e+07 1.778279e+09 3.643357e-08 1.483619e-08 1.830971e-06 4.415704e-27 3.362880e-33 1.481533e-34
1.000000e+07 1.995262e+09 3.560044e-08 1.483619e-08 1.801491e-06 2.333458e-24 1.998533e-30 8.066986e-32
1.000000e+07 2.238721e+09 3.473526e-08 1.483619e-08 1.764481e-06 6.367955e-22 6.161853e-28 2.263139e-29
1.000000e+07 2.511886e+09 3.383804e-08 1.483619e-08 1.717857e-06 9.682779e-20 1.056115e-25 3.537621e-27
1.000000e+07 2.818383e+09 3.588883e-08 1.483619e-08 1.659218e-06 8.609938e-18 1.058550e-23 3.256202e-25
1.000000e+07 3.162278e+09 3.196349e-08 1.483619e-08 1.586318e-06 4.841724e-16 6.725294e-22 1.921814e-23
1.000000e+07 3.548134e+09 3.098616e-08 1.483619e-08 1.495635e-06 1.770109e-14 2.771477e-20 7.528549e-22
1.000000e+07 3.981072e+09 2.996077e-08 1.483619e-08 1.384924e-06 4.425884e-13 7.811084e-19 2.102380e-20
1.000000e+07 4.466836e+09 2.891935e-08 1.483619e-08 1.252424e-06 7.888601e-12 1.576563e-17 4.392495e-19

1.000000e+08 1.000000e+07 1.103421e-07 3.066573e-08 3.888170e-06 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+08 1.584893e+07 1.100377e-07 3.066573e-08 3.888651e-06 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+08 2.511886e+07 1.096212e-07 3.066573e-08 3.889292e-06 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+08 3.981072e+07 1.090604e-07 3.066573e-08 3.889773e-06 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+08 6.309573e+07 1.083074e-07 3.066573e-08 3.889773e-06 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+08 1.000000e+08 1.072820e-07 3.066573e-08 3.889452e-06 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+08 1.122018e+08 1.069776e-07 3.066573e-08 3.889292e-06 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+08 1.258925e+08 1.066571e-07 3.066573e-08 3.889292e-06 8.511380e-296 4.838506e-303 2.211624e-305
1.000000e+08 1.412538e+08 1.063046e-07 3.066573e-08 3.889132e-06 3.235937e-264 2.017025e-271 1.565710e-273
1.000000e+08 1.584893e+08 1.059201e-07 3.066573e-08 3.889132e-06 5.011872e-236 3.505188e-243 4.118237e-245
1.000000e+08 1.778279e+08 1.055196e-07 3.066573e-08 3.888972e-06 6.606934e-211 5.066538e-218 8.804634e-220
1.000000e+08 1.995262e+08 1.050870e-07 3.066573e-08 3.888811e-06 1.698244e-188 1.461206e-195 3.425400e-197
1.000000e+08 2.238721e+08 1.046384e-07 3.066573e-08 3.888651e-06 1.698244e-168 1.602180e-175 4.838506e-177
1.000000e+08 2.511886e+08 1.041417e-07 3.066573e-08 3.888491e-06 1.148154e-150 1.215378e-157 4.620738e-159
1.000000e+08 2.818383e+08 1.036130e-07 3.066573e-08 3.888170e-06 9.120108e-135 1.083207e-141 5.066538e-143
1.000000e+08 3.162278e+08 1.030522e-07 3.066573e-08 3.887850e-06 1.445440e-120 1.926244e-127 1.034454e-128
1.000000e+08 3.548134e+08 1.024594e-07 3.066573e-08 3.887530e-06 6.760830e-108 1.010907e-114 6.091318e-116
1.000000e+08 3.981072e+08 1.018185e-07 3.066573e-08 3.886889e-06 1.399587e-96 2.331907e-103 1.526551e-104
1.000000e+08 4.466836e+08 1.011296e-07 3.066573e-08 3.886248e-06 1.749847e-86 3.271232e-93 2.268356e-94
1.000000e+08 5.011872e+08 1.004086e-07 3.066573e-08 3.885447e-06 1.823896e-77 3.825703e-84 2.758743e-85
1.000000e+08 5.623413e+08 9.963957e-08 3.066573e-08 3.884325e-06 2.055891e-69 4.849660e-76 3.553950e-77
1.000000e+08 6.309573e+08 9.882246e-08 3.066573e-08 3.883043e-06 3.235937e-62 8.564683e-69 6.247573e-70
1.000000e+08 7.079458e+08 9.795729e-08 3.066573e-08 3.881281e-06 8.669619e-56 2.574609e-62 1.856570e-63
1.000000e+08 7.943282e+08 9.702802e-08 3.066573e-08 3.879198e-06 4.830588e-50 1.617005e-56 1.129045e-57
1.000000e+08 8.912509e+08 9.606671e-08 3.066573e-08 3.876475e-06 6.637431e-45 2.492937e-51 1.669980e-52
1.000000e+08 1.000000e+09 9.502530e-08 3.066573e-08 3.873110e-06 2.618183e-40 1.105888e-46 7.026051e-48
1.000000e+08 1.122018e+09 9.395184e-08 3.066573e-08 3.868944e-06 3.380648e-36 1.605873e-42 9.609733e-44
1.000000e+08 1.258925e+09 9.279827e-08 3.066573e-08 3.863497e-06 1.618080e-32 8.643931e-39 4.838506e-40
1.000000e+08 1.412538e+09 9.159663e-08 3.066573e-08 3.856768e-06 3.198895e-29 1.921814e-35 9.993355e-37
